Filename,Buggy/Deleted,Fixed/Added
".pre-commit-config.yaml
",-    rev: v2.6.0,+    rev: v2.7.1
".pre-commit-config.yaml
",-    rev: v2.29.1,+    rev: v2.31.0
".pre-commit-config.yaml
",-    rev: v4.0.1,+    rev: v4.1.0
".pre-commit-config.yaml
",-    rev: v0.31.0,+    rev: v0.32.0
".pre-commit-config.yaml
",-    rev: v2.29.0,+    rev: v2.29.1
".pre-commit-config.yaml
",-    rev: v2.2.0,+    rev: v2.2.1
".pre-commit-config.yaml
",-    rev: v2.1.0,+    rev: v2.2.0
".pre-commit-config.yaml
",-    rev: v2.4.0,+    rev: v4.0.1
".pre-commit-config.yaml
",-  - repo: https://gitlab.com/pycqa/flake8,+  - repo: https://github.com/PyCQA/flake8
".pre-commit-config.yaml
",-    rev: 3.8.0,+    rev: 4.0.1
".pre-commit-config.yaml
",-    rev: v0.30.0,+    rev: v0.31.0
".pre-commit-config.yaml
",-    rev: v2.4.1,+    rev: v2.29.0
".pre-commit-config.yaml
",-    rev: v2.3.0,+    rev: v2.6.0
".pre-commit-config.yaml
",-    rev: v2.0.1,+    rev: v2.1.0
"README.md
",-- https://blog.hanchon.live/guides/google-login-with-fastapi/,+- [Guide 1 - Google OAuth Login with FastAPI](https://blog.hanchon.live/guides/google-login-with-fastapi/)
"README.md
",-- https://blog.hanchon.live/guides/jwt-tokens-and-fastapi/,+- [Guide 2 - Google OAuth and FastAPI JWT](https://blog.hanchon.live/guides/google-login-with-fastapi-and-jwt/)
"README.md
",-- https://blog.hanchon.live/guides/jwt-tokens-and-fastapi/,+- [Guide 3 - JWT blacklist and refresh tokens](https://blog.hanchon.live/guides/jwt-tokens-and-fastapi/)
"README.md
",-This is an example following the tutorial on https://blog.hanchon.live/guides/jwt-tokens-and-fastapi/,+This is an example following the tutorials:
"README.md
",-- Run the app: `python main.py`,+- https://blog.hanchon.live/guides/google-login-with-fastapi/
,,+- https://blog.hanchon.live/guides/jwt-tokens-and-fastapi/
,,+- https://blog.hanchon.live/guides/jwt-tokens-and-fastapi/
,,+- Run the app:
,,+    - Guide 1: `python run.py`
,,+    - Guide 2 and 3: `python main.py`
"auth.py
","-        return JSONResponse({'result': True, 'access_token': create_token(user_data['email'])})",+from datetime import datetime
"jwt.py
","-        payload = jwt.decode(token, API_SECRET_KEY, algorithms=[API_ALGORITHM])",+from apps.jwt import create_refresh_token
,,+from apps.jwt import decode_token
,,+        return JSONResponse({
,,"+            'result': True,"
,,"+            'access_token': create_token(user_data['email']),"
,,"+            'refresh_token': create_refresh_token(user_data['email']),"
,,+        })
,,+    raise CREDENTIALS_EXCEPTION
,,+
,,+
,,+@auth_app.post('/refresh')
,,+async def refresh(request: Request):
,,+    try:
