Filename,Buggy/Deleted,Fixed/Added
ExitHookTest.java,long started = System.currentTimeMillis();,if (System != null ) long started = System.currentTimeMillis();
MapFileManager.java,long now = System.currentTimeMillis();,if (System != null ) long now = System.currentTimeMillis();
MapFileManager.java,"mf = MappedFile.mappedFile(file, file.length());","if (file != null ) mf = MappedFile.mappedFile(file, file.length());"
MapFileManager.java,keyClass = map.keyType();,if (map != null ) keyClass = map.keyType();
MapFileManager.java,valueClass = map.valueType();,if (map != null ) valueClass = map.valueType();
MapFileManager.java,size = map.longSize();,if (map != null ) size = map.longSize();
MapFileManager.java,name = map.name();,if (map != null ) name = map.name();
MapFileManager.java,dataStoreSize = map.dataStoreSize();,if (map != null ) dataStoreSize = map.dataStoreSize();
MapFileManager.java,segments = map.segments();,if (map != null ) segments = map.segments();
MapWatcherMain.java,"String absolutePath = new File(""."").getAbsolutePath();","if (File("" != null ) String absolutePath = new File(""."").getAbsolutePath();"
ExitHookTest.java,Iterator<String> lineIterator = lines.iterator();,if (lines != null ) Iterator<String> lineIterator = lines.iterator();
ExitHookTest.java,String line = lineIterator.next();,if (lineIterator != null ) String line = lineIterator.next();
ExitHookTest.java,String className = ExitHookTest.class.getCanonicalName();,if (ExitHookTest != null ) String className = ExitHookTest.class.getCanonicalName();
ExitHookTest.java,final RuntimeMXBean runtimeMxBean = ManagementFactory.getRuntimeMXBean();,if (ManagementFactory != null ) final RuntimeMXBean runtimeMxBean = ManagementFactory.getRuntimeMXBean();
Issue423Test.java,final RandomAccessFile raf = CanonicalRandomAccessFiles.acquire(file.getCanonicalFile());,if (CanonicalRandomAccessFiles != null ) final RandomAccessFile raf = CanonicalRandomAccessFiles.acquire(file.getCanonicalFile());
Issue423Test.java,final FileChannel fileChannel = raf.getChannel();,if (raf != null ) final FileChannel fileChannel = raf.getChannel();
Issue423Test.java,final FileLock lock = fileChannel.tryLock();,if (fileChannel != null ) final FileLock lock = fileChannel.tryLock();
MapJLBHTest.java,long startWrite = System.nanoTime();,if (System != null ) long startWrite = System.nanoTime();
MapJLBHTest.java,long endWrite = System.nanoTime();,if (System != null ) long endWrite = System.nanoTime();
MapJLBHTest.java,long nanos = System.nanoTime();,if (System != null ) long nanos = System.nanoTime();
MapCloseTest.java,Thread t = new Thread(() -> map.close());,if (map != null ) Thread t = new Thread(() -> map.close());
