Filename,Buggy/Deleted,Fixed/Added
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,SimpleKey key = iterator.next();,if (iterator != null ) SimpleKey key = iterator.next();
ConfigurateScanner.java,Mark mark = reader.getMark();,if (reader != null ) Mark mark = reader.getMark();
ConfigurateScanner.java,this.indent = this.indents.pop();,if (this != null ) this.indent = this.indents.pop();
ConfigurateScanner.java,Mark mark = reader.getMark();,if (reader != null ) Mark mark = reader.getMark();
ConfigurateScanner.java,Mark mark = reader.getMark();,if (reader != null ) Mark mark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark mark = reader.getMark();,if (reader != null ) Mark mark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark mark = reader.getMark();,if (reader != null ) Mark mark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark mark = reader.getMark();,if (reader != null ) Mark mark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,endMark = reader.getMark();,if (reader != null ) endMark = reader.getMark();
ConfigurateScanner.java,endMark = reader.getMark();,if (reader != null ) endMark = reader.getMark();
ConfigurateScanner.java,endMark = reader.getMark();,if (reader != null ) endMark = reader.getMark();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,int indicator = reader.peek();,if (reader != null ) int indicator = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,int increment = chompi.getIncrement();,if (chompi != null ) int increment = chompi.getIncrement();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,endMark = reader.getMark();,if (reader != null ) endMark = reader.getMark();
ConfigurateScanner.java,maxIndent = reader.getColumn();,if (reader != null ) maxIndent = reader.getColumn();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,int col = this.reader.getColumn();,if (this != null ) int col = this.reader.getColumn();
ConfigurateScanner.java,endMark = reader.getMark();,if (reader != null ) endMark = reader.getMark();
ConfigurateScanner.java,col = this.reader.getColumn();,if (this != null ) col = this.reader.getColumn();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,int quote = reader.peek();,if (reader != null ) int quote = reader.peek();
ConfigurateScanner.java,Mark endMark = reader.getMark();,if (reader != null ) Mark endMark = reader.getMark();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,c = reader.peek();,if (reader != null ) c = reader.peek();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,Mark startMark = reader.getMark();,if (reader != null ) Mark startMark = reader.getMark();
ConfigurateScanner.java,endMark = reader.getMark();,if (reader != null ) endMark = reader.getMark();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
ConfigurateScanner.java,Mark beginningMark = reader.getMark();,if (reader != null ) Mark beginningMark = reader.getMark();
ConfigurateScanner.java,int c = reader.peek();,if (reader != null ) int c = reader.peek();
AbstractConfigurationNode.java,final A node = createNode(entry.getKey());,if (createNode(entry != null ) final A node = createNode(entry.getKey());
ListConfigValue.java,values = this.values.get();,if (this != null ) values = this.values.get();
ListConfigValue.java,values = this.values.get();,if (this != null ) values = this.values.get();
Constraint.java,final Pattern test = Pattern.compile(data.value());,if (Pattern != null ) final Pattern test = Pattern.compile(data.value());
Constraint.java,final Pattern test = Pattern.compile(data.value());,if (Pattern != null ) final Pattern test = Pattern.compile(data.value());
ConfigValue.java,final T node = it.next();,if (it != null ) final T node = it.next();
Constraint.java,final MessageFormat format = new MessageFormat(data.failureMessage());,if (MessageFormat(data != null ) final MessageFormat format = new MessageFormat(data.failureMessage());
ValueReferences.java,final Throwable t = err.getValue();,if (err != null ) final Throwable t = err.getValue();
SingleConfigurationTransformation.java,final NodePathImpl nodePath = this.sharedPath.get();,if (this != null ) final NodePathImpl nodePath = this.sharedPath.get();
ObjectMapperTest.java,final BasicConfigurationNode source = BasicConfigurationNode.root();,if (BasicConfigurationNode != null ) final BasicConfigurationNode source = BasicConfigurationNode.root();
GsonConfigurationLoader.java,final JsonToken token = parser.peek();,if (parser != null ) final JsonToken token = parser.peek();
HoconConfigurationLoader.java,hoconConfig = hoconConfig.resolve();,if (hoconConfig != null ) hoconConfig = hoconConfig.resolve();
JacksonConfigurationLoader.java,final JsonToken token = parser.getCurrentToken();,if (parser != null ) final JsonToken token = parser.getCurrentToken();
JacksonConfigurationLoader.java,final double doubleVal = parser.getDoubleValue();,if (parser != null ) final double doubleVal = parser.getDoubleValue();
JacksonConfigurationLoader.java,final long longVal = parser.getLongValue();,if (parser != null ) final long longVal = parser.getLongValue();
AbstractConfigurationNode.java,newValue = newValueAsNode.get();,if (newValueAsNode != null ) newValue = newValueAsNode.get();
Types.java,final Type head = this.types.removeFirst();,if (this != null ) final Type head = this.types.removeFirst();
AbstractConfigurationNode.java,this.options = copyOf.getOptions();,if (copyOf != null ) this.options = copyOf.getOptions();
AbstractConfigurationNode.java,newValue = newValueAsNode.getValue();,if (newValueAsNode != null ) newValue = newValueAsNode.getValue();
AbstractConfigurationLoader.java,this.source = builder.getSource();,if (builder != null ) this.source = builder.getSource();
AbstractConfigurationLoader.java,this.sink = builder.getSink();,if (builder != null ) this.sink = builder.getSink();
AbstractConfigurationLoader.java,this.headerMode = builder.getHeaderMode();,if (builder != null ) this.headerMode = builder.getHeaderMode();
AbstractConfigurationLoader.java,this.defaultOptions = builder.getDefaultOptions();,if (builder != null ) this.defaultOptions = builder.getDefaultOptions();
MapSerializer.java,final BasicConfigurationNode keyNode = BasicConfigurationNode.root(node.getOptions());,if (BasicConfigurationNode != null ) final BasicConfigurationNode keyNode = BasicConfigurationNode.root(node.getOptions());
MapSerializer.java,final BasicConfigurationNode keyNode = BasicConfigurationNode.root(node.getOptions());,if (BasicConfigurationNode != null ) final BasicConfigurationNode keyNode = BasicConfigurationNode.root(node.getOptions());
ConfigurateOps.java,final ConfigurationOptions opts = node.getOptions();,if (node != null ) final ConfigurationOptions opts = node.getOptions();
GsonConfigurationLoader.java,this.lenient = builder.isLenient();,if (builder != null ) this.lenient = builder.isLenient();
GsonConfigurationLoader.java,"this.indent = Strings.repeat("" "", builder.getIndent());","if (builder != null ) this.indent = Strings.repeat("" "", builder.getIndent());"
JacksonConfigurationLoader.java,this.factory = builder.getFactoryBuilder().build();,if (builder != null ) this.factory = builder.getFactoryBuilder().build();
JacksonConfigurationLoader.java,this.indent = builder.getIndent();,if (builder != null ) this.indent = builder.getIndent();
JacksonConfigurationLoader.java,this.fieldValueSeparatorStyle = builder.getFieldValueSeparatorStyle();,if (builder != null ) this.fieldValueSeparatorStyle = builder.getFieldValueSeparatorStyle();
XmlConfigurationLoader.java,this.schema = builder.getSchema();,if (builder != null ) this.schema = builder.getSchema();
XmlConfigurationLoader.java,this.defaultTagName = builder.getDefaultTagName();,if (builder != null ) this.defaultTagName = builder.getDefaultTagName();
XmlConfigurationLoader.java,this.indent = builder.getIndent();,if (builder != null ) this.indent = builder.getIndent();
XmlConfigurationLoader.java,this.writeExplicitType = builder.shouldWriteExplicitType();,if (builder != null ) this.writeExplicitType = builder.shouldWriteExplicitType();
XmlConfigurationLoader.java,this.includeXmlDeclaration = builder.shouldIncludeXmlDeclaration();,if (builder != null ) this.includeXmlDeclaration = builder.shouldIncludeXmlDeclaration();
XmlConfigurationLoader.java,child = to.getNode(entry.getKey());,if (to != null ) child = to.getNode(entry.getKey());
XmlConfigurationLoader.java,tag = attributedNode.getTagName();,if (attributedNode != null ) tag = attributedNode.getTagName();
XmlConfigurationLoader.java,attributes = attributedNode.getAttributes();,if (attributedNode != null ) attributes = attributedNode.getAttributes();
DefaultObjectMapperFactory.java,final AnnotatedType canonical = type.getCanonicalType();,if (type != null ) final AnnotatedType canonical = type.getCanonicalType();
ObjectMapper.java,final N node = source.getNode(ent.getKey());,if (source != null ) final N node = source.getNode(ent.getKey());
ObjectMapper.java,final N node = target.getNode(ent.getKey());,if (target != null ) final N node = target.getNode(ent.getKey());
ObjectMapper.java,this.clazz = erase(type.getType());,if (erase(type != null ) this.clazz = erase(type.getType());
ObjectMapper.java,constructor = this.clazz.getDeclaredConstructor();,if (this != null ) constructor = this.clazz.getDeclaredConstructor();
ObjectMapper.java,collectClass = collectClass.getSuperclass();,if (collectClass != null ) collectClass = collectClass.getSuperclass();
ObjectMapper.java,String path = setting.value();,if (setting != null ) String path = setting.value();
ObjectMapper.java,path = field.getName();,if (field != null ) path = field.getName();
HoconConfigurationLoader.java,this.render = build.getRenderOptions();,if (build != null ) this.render = build.getRenderOptions();
HoconConfigurationLoader.java,this.parse = build.getParseOptions();,if (build != null ) this.parse = build.getParseOptions();
JacksonVisitor.java,final Object value = node.getValue();,if (node != null ) final Object value = node.getValue();
ObjectMapper.java,this.clazz = type.getRawType();,if (type != null ) this.clazz = type.getRawType();
ScalarSerializer.java,this.type = type.wrap();,if (type != null ) this.type = type.wrap();
ScalarSerializer.java,type = type.wrap(); // every primitive type should be boxed (cuz generics!),if (generics!) != null ) type = type.wrap(); // every primitive type should be boxed (cuz generics!)
TypeSerializerCollection.java,type = type.wrap();,if (type != null ) type = type.wrap();
AbstractConfigurationNode.java,final V transformed = transformer.apply(o.getValue());,if (transformer != null ) final V transformed = transformer.apply(o.getValue());
AbstractConfigurationNode.java,final V transformed = transformer.apply(value.getValue());,if (transformer != null ) final V transformed = transformer.apply(value.getValue());
XmlConfigurationLoader.java,String line = it.next();,if (it != null ) String line = it.next();
XmlConfigurationLoader.java,final String trimmedLine = line.trim();,if (line != null ) final String trimmedLine = line.trim();
