Filename,Buggy/Deleted,Fixed/Added
ParameterizedBehaviorTestRunner.java,Description originalDescription = superDescription.get();,if (superDescription != null ) Description originalDescription = superDescription.get();
ParameterizedBehaviorTestRunner.java,Object test = superCreateTest.get();,if (superCreateTest != null ) Object test = superCreateTest.get();
BiMapPropertyTest.java,List<NamingConvention> conventions = Arrays.asList(NamingConvention.values());,if (Arrays != null ) List<NamingConvention> conventions = Arrays.asList(NamingConvention.values());
GeneratedBuilder.java,FieldAccessList fields = getFields(generatorsByProperty.keySet());,if (getFields(generatorsByProperty != null ) FieldAccessList fields = getFields(generatorsByProperty.keySet());
GeneratedBuilder.java,FieldAccessList fields = getFields(generatorsByProperty.keySet());,if (getFields(generatorsByProperty != null ) FieldAccessList fields = getFields(generatorsByProperty.keySet());
CompilationFailureSubjectImpl.java,this.nextCandidate = diagnostics.iterator();,if (diagnostics != null ) this.nextCandidate = diagnostics.iterator();
CompilationFailureSubjectImpl.java,this.candidate = nextCandidate.next();,if (nextCandidate != null ) this.candidate = nextCandidate.next();
CompilationFailureSubjectImpl.java,candidate = nextCandidate.next();,if (nextCandidate != null ) candidate = nextCandidate.next();
CompilationFailureSubjectImpl.java,candidate = nextCandidate.next();,if (nextCandidate != null ) candidate = nextCandidate.next();
CompilationFailureSubjectImpl.java,candidate = nextCandidate.next();,if (nextCandidate != null ) candidate = nextCandidate.next();
Util.java,type = wildcard.getExtendsBound();,if (wildcard != null ) type = wildcard.getExtendsBound();
Util.java,String erasedType = type.asElement().toString();,if (type != null ) String erasedType = type.asElement().toString();
Util.java,String erasedType = type.asElement().toString();,if (type != null ) String erasedType = type.asElement().toString();
ModelUtilsTest.java,TypeMirror typeArgument = method.getReturnType();,if (method != null ) TypeMirror typeArgument = method.getReturnType();
FunctionalType.java,TypeMirror parameter = getOnlyElement(methodType.getParameterTypes());,if (getOnlyElement(methodType != null ) TypeMirror parameter = getOnlyElement(methodType.getParameterTypes());
JavacMethodIntrospector.java,ExpressionTree lhs = node.getExpression();,if (node != null ) ExpressionTree lhs = node.getExpression();
PrimitiveOptionalProperty.java,this.elementType = property.getType();,if (property != null ) this.elementType = property.getType();
PrimitiveOptionalProperty.java,String type = elementType.toString();,if (elementType != null ) String type = elementType.toString();
ToStringGeneratorTest.java,SourceBuilder code = SourceStringBuilder.simple();,if (SourceStringBuilder != null ) SourceBuilder code = SourceStringBuilder.simple();
ToStringGeneratorTest.java,SourceBuilder code = SourceStringBuilder.simple();,if (SourceStringBuilder != null ) SourceBuilder code = SourceStringBuilder.simple();
LazyNameTest.java,SourceBuilder code = SourceStringBuilder.simple();,if (SourceStringBuilder != null ) SourceBuilder code = SourceStringBuilder.simple();
LazyNameTest.java,SourceBuilder code = SourceStringBuilder.simple();,if (SourceStringBuilder != null ) SourceBuilder code = SourceStringBuilder.simple();
LazyNameTest.java,SourceBuilder code = SourceStringBuilder.simple();,if (SourceStringBuilder != null ) SourceBuilder code = SourceStringBuilder.simple();
BuildablePropertyTest.java,CompilationUnitBuilder customMutatorType = CompilationUnitBuilder.forTesting();,if (CompilationUnitBuilder != null ) CompilationUnitBuilder customMutatorType = CompilationUnitBuilder.forTesting();
DefaultedMapperMethodTest.java,CompilationUnitBuilder customMapperType = CompilationUnitBuilder.forTesting();,if (CompilationUnitBuilder != null ) CompilationUnitBuilder customMapperType = CompilationUnitBuilder.forTesting();
