Filename,Buggy/Deleted,Fixed/Added
HikariPool.java,var toRemove = notInUse.size() - config.getMinimumIdle();,if (config != null ) var toRemove = notInUse.size() - config.getMinimumIdle();
HikariPool.java,final int queueDepth = addConnectionQueueDepth.get();,if (addConnectionQueueDepth != null ) final int queueDepth = addConnectionQueueDepth.get();
HikariPool.java,final var queueDepth = addConnectionQueueDepth.get();,if (addConnectionQueueDepth != null ) final var queueDepth = addConnectionQueueDepth.get();
HikariConfig.java,final ClassLoader threadContextClassLoader = Thread.currentThread().getContextClassLoader();,if (Thread != null ) final ClassLoader threadContextClassLoader = Thread.currentThread().getContextClassLoader();
HikariConfig.java,final ThreadLocalRandom random = ThreadLocalRandom.current();,if (ThreadLocalRandom != null ) final ThreadLocalRandom random = ThreadLocalRandom.current();
HikariJNDIFactory.java,Enumeration<RefAddr> enumeration = ref.getAll();,if (ref != null ) Enumeration<RefAddr> enumeration = ref.getAll();
HikariJNDIFactory.java,RefAddr element = enumeration.nextElement();,if (enumeration != null ) RefAddr element = enumeration.nextElement();
HikariJNDIFactory.java,String type = element.getType();,if (element != null ) String type = element.getType();
PoolStats.java,final long reloadTime = reloadAt.get();,if (reloadAt != null ) final long reloadTime = reloadAt.get();
CodahaleHealthChecker.java,final Properties healthCheckProperties = hikariConfig.getHealthCheckProperties();,if (hikariConfig != null ) final Properties healthCheckProperties = hikariConfig.getHealthCheckProperties();
CodahaleHealthChecker.java,final MetricRegistry metricRegistry = (MetricRegistry) hikariConfig.getMetricRegistry();,if (hikariConfig != null ) final MetricRegistry metricRegistry = (MetricRegistry) hikariConfig.getMetricRegistry();
HikariPool.java,final Connection connection = poolEntry.close();,if (poolEntry != null ) final Connection connection = poolEntry.close();
HikariPool.java,final long maxLifetime = config.getMaxLifetime();,if (config != null ) final long maxLifetime = config.getMaxLifetime();
HikariPool.java,final long initializationTimeout = config.getInitializationFailTimeout();,if (config != null ) final long initializationTimeout = config.getInitializationFailTimeout();
HikariPool.java,final long idleTimeout = config.getIdleTimeout();,if (config != null ) final long idleTimeout = config.getIdleTimeout();
HikariPool.java,int toRemove = notInUse.size() - config.getMinimumIdle();,if (config != null ) int toRemove = notInUse.size() - config.getMinimumIdle();
PoolBase.java,final MBeanServer mBeanServer = ManagementFactory.getPlatformMBeanServer();,if (ManagementFactory != null ) final MBeanServer mBeanServer = ManagementFactory.getPlatformMBeanServer();
PoolBase.java,final String jdbcUrl = config.getJdbcUrl();,if (config != null ) final String jdbcUrl = config.getJdbcUrl();
PoolBase.java,final String username = config.getUsername();,if (config != null ) final String username = config.getUsername();
PoolBase.java,final String password = config.getPassword();,if (config != null ) final String password = config.getPassword();
PoolBase.java,final String dsClassName = config.getDataSourceClassName();,if (config != null ) final String dsClassName = config.getDataSourceClassName();
PoolBase.java,final String driverClassName = config.getDriverClassName();,if (config != null ) final String driverClassName = config.getDriverClassName();
PoolBase.java,final String dataSourceJNDI = config.getDataSourceJNDI();,if (config != null ) final String dataSourceJNDI = config.getDataSourceJNDI();
PoolBase.java,final Properties dataSourceProperties = config.getDataSourceProperties();,if (config != null ) final Properties dataSourceProperties = config.getDataSourceProperties();
PoolBase.java,DataSource ds = config.getDataSource();,if (config != null ) DataSource ds = config.getDataSource();
PoolBase.java,String username = config.getUsername();,if (config != null ) String username = config.getUsername();
PoolBase.java,String password = config.getPassword();,if (config != null ) String password = config.getPassword();
PoolBase.java,final int originalTimeout = connection.getNetworkTimeout();,if (connection != null ) final int originalTimeout = connection.getNetworkTimeout();
ProxyConnection.java,final String sqlState = nse.getSQLState();,if (nse != null ) final String sqlState = nse.getSQLState();
ProxyConnection.java,final int size = openStatements.size();,if (openStatements != null ) final int size = openStatements.size();
ProxyDatabaseMetaData.java,final String delegateToString = delegate.toString();,if (delegate != null ) final String delegateToString = delegate.toString();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,ResultSet resultSet = delegate.getSchemas();,if (delegate != null ) ResultSet resultSet = delegate.getSchemas();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,ResultSet resultSet = delegate.getCatalogs();,if (delegate != null ) ResultSet resultSet = delegate.getCatalogs();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,ResultSet resultSet = delegate.getTableTypes();,if (delegate != null ) ResultSet resultSet = delegate.getTableTypes();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,Statement statement = resultSet.getStatement();,if (resultSet != null ) Statement statement = resultSet.getStatement();
ProxyDatabaseMetaData.java,ResultSet resultSet = delegate.getTypeInfo();,if (delegate != null ) ResultSet resultSet = delegate.getTypeInfo();
