Filename,Buggy/Deleted,Fixed/Added
JestResult.java,String json = source.toString();,if (source != null ) String json = source.toString();
Suggest.java,this.payload = builder.getQuery();,if (builder != null ) this.payload = builder.getQuery();
SuggestTest.java,"Suggest suggest = new Suggest.Builder("""").build();","if (Suggest != null ) Suggest suggest = new Suggest.Builder("""").build();"
AliasExistsIntegrationTest.java,AliasExists aliasExists = new AliasExists.Builder().build();,if (AliasExists != null ) AliasExists aliasExists = new AliasExists.Builder().build();
FieldStats.java,String buildURI = super.buildURI();,if (super != null ) String buildURI = super.buildURI();
SearchScrollTest.java,String uri = searchScroll.getURI();,if (searchScroll != null ) String uri = searchScroll.getURI();
SearchScrollTest.java,String uri = searchScroll.getURI();,if (searchScroll != null ) String uri = searchScroll.getURI();
ReindexTest.java,String generatedURI = reindex.getURI();,if (reindex != null ) String generatedURI = reindex.getURI();
JestDroidClient.java,"String elasticSearchRestUrl = getRequestURL(getNextServer(), clientRequest.getURI());","if (clientRequest != null ) String elasticSearchRestUrl = getRequestURL(getNextServer(), clientRequest.getURI());"
AbstractDocumentTargetedAction.java,StringBuilder sb = new StringBuilder(super.buildURI());,if (StringBuilder(super != null ) StringBuilder sb = new StringBuilder(super.buildURI());
Cat.java,String uriSuffix = super.buildURI();,if (super != null ) String uriSuffix = super.buildURI();
NodesHotThreadsTest.java,Action action = new NodesHotThreads.Builder().build();,if (NodesHotThreads != null ) Action action = new NodesHotThreads.Builder().build();
NodesShutdownTest.java,Action action = new NodesShutdown.Builder().build();,if (NodesShutdown != null ) Action action = new NodesShutdown.Builder().build();
PendingClusterTasksTest.java,Action action = new PendingClusterTasks.Builder().build();,if (PendingClusterTasks != null ) Action action = new PendingClusterTasks.Builder().build();
StateTest.java,Action action = new State.Builder().build();,if (State != null ) Action action = new State.Builder().build();
StatsTest.java,Action action = new Stats.Builder().build();,if (Stats != null ) Action action = new Stats.Builder().build();
TasksInformationTest.java,Action action = new TasksInformation.Builder().build();,if (TasksInformation != null ) Action action = new TasksInformation.Builder().build();
SearchTest.java,"Action search = new Search.Builder("""").build();","if (Search != null ) Action search = new Search.Builder("""").build();"
SearchTest.java,"Action search = new Search.TemplateBuilder("""").build();","if (Search != null ) Action search = new Search.TemplateBuilder("""").build();"
SuggestTest.java,"Action suggest = new Suggest.Builder("""").build();","if (Suggest != null ) Action suggest = new Suggest.Builder("""").build();"
JestHttpClient.java,"String elasticSearchRestUrl = getRequestURL(getNextServer(), clientRequest.getURI());","if (clientRequest != null ) String elasticSearchRestUrl = getRequestURL(getNextServer(), clientRequest.getURI());"
FailingProxy.java,final int port = deadSocket.getLocalPort();,if (deadSocket != null ) final int port = deadSocket.getLocalPort();
MultiSearchResult.java,errorMessage = error.getAsString();,if (error != null ) errorMessage = error.getAsString();
MultiSearchResult.java,errorMessage = error.toString();,if (error != null ) errorMessage = error.toString();
JestClientFactoryIntegrationTest.java,JestHttpClient jestClient = (JestHttpClient) factory.getObject();,if (factory != null ) JestHttpClient jestClient = (JestHttpClient) factory.getObject();
JestClientFactoryIntegrationTest.java,numServers = jestClient.getServerPoolSize();,if (jestClient != null ) numServers = jestClient.getServerPoolSize();
JestClientFactoryIntegrationTest.java,JestHttpClient jestClient = (JestHttpClient) factory.getObject();,if (factory != null ) JestHttpClient jestClient = (JestHttpClient) factory.getObject();
JestClientFactoryIntegrationTest.java,JestHttpClient jestClient = (JestHttpClient) factory.getObject();,if (factory != null ) JestHttpClient jestClient = (JestHttpClient) factory.getObject();
JestClientFactoryIntegrationTest.java,JestHttpClient jestClient = (JestHttpClient) factory.getObject();,if (factory != null ) JestHttpClient jestClient = (JestHttpClient) factory.getObject();
JestHttpClientConfiguredProxyIntegrationTest.java,customJestClient = (JestHttpClient) factory.getObject();,if (factory != null ) customJestClient = (JestHttpClient) factory.getObject();
JestHttpClientConfiguredProxyIntegrationTest.java,customJestClient = (JestHttpClient) factory.getObject();,if (factory != null ) customJestClient = (JestHttpClient) factory.getObject();
JestHttpClientConfiguredProxyIntegrationTest.java,customJestClient = (JestHttpClient) factory.getObject();,if (factory != null ) customJestClient = (JestHttpClient) factory.getObject();
JestHttpClientSystemWideProxyIntegrationTest.java,JestHttpClient jestClient = (JestHttpClient) factory.getObject();,if (factory != null ) JestHttpClient jestClient = (JestHttpClient) factory.getObject();
JestHttpClientSystemWideProxyIntegrationTest.java,jestClient = (JestHttpClient) factory.getObject();,if (factory != null ) jestClient = (JestHttpClient) factory.getObject();
SearchResultTest.java,Integer total = searchResult.getTotal();,if (searchResult != null ) Integer total = searchResult.getTotal();
SearchResultTest.java,Integer total = searchResult.getTotal();,if (searchResult != null ) Integer total = searchResult.getTotal();
SearchScroll.java,this.payload = builder.getScrollId();,if (builder != null ) this.payload = builder.getScrollId();
NodeChecker.java,String httpAddress = getHttpAddress(addressElement.getAsString());,if (getHttpAddress(addressElement != null ) String httpAddress = getHttpAddress(addressElement.getAsString());
NodeChecker.java,String httpAddress = getHttpAddress(addressElement.getAsString());,if (getHttpAddress(addressElement != null ) String httpAddress = getHttpAddress(addressElement.getAsString());
SearchTest.java,JsonObject obj = parsed.getAsJsonObject();,if (parsed != null ) JsonObject obj = parsed.getAsJsonObject();
JestResult.java,Field[] fields = type.getDeclaredFields();,if (type != null ) Field[] fields = type.getDeclaredFields();
FailingProxyTest.java,Exception exception = resultHandler.get();,if (resultHandler != null ) Exception exception = resultHandler.get();
NodeChecker.java,this.bootstrapServerList = ImmutableSet.copyOf(clientConfig.getServerList());,if (ImmutableSet != null ) this.bootstrapServerList = ImmutableSet.copyOf(clientConfig.getServerList());
JestClientFactory.java,HttpHost preemptiveAuthTargetHost = httpClientConfig.getPreemptiveAuthTargetHost();,if (httpClientConfig != null ) HttpHost preemptiveAuthTargetHost = httpClientConfig.getPreemptiveAuthTargetHost();
GetSnapshotRepository.java,repositoryNamePath = builder.getJoinedRepositories();,if (builder != null ) repositoryNamePath = builder.getJoinedRepositories();
GetSnapshotRepository.java,repositoryNamePath = builder.getJoinedRepositoryNames();,if (builder != null ) repositoryNamePath = builder.getJoinedRepositoryNames();
NodeCheckerTest.java,Set servers = argument.getValue();,if (argument != null ) Set servers = argument.getValue();
NodeCheckerTest.java,servers = argument.getValue();,if (argument != null ) servers = argument.getValue();
NodeCheckerTest.java,Iterator serversItr = servers.iterator();,if (servers != null ) Iterator serversItr = servers.iterator();
NodeCheckerTest.java,servers = argument.getValue();,if (argument != null ) servers = argument.getValue();
NodeCheckerTest.java,serversItr = servers.iterator();,if (servers != null ) serversItr = servers.iterator();
NodeCheckerTest.java,servers = argument.getValue();,if (argument != null ) servers = argument.getValue();
NodeCheckerTest.java,serversItr = servers.iterator();,if (servers != null ) serversItr = servers.iterator();
JestClientFactory.java,return str == null || str.isEmpty();,if (str != null ) return str == null || str.isEmpty();
NodeCheckerTest.java,Set servers = argument.getValue();,if (argument != null ) Set servers = argument.getValue();
NodeCheckerTest.java,servers = argument.getValue();,if (argument != null ) servers = argument.getValue();
NodeCheckerTest.java,Iterator serversItr = servers.iterator();,if (servers != null ) Iterator serversItr = servers.iterator();
NodeCheckerTest.java,servers = argument.getValue();,if (argument != null ) servers = argument.getValue();
NodeCheckerTest.java,serversItr = servers.iterator();,if (servers != null ) serversItr = servers.iterator();
NodeCheckerTest.java,servers = argument.getValue();,if (argument != null ) servers = argument.getValue();
NodeCheckerTest.java,serversItr = servers.iterator();,if (servers != null ) serversItr = servers.iterator();
AbstractJestClient.java,Iterator<String> iterator = serverPoolReference.get().getValue();,if (serverPoolReference != null ) Iterator<String> iterator = serverPoolReference.get().getValue();
AbstractAction.java,Field[] fields = source.getClass().getDeclaredFields();,if (source != null ) Field[] fields = source.getClass().getDeclaredFields();
AbstractAction.java,Field[] fields = source.getClass().getDeclaredFields();,if (source != null ) Field[] fields = source.getClass().getDeclaredFields();
