Filename,Buggy/Deleted,Fixed/Added
CaseWhenExpression.java,List<ConditionResult> casesCopy = new ArrayList<>(cases.size());,if (ArrayList<>(cases != null ) List<ConditionResult> casesCopy = new ArrayList<>(cases.size());
CaseWhenExpression.java,condCopy.condition = cond.condition.copy();,if (cond != null ) condCopy.condition = cond.condition.copy();
CaseWhenExpression.java,condCopy.result = cond.result.copy();,if (cond != null ) condCopy.result = cond.result.copy();
CustomTupleRowReader.java,sum += subreaders[n].getNumColumns();,if (subreaders[n] != null ) sum += subreaders[n].getNumColumns();
CustomTupleRowReader.java,offset += subreaders[n].getNumColumns();,if (subreaders[n] != null ) offset += subreaders[n].getNumColumns();
CustomTupleRowReader.java,offset += subreaders[n].getNumColumns();,if (subreaders[n] != null ) offset += subreaders[n].getNumColumns();
QueryGenerationState.java,multiplier *= TableLetters.length();,if (TableLetters != null ) multiplier *= TableLetters.length();
SubqueryExpression.java,expr.subquery = subquery.deepCopy();,if (subquery != null ) expr.subquery = subquery.deepCopy();
TupleRowReader.java,sum += subreaders[n].getNumColumns();,if (subreaders[n] != null ) sum += subreaders[n].getNumColumns();
TupleRowReader.java,offset += subreaders[n].getNumColumns();,if (subreaders[n] != null ) offset += subreaders[n].getNumColumns();
TupleRowReader.java,offset += subreaders[n].getNumColumns();,if (subreaders[n] != null ) offset += subreaders[n].getNumColumns();
AggregateTransform.java,SelectFromWhere<V> select = (SelectFromWhere<V>)query.shallowCopy();,if ((SelectFromWhere<V>)query != null ) SelectFromWhere<V> select = (SelectFromWhere<V>)query.shallowCopy();
AggregateTransform.java,aggregatedExpr = select.cols.getOnlyColumn();,if (select != null ) aggregatedExpr = select.cols.getOnlyColumn();
AggregateTransform.java,SelectOnly<U> toReturn = (SelectOnly<U>)select.shallowCopy();,if ((SelectOnly<U>)select != null ) SelectOnly<U> toReturn = (SelectOnly<U>)select.shallowCopy();
CrossJoinTransform.java,Expression offsetCol = col.copy();,if (col != null ) Expression offsetCol = col.copy();
DistinctTransform.java,SelectOnly<U> toReturn = (SelectOnly<U>)select.shallowCopy();,if ((SelectOnly<U>)select != null ) SelectOnly<U> toReturn = (SelectOnly<U>)select.shallowCopy();
JPQLQueryTransform.java,int numPaths = lambda.symbolicAnalysis.paths.size();,if (lambda != null ) int numPaths = lambda.symbolicAnalysis.paths.size();
