Filename,Buggy/Deleted,Fixed/Added
DBShutdownHook.java,File dataDir = dataDirSupplier.get();,if (dataDirSupplier != null ) File dataDir = dataDirSupplier.get();
DBShutdownHook.java,File baseDir = baseDirSupplier.get();,if (baseDirSupplier != null ) File baseDir = baseDirSupplier.get();
MariaDB4jStartMojoTest.java,Statement stmt = conn.createStatement();,if (conn != null ) Statement stmt = conn.createStatement();
DB.java,ManagedProcess mysqlInstallProcess = builder.build();,if (builder != null ) ManagedProcess mysqlInstallProcess = builder.build();
StartSimulatedForAllPlatformsTest.java,ManagedProcess installProc = db.installPreparation();,if (db != null ) ManagedProcess installProc = db.installPreparation();
DB.java,"InputStream from = IOUtils.toInputStream(command, Charset.defaultCharset());","if (Charset != null ) InputStream from = IOUtils.toInputStream(command, Charset.defaultCharset());"
DB.java,"InputStream from = IOUtils.toInputStream(command, Charset.defaultCharset());","if (Charset != null ) InputStream from = IOUtils.toInputStream(command, Charset.defaultCharset());"
ManagedProcess.java,ExecuteException e = resultHandler.getException();,if (resultHandler != null ) ExecuteException e = resultHandler.getException();
ManagedProcess.java,procShortName = exec.getName();,if (exec != null ) procShortName = exec.getName();
ManagedProcessBuilder.java,File exec = new File(commonsExecCommandLine.getExecutable());,if (File(commonsExecCommandLine != null ) File exec = new File(commonsExecCommandLine.getExecutable());
ManagedProcessBuilder.java,File dir = exec.getParentFile();,if (exec != null ) File dir = exec.getParentFile();
ManagedProcessBuilderTest.java,File cwd = mbp.getWorkingDirectory();,if (mbp != null ) File cwd = mbp.getWorkingDirectory();
ManagedProcessTest.java,ManagedProcess p = pb.build();,if (pb != null ) ManagedProcess p = pb.build();
DB.java,String socket = config.getSocket();,if (config != null ) String socket = config.getSocket();
DB.java,baseDir = Util.getDirectory(config.getBaseDir());,if (Util != null ) baseDir = Util.getDirectory(config.getBaseDir());
DB.java,libDir = Util.getDirectory(config.getLibDir());,if (Util != null ) libDir = Util.getDirectory(config.getLibDir());
DB.java,String dataDirPath = config.getDataDir();,if (config != null ) String dataDirPath = config.getDataDir();
Util.java,URL url = resource.getURL();,if (resource != null ) URL url = resource.getURL();
ManagedProcess.java,ExecuteException e = resultHandler.getException();,if (resultHandler != null ) ExecuteException e = resultHandler.getException();
ManagedProcess.java,procShortName = exec.getName();,if (exec != null ) procShortName = exec.getName();
ManagedProcessBuilder.java,File exec = new File(commonsExecCommandLine.getExecutable());,if (File(commonsExecCommandLine != null ) File exec = new File(commonsExecCommandLine.getExecutable());
ManagedProcessBuilder.java,File dir = exec.getParentFile();,if (exec != null ) File dir = exec.getParentFile();
DB.java,ManagedProcess mysqlInstallProcess = builder.build();,if (builder != null ) ManagedProcess mysqlInstallProcess = builder.build();
DB.java,"InputStream from = IOUtils.toInputStream(command, Charset.defaultCharset());","if (Charset != null ) InputStream from = IOUtils.toInputStream(command, Charset.defaultCharset());"
DB.java,ManagedProcess process = builder.build();,if (builder != null ) ManagedProcess process = builder.build();
DBConfigurationBuilder.java,port = ss.getLocalPort();,if (ss != null ) port = ss.getLocalPort();
MariaDB4jService.java,configBuilder = DBConfigurationBuilder.newBuilder();,if (DBConfigurationBuilder != null ) configBuilder = DBConfigurationBuilder.newBuilder();
MariaDB4jService.java,db = DB.newEmbeddedDB(getConfiguration().build());,if (DB != null ) db = DB.newEmbeddedDB(getConfiguration().build());
Util.java,String absPath = dir.getAbsolutePath();,if (dir != null ) String absPath = dir.getAbsolutePath();
Util.java,URL url = resource.getURL();,if (resource != null ) URL url = resource.getURL();
Util.java,String path = url.toString();,if (url != null ) String path = url.toString();
Util.java,int p = path.lastIndexOf(packagePath) + packagePath.length();,if (packagePath != null ) int p = path.lastIndexOf(packagePath) + packagePath.length();
Util.java,long len = resource.contentLength();,if (resource != null ) long len = resource.contentLength();
ManagedProcessBuilderTest.java,File cwd = mbp.getWorkingDirectory();,if (mbp != null ) File cwd = mbp.getWorkingDirectory();
ManagedProcessTest.java,ManagedProcess p = pb.build();,if (pb != null ) ManagedProcess p = pb.build();
MariaDB4jSampleOtherTest.java,DBConfigurationBuilder config = DBConfigurationBuilder.newBuilder();,if (DBConfigurationBuilder != null ) DBConfigurationBuilder config = DBConfigurationBuilder.newBuilder();
MariaDB4jSampleOtherTest.java,DB db = DB.newEmbeddedDB(config.build());,if (DB != null ) DB db = DB.newEmbeddedDB(config.build());
MariaDB4jSampleTutorialTest.java,DBConfigurationBuilder config = DBConfigurationBuilder.newBuilder();,if (DBConfigurationBuilder != null ) DBConfigurationBuilder config = DBConfigurationBuilder.newBuilder();
MariaDB4jSampleTutorialTest.java,DB db = DB.newEmbeddedDB(config.build());,if (DB != null ) DB db = DB.newEmbeddedDB(config.build());
ManagedProcessTest.java,ManagedProcess p = pb.build();,if (pb != null ) ManagedProcess p = pb.build();
