Filename,Buggy/Deleted,Fixed/Added
SyntheticModulesExtension.java,this.outputDirectory = objects.directoryProperty();,if (objects != null ) this.outputDirectory = objects.directoryProperty();
RuntimeDecompiler.java,File file = new File(codeSource.toURI());,if (File(codeSource != null ) File file = new File(codeSource.toURI());
AnnotatedMixinElementHandlerSoftImplements.java,String name = method.getSimpleName().toString();,if (method != null ) String name = method.getSimpleName().toString();
TargetValidator.java,TypeMirror targetType = target.getType();,if (target != null ) TypeMirror targetType = target.getType();
AnnotatedMixin.java,this.primaryTarget = this.initTargets();,if (this != null ) this.primaryTarget = this.initTargets();
MixinServiceLaunchWrapper.java,Profiler profiler = MixinEnvironment.getProfiler();,if (MixinEnvironment != null ) Profiler profiler = MixinEnvironment.getProfiler();
MixinClassGenerator.java,this.profiler = MixinEnvironment.getProfiler();,if (MixinEnvironment != null ) this.profiler = MixinEnvironment.getProfiler();
MixinCoprocessors.java,this.profiler = MixinEnvironment.getProfiler();,if (MixinEnvironment != null ) this.profiler = MixinEnvironment.getProfiler();
MixinProcessor.java,this.profiler = MixinEnvironment.getProfiler();,if (MixinEnvironment != null ) this.profiler = MixinEnvironment.getProfiler();
TargetClassContext.java,this.profiler = MixinEnvironment.getProfiler();,if (MixinEnvironment != null ) this.profiler = MixinEnvironment.getProfiler();
MixinService.java,this.service = this.initService();,if (this != null ) this.service = this.initService();
InnerClassGenerator.java,this.targetName = target.getTargetClassRef();,if (target != null ) this.targetName = target.getTargetClassRef();
MixinApplicatorStandard.java,String nestHostClass = mixin.getNestHostClass();,if (mixin != null ) String nestHostClass = mixin.getNestHostClass();
MixinApplicatorStandard.java,List<String> nestMembers = mixin.getNestMembers();,if (mixin != null ) List<String> nestMembers = mixin.getNestMembers();
MixinCoprocessorAccessor.java,String className = mixin.getClassName();,if (mixin != null ) String className = mixin.getClassName();
MixinInfo.java,MixinPreProcessorStandard preProcessor = type.createPreProcessor(classNode).prepare();,if (type != null ) MixinPreProcessorStandard preProcessor = type.createPreProcessor(classNode).prepare();
MixinTransformationHandler.java,ISyntheticClassInfo syntheticClass = this.registry.findSyntheticClass(classType.getClassName());,if (this != null ) ISyntheticClassInfo syntheticClass = this.registry.findSyntheticClass(classType.getClassName());
MixinTransformationHandler.java,MixinEnvironment environment = MixinEnvironment.getCurrentEnvironment();,if (MixinEnvironment != null ) MixinEnvironment environment = MixinEnvironment.getCurrentEnvironment();
MixinTransformationHandler.java,ISyntheticClassInfo syntheticClass = this.registry.findSyntheticClass(classType.getClassName());,if (this != null ) ISyntheticClassInfo syntheticClass = this.registry.findSyntheticClass(classType.getClassName());
MixinPreProcessorStandard.java,Activity methodActivity = this.activities.begin(mixinMethod.toString());,if (this != null ) Activity methodActivity = this.activities.begin(mixinMethod.toString());
MixinProcessor.java,IMixinErrorHandler handler = (IMixinErrorHandler)handlerClass.newInstance();,if ((IMixinErrorHandler)handlerClass != null ) IMixinErrorHandler handler = (IMixinErrorHandler)handlerClass.newInstance();
MixinServiceModLauncher.java,private ContainerHandleModLauncher rootContainer = new ContainerHandleModLauncher(this.getName());,if (ContainerHandleModLauncher(this != null ) private ContainerHandleModLauncher rootContainer = new ContainerHandleModLauncher(this.getName());
MixinConfig.java,CompatibilityLevel current = MixinEnvironment.getCompatibilityLevel();,if (MixinEnvironment != null ) CompatibilityLevel current = MixinEnvironment.getCompatibilityLevel();
MixinTargetContext.java,CompatibilityLevel compatibilityLevel = MixinEnvironment.getCompatibilityLevel();,if (MixinEnvironment != null ) CompatibilityLevel compatibilityLevel = MixinEnvironment.getCompatibilityLevel();
MixinTransformer.java,classNode.version = MixinEnvironment.getCompatibilityLevel().classVersion();,if (MixinEnvironment != null ) classNode.version = MixinEnvironment.getCompatibilityLevel().classVersion();
ASM.java,ASM.maxVersion = field.getName();,if (field != null ) ASM.maxVersion = field.getName();
SignaturePrinter.java,String typeName = type.getClassName();,if (type != null ) String typeName = type.getClassName();
TargetSelector.java,TNode node = element.get();,if (element != null ) TNode node = element.get();
MemberRef.java,int opcode = MemberRef.opcodeFromTag(this.handle.getTag());,if (MemberRef != null ) int opcode = MemberRef.opcodeFromTag(this.handle.getTag());
MemberRef.java,String name = Bytecode.getOpcodeName(this.getOpcode());,if (Bytecode != null ) String name = Bytecode.getOpcodeName(this.getOpcode());
MixinConnectorManager.java,IMixinConnector connector = connectorClass.newInstance();,if (connectorClass != null ) IMixinConnector connector = connectorClass.newInstance();
MixinContainer.java,IMixinPlatformAgent agent = clazz.newInstance();,if (clazz != null ) IMixinPlatformAgent agent = clazz.newInstance();
MixinEnvironment.java,IEnvironmentTokenProvider provider = providerClass.newInstance();,if (providerClass != null ) IEnvironmentTokenProvider provider = providerClass.newInstance();
PluginHandle.java,plugin = (IMixinConfigPlugin)pluginClass.newInstance();,if ((IMixinConfigPlugin)pluginClass != null ) plugin = (IMixinConfigPlugin)pluginClass.newInstance();
MixinServiceAbstract.java,IMixinPlatformAgent agent = agentClass.newInstance();,if (agentClass != null ) IMixinPlatformAgent agent = agentClass.newInstance();
MixinPlatformAgentFMLLegacy.java,this.clCoreModManager = MixinPlatformAgentFMLLegacy.getCoreModManagerClass();,if (MixinPlatformAgentFMLLegacy != null ) this.clCoreModManager = MixinPlatformAgentFMLLegacy.getCoreModManagerClass();
MixinTransformationHandler.java,this.registry = transformer.getExtensions().getSyntheticClassRegistry();,if (transformer != null ) this.registry = transformer.getExtensions().getSyntheticClassRegistry();
AnnotatedMixinElementHandlerInjector.java,String target = member.toCtorType();,if (member != null ) String target = member.toCtorType();
AnnotatedMixinElementHandlerInjector.java,String desc = member.toCtorDesc();,if (member != null ) String desc = member.toCtorDesc();
BeforeInvoke.java,this.context = data.getMixin();,if (data != null ) this.context = data.getMixin();
InjectionInfo.java,int matchCount = selector.getMatchCount();,if (selector != null ) int matchCount = selector.getMatchCount();
InjectionPoint.java,String id = code.value();,if (code != null ) String id = code.value();
InjectionPoint.java,"id = namespace + "":"" + code.value();","if (code != null ) id = namespace + "":"" + code.value();"
MethodSlice.java,String annotation = Bytecode.getSimpleName(owner.getAnnotation());,if (Bytecode != null ) String annotation = Bytecode.getSimpleName(owner.getAnnotation());
MethodSlices.java,AnnotationNode annotation = info.getAnnotation();,if (info != null ) AnnotationNode annotation = info.getAnnotation();
AnnotatedMixinElementHandlerInjector.java,ITargetSelector oldMember = TargetSelector.parse(ex.getOld());,if (TargetSelector != null ) ITargetSelector oldMember = TargetSelector.parse(ex.getOld());
AnnotatedMixinElementHandlerInjector.java,ITargetSelector newMember = TargetSelector.parse(ex.getNew());,if (TargetSelector != null ) ITargetSelector newMember = TargetSelector.parse(ex.getNew());
AccessorGenerator.java,IMixinContext context = this.info.getContext();,if (this != null ) IMixinContext context = this.info.getContext();
Injector.java,IMixinContext mixin = this.info.getContext();,if (this != null ) IMixinContext mixin = this.info.getContext();
RedirectInjector.java,int priority = info.getContext().getPriority();,if (info != null ) int priority = info.getContext().getPriority();
ModifyVariableInjector.java,this.mixin = data.getContext();,if (data != null ) this.mixin = data.getContext();
BeforeFinalReturn.java,this.context = data.getContext();,if (data != null ) this.context = data.getContext();
