Filename,Buggy/Deleted,Fixed/Added
AbstractSymbolLocation.java,this.uri = enclosingClass.sourcefile.toUri();,if (enclosingClass != null ) this.uri = enclosingClass.sourcefile.toUri();
NullAway.java,int argPos = entry.getKey();,if (entry != null ) int argPos = entry.getKey();
NullAway.java,nullableParamsOfOverriden = builder.build();,if (builder != null ) nullableParamsOfOverriden = builder.build();
NullAway.java,nonNullPositions = builder.build();,if (builder != null ) nonNullPositions = builder.build();
NullAwaySerializationTest.java,String output = tempRoot.toString();,if (tempRoot != null ) String output = tempRoot.toString();
NullAwaySerializationTest.java,configPath = config.toString();,if (config != null ) configPath = config.toString();
MethodParamNullableInjectorHandler.java,this.config = config.getSerializationConfig();,if (config != null ) this.config = config.getSerializationConfig();
NullAwaySerializationTest.java,String output = tempRoot.toString();,if (tempRoot != null ) String output = tempRoot.toString();
NullAwaySerializationTest.java,configPath = config.toString();,if (config != null ) configPath = config.toString();
NullAway.java,SuggestedFix.Builder fixBuilder = SuggestedFix.builder();,if (SuggestedFix != null ) SuggestedFix.Builder fixBuilder = SuggestedFix.builder();
AccessPathNullnessAnalysis.java,this.dataFlow = new DataFlow(config.assertsEnabled());,if (DataFlow(config != null ) this.dataFlow = new DataFlow(config.assertsEnabled());
AccessPath.java,result = new Root(fieldAccess.getElement());,if (Root(fieldAccess != null ) result = new Root(fieldAccess.getElement());
AccessPath.java,int result = root.hashCode();,if (root != null ) int result = root.hashCode();
AccessPathNullnessAnalysis.java,AccessPath.Root root = ap.getRoot();,if (ap != null ) AccessPath.Root root = ap.getRoot();
AccessPathNullnessAnalysis.java,Element e = root.getElement();,if (root != null ) Element e = root.getElement();
AccessPathNullnessAnalysis.java,Element element = ap.getRoot().getElement();,if (ap != null ) Element element = ap.getRoot().getElement();
NullnessStore.java,Element element = ap.getRoot().getElement();,if (ap != null ) Element element = ap.getRoot().getElement();
OptionalEmptinessHandler.java,AccessPath.Root root = accessPath.getRoot();,if (accessPath != null ) AccessPath.Root root = accessPath.getRoot();
OptionalEmptinessHandler.java,final Element e = root.getElement();,if (root != null ) final Element e = root.getElement();
ClassAndMethodInfo.java,clazz = (ClassTree) path.getLeaf();,if (path != null ) clazz = (ClassTree) path.getLeaf();
ClassAndMethodInfo.java,method = (MethodTree) path.getLeaf();,if (path != null ) method = (MethodTree) path.getLeaf();
AccessPath.java,accessPathElement = new AccessPathElement(accessNode.getMethod());,if (AccessPathElement(accessNode != null ) accessPathElement = new AccessPathElement(accessNode.getMethod());
AccessPathNullnessAnalysis.java,Element e = root.getVarElement();,if (root != null ) Element e = root.getVarElement();
