Filename,Buggy/Deleted,Fixed/Added
Benchmark.java,imBsi = mBsi.toImmutableBitSliceIndex();,if (mBsi != null ) imBsi = mBsi.toImmutableBitSliceIndex();
Benchmark.java,long s = System.currentTimeMillis();,if (System != null ) long s = System.currentTimeMillis();
Benchmark.java,long s = System.currentTimeMillis();,if (System != null ) long s = System.currentTimeMillis();
Benchmark.java,long s = System.currentTimeMillis();,if (System != null ) long s = System.currentTimeMillis();
Benchmark.java,long s = System.currentTimeMillis();,if (System != null ) long s = System.currentTimeMillis();
Benchmark.java,long s = System.currentTimeMillis();,if (System != null ) long s = System.currentTimeMillis();
Benchmark.java,int mSize = bsi.serializedSizeInBytes();,if (bsi != null ) int mSize = bsi.serializedSizeInBytes();
RangeBitmap.java,int type = buffer.get();,if (buffer != null ) int type = buffer.get();
RangeBitmap.java,int type = buffer.get();,if (buffer != null ) int type = buffer.get();
Roaring64Bitmap.java,LeafNode leafNode = keyIte.next();,if (keyIte != null ) LeafNode leafNode = keyIte.next();
Roaring64Bitmap.java,high = leafNode.getKeyBytes();,if (leafNode != null ) high = leafNode.getKeyBytes();
Roaring64Bitmap.java,long containerIdx = leafNode.getContainerIdx();,if (leafNode != null ) long containerIdx = leafNode.getContainerIdx();
Roaring64Bitmap.java,LeafNode leafNode = keyIte.next();,if (keyIte != null ) LeafNode leafNode = keyIte.next();
Roaring64Bitmap.java,high = leafNode.getKeyBytes();,if (leafNode != null ) high = leafNode.getKeyBytes();
Roaring64Bitmap.java,long containerIdx = leafNode.getContainerIdx();,if (leafNode != null ) long containerIdx = leafNode.getContainerIdx();
Roaring64Bitmap.java,LeafNode leafNode = keyIte.peekNext();,if (keyIte != null ) LeafNode leafNode = keyIte.peekNext();
Roaring64Bitmap.java,LeafNode leafNode = keyIte.next();,if (keyIte != null ) LeafNode leafNode = keyIte.next();
Roaring64Bitmap.java,this.high = leafNode.getKeyBytes();,if (leafNode != null ) this.high = leafNode.getKeyBytes();
Roaring64Bitmap.java,long containerIdx = leafNode.getContainerIdx();,if (leafNode != null ) long containerIdx = leafNode.getContainerIdx();
Roaring64Bitmap.java,LeafNode leafNode = keyIte.next();,if (keyIte != null ) LeafNode leafNode = keyIte.next();
Roaring64Bitmap.java,high = leafNode.getKeyBytes();,if (leafNode != null ) high = leafNode.getKeyBytes();
Roaring64Bitmap.java,long containerIdx = leafNode.getContainerIdx();,if (leafNode != null ) long containerIdx = leafNode.getContainerIdx();
Roaring64Bitmap.java,charIterator = container.getCharIterator();,if (container != null ) charIterator = container.getCharIterator();
Roaring64Bitmap.java,charIterator = container.getReverseCharIterator();,if (container != null ) charIterator = container.getReverseCharIterator();
Roaring64Bitmap.java,LeafNode leafNode = keyIte.next();,if (keyIte != null ) LeafNode leafNode = keyIte.next();
Roaring64Bitmap.java,high = leafNode.getKeyBytes();,if (leafNode != null ) high = leafNode.getKeyBytes();
Roaring64Bitmap.java,long containerIdx = leafNode.getContainerIdx();,if (leafNode != null ) long containerIdx = leafNode.getContainerIdx();
Roaring64Bitmap.java,charIterator = container.getCharIterator();,if (container != null ) charIterator = container.getCharIterator();
Roaring64Bitmap.java,charIterator = container.getReverseCharIterator();,if (container != null ) charIterator = container.getReverseCharIterator();
Roaring64Bitmap.java,char low = charIterator.next();,if (charIterator != null ) char low = charIterator.next();
ZipRealDataRetriever.java,"String oneLine = buf.readLine(); // a single, perhaps very long, line","if (line != null ) String oneLine = buf.readLine(); // a single, perhaps very long, line"
simplebenchmark.java,"String oneLine = buf.readLine(); // a single, perhaps very long, line","if (line != null ) String oneLine = buf.readLine(); // a single, perhaps very long, line"
AbstractShuttle.java,pos = currentNodeEntry.node.getMinPos();,if (currentNodeEntry != null ) pos = currentNodeEntry.node.getMinPos();
TestRoaring64Bitmap.java,ByteArrayInputStream byteArrayInputStream = new ByteArrayInputStream(byteArrayOutputStream.toByteArray());,if (ByteArrayInputStream(byteArrayOutputStream != null ) ByteArrayInputStream byteArrayInputStream = new ByteArrayInputStream(byteArrayOutputStream.toByteArray());
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestImmutableRoaringBitmapOrNot.java,final IntIterator iterator = answer.getIntIterator();,if (answer != null ) final IntIterator iterator = answer.getIntIterator();
TestRoaringBitmap.java,ContainerPointer cp = rb.getContainerPointer();,if (rb != null ) ContainerPointer cp = rb.getContainerPointer();
TestRoaringBitmap.java,ContainerPointer cpo = (ContainerPointer) cp.clone();,if (cp != null ) ContainerPointer cpo = (ContainerPointer) cp.clone();
TestRoaringBitmap.java,Object[] correct = hs.toArray();,if (hs != null ) Object[] correct = hs.toArray();
TestRoaringBitmap.java,Integer[] resand = ArrayUtils.toObject(rband.toArray());,if (ArrayUtils != null ) Integer[] resand = ArrayUtils.toObject(rband.toArray());
TestRoaringBitmap.java,final IntIterator i = rb.getIntIterator();,if (rb != null ) final IntIterator i = rb.getIntIterator();
TestRoaringBitmap.java,Object[] correct = hs.toArray();,if (hs != null ) Object[] correct = hs.toArray();
TestRoaringBitmap.java,Integer[] resandNot = ArrayUtils.toObject(rbandnot.toArray());,if (ArrayUtils != null ) Integer[] resandNot = ArrayUtils.toObject(rbandnot.toArray());
TestRoaringBitmap.java,int[] array = rrand.toArray();,if (rrand != null ) int[] array = rrand.toArray();
TestRoaringBitmap.java,array = rr.toArray();,if (rr != null ) array = rr.toArray();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,final int rbcard = rb.getCardinality();,if (rb != null ) final int rbcard = rb.getCardinality();
TestRoaringBitmap.java,Object[] correct = hs.toArray();,if (hs != null ) Object[] correct = hs.toArray();
TestRoaringBitmap.java,Integer[] resor = ArrayUtils.toObject(rbor.toArray());,if (ArrayUtils != null ) Integer[] resor = ArrayUtils.toObject(rbor.toArray());
TestRoaringBitmap.java,final IntIterator iterator = rb.getIntIterator();,if (rb != null ) final IntIterator iterator = rb.getIntIterator();
TestRoaringBitmap.java,final IntIterator iterator = rb.getIntIterator();,if (rb != null ) final IntIterator iterator = rb.getIntIterator();
TestRoaringBitmap.java,final IntIterator iterator = rb.getIntIterator();,if (rb != null ) final IntIterator iterator = rb.getIntIterator();
TestRoaringBitmap.java,final IntIterator iterator = rb.getIntIterator();,if (rb != null ) final IntIterator iterator = rb.getIntIterator();
TestRoaringBitmap.java,final IntIterator iterator = rb.getIntIterator();,if (rb != null ) final IntIterator iterator = rb.getIntIterator();
TestRoaringBitmap.java,final IntIterator iterator = rb.getIntIterator();,if (rb != null ) final IntIterator iterator = rb.getIntIterator();
TestRoaringBitmap.java,int[] array = rb.toArray();,if (rb != null ) int[] array = rb.toArray();
TestRoaringBitmap.java,int[] array = rb.toArray();,if (rb != null ) int[] array = rb.toArray();
TestRoaringBitmap.java,IntIterator i = rb.getIntIterator();,if (rb != null ) IntIterator i = rb.getIntIterator();
TestRoaringBitmap.java,IntIterator i = rb.getIntIterator();,if (rb != null ) IntIterator i = rb.getIntIterator();
TestRoaringBitmap.java,int thiscard = rb.getCardinality();,if (rb != null ) int thiscard = rb.getCardinality();
TestRoaringBitmap.java,int thiscard = rb.getCardinality();,if (rb != null ) int thiscard = rb.getCardinality();
TestRoaringBitmap.java,Iterator<RoaringBitmap> rbi = arrayList.iterator();,if (arrayList != null ) Iterator<RoaringBitmap> rbi = arrayList.iterator();
TestRoaringBitmap.java,Iterator<RoaringBitmap> rbi = arrayList.iterator();,if (arrayList != null ) Iterator<RoaringBitmap> rbi = arrayList.iterator();
TestRoaringBitmap.java,final ByteArrayInputStream bis = new ByteArrayInputStream(bos.toByteArray());,if (ByteArrayInputStream(bos != null ) final ByteArrayInputStream bis = new ByteArrayInputStream(bos.toByteArray());
TestRoaringBitmap.java,final ByteArrayInputStream bis = new ByteArrayInputStream(bos.toByteArray());,if (ByteArrayInputStream(bos != null ) final ByteArrayInputStream bis = new ByteArrayInputStream(bos.toByteArray());
TestRoaringBitmap.java,final ByteArrayInputStream bis = new ByteArrayInputStream(bos.toByteArray());,if (ByteArrayInputStream(bos != null ) final ByteArrayInputStream bis = new ByteArrayInputStream(bos.toByteArray());
TestRoaringBitmap.java,int howmuch = rr.serializedSizeInBytes();,if (rr != null ) int howmuch = rr.serializedSizeInBytes();
TestRoaringBitmap.java,int howmuch = rr.serializedSizeInBytes();,if (rr != null ) int howmuch = rr.serializedSizeInBytes();
TestRoaringBitmap.java,int howmuch = rr.serializedSizeInBytes();,if (rr != null ) int howmuch = rr.serializedSizeInBytes();
TestRoaringBitmap.java,int howmuch = rr.serializedSizeInBytes();,if (rr != null ) int howmuch = rr.serializedSizeInBytes();
TestRoaringBitmap.java,int howmuch = rr.serializedSizeInBytes();,if (rr != null ) int howmuch = rr.serializedSizeInBytes();
