Filename,Buggy/Deleted,Fixed/Added
FinalValueClassModel.java,AbstractJClass usedCaseClassType = caseClass.narrow(caseClass.typeParams());,if (caseClass != null ) AbstractJClass usedCaseClassType = caseClass.narrow(caseClass.typeParams());
Stage1ValueClassModel.java,AbstractJClass usedValueClassType = valueClass.narrow(valueClass.typeParams());,if (valueClass != null ) AbstractJClass usedValueClassType = valueClass.narrow(valueClass.typeParams());
ValueClassConfiguration.java,AbstractJClass usedValueClassType = valueClass.narrow(valueClass.typeParams());,if (valueClass != null ) AbstractJClass usedValueClassType = valueClass.narrow(valueClass.typeParams());
ValueClassConfiguration.java,AbstractJClass usedValueClassType = valueClass.narrow(valueClass.typeParams());,if (valueClass != null ) AbstractJClass usedValueClassType = valueClass.narrow(valueClass.typeParams());
Source.java,AbstractJClass result = narrowedType.erasure();,if (narrowedType != null ) AbstractJClass result = narrowedType.erasure();
Source.java,covariantTypeArgument = typeArgument.wildcard();,if (typeArgument != null ) covariantTypeArgument = typeArgument.wildcard();
FinalValueClassModel.java,"JInvocation staticInvoke = environment.invokeValueClassStaticMethod(constructorMethod, factoryClass.typeParams());","if (factoryClass != null ) JInvocation staticInvoke = environment.invokeValueClassStaticMethod(constructorMethod, factoryClass.typeParams());"
FinalValueClassModel.java,JVar param = interfaceMethod.varParam();,if (interfaceMethod != null ) JVar param = interfaceMethod.varParam();
FinalValueClassModel.java,JVar param = interfaceMethod.varParam();,if (interfaceMethod != null ) JVar param = interfaceMethod.varParam();
FinalValueClassModel.java,JTypeVar visitorResultType = environment.getVisitorResultTypeParameter();,if (environment != null ) JTypeVar visitorResultType = environment.getVisitorResultTypeParameter();
FinalValueClassModel.java,JTypeVar resultTypeVar = acceptMethod.generify(visitorResultType.name());,if (acceptMethod != null ) JTypeVar resultTypeVar = acceptMethod.generify(visitorResultType.name());
FinalValueClassModel.java,JTypeVar visitorExceptionType = environment.getVisitorExceptionTypeParameter();,if (environment != null ) JTypeVar visitorExceptionType = environment.getVisitorExceptionTypeParameter();
FinalValueClassModel.java,JTypeVar exceptionTypeParameter = acceptMethod.generify(visitorExceptionType.name());,if (acceptMethod != null ) JTypeVar exceptionTypeParameter = acceptMethod.generify(visitorExceptionType.name());
FinalValueClassModel.java,JTypeVar visitorResultType = environment.getVisitorResultTypeParameter();,if (environment != null ) JTypeVar visitorResultType = environment.getVisitorResultTypeParameter();
FinalValueClassModel.java,JTypeVar resultTypeVar = acceptMethod.generify(visitorResultType.name());,if (acceptMethod != null ) JTypeVar resultTypeVar = acceptMethod.generify(visitorResultType.name());
FinalValueClassModel.java,JTypeVar visitorExceptionType = environment.getVisitorExceptionTypeParameter();,if (environment != null ) JTypeVar visitorExceptionType = environment.getVisitorExceptionTypeParameter();
FinalValueClassModel.java,JTypeVar exceptionTypeVar = acceptMethod.generify(visitorExceptionType.name());,if (acceptMethod != null ) JTypeVar exceptionTypeVar = acceptMethod.generify(visitorExceptionType.name());
FinalValueClassModel.java,JVar param = interfaceMethod.varParam();,if (interfaceMethod != null ) JVar param = interfaceMethod.varParam();
Stage1ValueClassModel.java,JTypeVar visitorResultType = configuration.visitor().getResultTypeParameter();,if (configuration != null ) JTypeVar visitorResultType = configuration.visitor().getResultTypeParameter();
Stage1ValueClassModel.java,JTypeVar visitorExceptionType = configuration.visitor().getExceptionTypeParameter();,if (configuration != null ) JTypeVar visitorExceptionType = configuration.visitor().getExceptionTypeParameter();
ValueClassConfiguration.java,className = autoClassName(visitorModel.visitorName());,if (autoClassName(visitorModel != null ) className = autoClassName(visitorModel.visitorName());
ValueClassConfiguration.java,className = autoClassName(visitorModel.visitorName());,if (autoClassName(visitorModel != null ) className = autoClassName(visitorModel.visitorName());
ValueClassConfiguration.java,List<JTypeVar> generatedTypeParameters = visitorModel.nonspecialTypeParameters();,if (visitorModel != null ) List<JTypeVar> generatedTypeParameters = visitorModel.nonspecialTypeParameters();
ValueClassConfiguration.java,JVar param = interfaceMethod.varParam();,if (interfaceMethod != null ) JVar param = interfaceMethod.varParam();
ValueClassConfiguration.java,JVar param = interfaceMethod.varParam();,if (interfaceMethod != null ) JVar param = interfaceMethod.varParam();
VisitorDefinition.java,AbstractJClass result = narrowedType.erasure();,if (narrowedType != null ) AbstractJClass result = narrowedType.erasure();
GenerateValueClassForVisitorProcessor.java,"JCodeModelJavaxLangModelAdapter adapter = new JCodeModelJavaxLangModelAdapter(bootJCodeModel, processingEnv.getElementUtils());","if (processingEnv != null ) JCodeModelJavaxLangModelAdapter adapter = new JCodeModelJavaxLangModelAdapter(bootJCodeModel, processingEnv.getElementUtils());"
Source.java,AbstractJClass jannotationClass = jannotation.getAnnotationClass();,if (jannotation != null ) AbstractJClass jannotationClass = jannotation.getAnnotationClass();
FinalValueClassModel.java,Caching hashCode = visitorInterface.hashCodeCaching();,if (visitorInterface != null ) Caching hashCode = visitorInterface.hashCodeCaching();
FinalValueClassModel.java,AbstractJType usedAcceptingInterfaceType = acceptingInterface.narrow(valueClass.typeParams());,if (acceptingInterface != null ) AbstractJType usedAcceptingInterfaceType = acceptingInterface.narrow(valueClass.typeParams());
FinalValueClassModel.java,AbstractJClass usedAcceptingInterfaceType = acceptingInterface.narrow(caseClass.typeParams());,if (acceptingInterface != null ) AbstractJClass usedAcceptingInterfaceType = acceptingInterface.narrow(caseClass.typeParams());
FinalValueClassModel.java,JTypeVar visitorResultType = visitorInterface.getResultTypeParameter();,if (visitorInterface != null ) JTypeVar visitorResultType = visitorInterface.getResultTypeParameter();
FinalValueClassModel.java,JTypeVar visitorExceptionType = visitorInterface.getExceptionTypeParameter();,if (visitorInterface != null ) JTypeVar visitorExceptionType = visitorInterface.getExceptionTypeParameter();
FinalValueClassModel.java,JTypeVar typeParameter = result.generify(visitorTypeParameter.name());,if (result != null ) JTypeVar typeParameter = result.generify(visitorTypeParameter.name());
FinalValueClassModel.java,AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(valueClass.typeParams());,if (valueClass != null ) AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(valueClass.typeParams());
FinalValueClassModel.java,JTypeVar visitorResultType = visitorInterface.getResultTypeParameter();,if (visitorInterface != null ) JTypeVar visitorResultType = visitorInterface.getResultTypeParameter();
FinalValueClassModel.java,JTypeVar visitorExceptionType = visitorInterface.getExceptionTypeParameter();,if (visitorInterface != null ) JTypeVar visitorExceptionType = visitorInterface.getExceptionTypeParameter();
FinalValueClassModel.java,JInvocation invocation = acceptorField.invoke(visitorInterface.acceptMethodName());,if (acceptorField != null ) JInvocation invocation = acceptorField.invoke(visitorInterface.acceptMethodName());
FinalValueClassModel.java,AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(constructorMethod.typeParams());,if (valueClass != null ) AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(constructorMethod.typeParams());
FinalValueClassModel.java,String getterName = configuration.name();,if (configuration != null ) String getterName = configuration.name();
FinalValueClassModel.java,String updaterName = configuration.name();,if (configuration != null ) String updaterName = configuration.name();
FinalValueClassModel.java,AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(valueClass.typeParams());,if (valueClass != null ) AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(valueClass.typeParams());
FinalValueClassModel.java,AbstractJClass usedAcceptingInterfaceType = acceptingInterface.narrow(valueClass.typeParams());,if (acceptingInterface != null ) AbstractJClass usedAcceptingInterfaceType = acceptingInterface.narrow(valueClass.typeParams());
FinalValueClassModel.java,typeParams[i] = valueClass.owner().wildcard();,if (valueClass != null ) typeParams[i] = valueClass.owner().wildcard();
FinalValueClassModel.java,AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(valueClass.typeParams());,if (valueClass != null ) AbstractJClass unwrappedUsedValueClassType = valueClass.narrow(valueClass.typeParams());
FinalValueClassModel.java,AbstractJClass usedAcceptorType = acceptingInterface.narrow(valueClass.typeParams());,if (acceptingInterface != null ) AbstractJClass usedAcceptorType = acceptingInterface.narrow(valueClass.typeParams());
Stage1ValueClassModel.java,FinalValueClassModel.MethodBuilder methodBuilder = result.createMethodBuilder(visitorInterface.serialization());,if (result != null ) FinalValueClassModel.MethodBuilder methodBuilder = result.createMethodBuilder(visitorInterface.serialization());
Stage1ValueClassModel.java,AbstractJClass extendsClass = visitorInterface.valueClassExtends();,if (visitorInterface != null ) AbstractJClass extendsClass = visitorInterface.valueClassExtends();
Stage1ValueClassModel.java,JTypeVar visitorResultType = visitorInterface.getResultTypeParameter();,if (visitorInterface != null ) JTypeVar visitorResultType = visitorInterface.getResultTypeParameter();
Stage1ValueClassModel.java,JTypeVar visitorExceptionType = visitorInterface.getExceptionTypeParameter();,if (visitorInterface != null ) JTypeVar visitorExceptionType = visitorInterface.getExceptionTypeParameter();
