Filename,Buggy/Deleted,Fixed/Added
UsageHelper.java,Set<String> options = option.getOptions();,if (option != null ) Set<String> options = option.getOptions();
CommandGroupUsage.java,List<CommandMetadata> commands = newArrayList(group.getCommands());,if (newArrayList(group != null ) List<CommandMetadata> commands = newArrayList(group.getCommands());
GlobalUsage.java,List<OptionMetadata> options = newArrayList(global.getOptions());,if (newArrayList(global != null ) List<OptionMetadata> options = newArrayList(global.getOptions());
TestGalaxyCommandLineParser.java,Cli<GalaxyCommand> galaxy = builder.build();,if (builder != null ) Cli<GalaxyCommand> galaxy = builder.build();
Parser.java,"OptionMetadata option = findOption(allowedOptions, tokens.peek());","if (tokens != null ) OptionMetadata option = findOption(allowedOptions, tokens.peek());"
CommandUsage.java,List<OptionMetadata> globalOptions = new ArrayList<OptionMetadata>(command.getGlobalOptions());,if (ArrayList<OptionMetadata>(command != null ) List<OptionMetadata> globalOptions = new ArrayList<OptionMetadata>(command.getGlobalOptions());
CommandUsage.java,List<OptionMetadata> groupOptions = new ArrayList<OptionMetadata>(command.getGroupOptions());,if (ArrayList<OptionMetadata>(command != null ) List<OptionMetadata> groupOptions = new ArrayList<OptionMetadata>(command.getGroupOptions());
CommandUsage.java,List<OptionMetadata> commandOptions = new ArrayList<OptionMetadata>(command.getCommandOptions());,if (ArrayList<OptionMetadata>(command != null ) List<OptionMetadata> commandOptions = new ArrayList<OptionMetadata>(command.getCommandOptions());
GalaxyCommandLineParser.java,GitLikeCli<GalaxyCommand> galaxy = builder.build();,if (builder != null ) GitLikeCli<GalaxyCommand> galaxy = builder.build();
Git.java,GitLikeCli<Runnable> gitParser = builder.build();,if (builder != null ) GitLikeCli<Runnable> gitParser = builder.build();
GalaxyCommandLineParser.java,GitLikeCommandParser<GalaxyCommand> galaxy = builder.build();,if (builder != null ) GitLikeCommandParser<GalaxyCommand> galaxy = builder.build();
Git.java,GitLikeCommandParser<Runnable> gitParser = builder.build();,if (builder != null ) GitLikeCommandParser<Runnable> gitParser = builder.build();
MetadataLoader.java,title = argumentsAnnotation.title();,if (argumentsAnnotation != null ) title = argumentsAnnotation.title();
MetadataLoader.java,title = field.getName();,if (field != null ) title = field.getName();
MetadataLoader.java,String description = argumentsAnnotation.description();,if (argumentsAnnotation != null ) String description = argumentsAnnotation.description();
MetadataLoader.java,String usage = argumentsAnnotation.usage();,if (argumentsAnnotation != null ) String usage = argumentsAnnotation.usage();
MetadataLoader.java,boolean required = argumentsAnnotation.required();,if (argumentsAnnotation != null ) boolean required = argumentsAnnotation.required();
CommandGroupParser.java,"this.groupOptions = OptionParser.from(typeConverter, metadata.getOptions());","if (metadata != null ) this.groupOptions = OptionParser.from(typeConverter, metadata.getOptions());"
CommandGroupParser.java,"this.commands = CommandParser.createIndex(typeConverter, metadata.getCommands());","if (metadata != null ) this.commands = CommandParser.createIndex(typeConverter, metadata.getCommands());"
CommandParser.java,"options = OptionParser.from(typeConverter, metadata.getAllOptions());","if (metadata != null ) options = OptionParser.from(typeConverter, metadata.getAllOptions());"
CommandParser.java,ArgumentsMetadata arguments = metadata.getArguments();,if (metadata != null ) ArgumentsMetadata arguments = metadata.getArguments();
GitLikeCommandParser.java,"this.globalOptions = OptionParser.from(typeConverter, metadata.getOptions());","if (metadata != null ) this.globalOptions = OptionParser.from(typeConverter, metadata.getOptions());"
GitLikeCommandParser.java,"this.defaultGroupCommands = CommandParser.createIndex(typeConverter, metadata.getDefaultGroupCommands());","if (metadata != null ) this.defaultGroupCommands = CommandParser.createIndex(typeConverter, metadata.getDefaultGroupCommands());"
GitLikeCommandParser.java,"this.commandGroups = CommandGroupParser.createIndex(typeConverter, metadata.getCommandGroups());","if (metadata != null ) this.commandGroups = CommandGroupParser.createIndex(typeConverter, metadata.getCommandGroups());"
OptionParser.java,int arity = metadata.getArity();,if (metadata != null ) int arity = metadata.getArity();
ParserUtil.java,Iterator<String> iterator = parameters.iterator();,if (parameters != null ) Iterator<String> iterator = parameters.iterator();
ParserUtil.java,String arg = iterator.next();,if (iterator != null ) String arg = iterator.next();
Git.java,GitLikeCommandParser<GitCommand> gitParser = builder.build();,if (builder != null ) GitLikeCommandParser<GitCommand> gitParser = builder.build();
GalaxyCommandLineParser.java,GlobalMetadata metadata = parser.getMetadata();,if (parser != null ) GlobalMetadata metadata = parser.getMetadata();
CommandUsage.java,List<OptionMetadata> options = newArrayList(command.getAllOptions());,if (newArrayList(command != null ) List<OptionMetadata> options = newArrayList(command.getAllOptions());
