Filename,Buggy/Deleted,Fixed/Added
VPackDeserializers.java,final VPackSlice entry = storedValueIterator.next();,if (storedValueIterator != null ) final VPackSlice entry = storedValueIterator.next();
DocumentCache.java,final Type value = annotation.value();,if (annotation != null ) final Type value = annotation.value();
ArangoCursorTest.java,final VPackSlice first = cursor.first();,if (cursor != null ) final VPackSlice first = cursor.first();
ArangoGraphTest.java,final CollectionPropertiesEntity properties = db.collection(collection).getProperties();,if (db != null ) final CollectionPropertiesEntity properties = db.collection(collection).getProperties();
BaseDocumentTest.java,final Builder builder = new VPack.Builder();,if (VPack != null ) final Builder builder = new VPack.Builder();
BaseDocumentTest.java,final VPack vpacker = builder.build();,if (builder != null ) final VPack vpacker = builder.build();
BaseDocumentTest.java,final VPack vpacker = vbuilder.build();,if (vbuilder != null ) final VPack vpacker = vbuilder.build();
JwtAuthTest.java,ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) ArangoDB arangoDB = new ArangoDB.Builder().build();
JwtAuthTest.java,arangoDB = getBuilder().build();,if (getBuilder() != null ) arangoDB = getBuilder().build();
UserAuthTest.java,id = createHashIndex.getId();,if (createHashIndex != null ) id = createHashIndex.getId();
UserAuthTest.java,id = createHashIndex.getId();,if (createHashIndex != null ) id = createHashIndex.getId();
ArangoDBTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
BaseTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
CommunicationTest.java,final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) final ArangoDBAsync arangoDB = new ArangoDBAsync.Builder().build();
ConcurrencyTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
ConcurrencyTests.java,ArangoDBAsync adb = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) ArangoDBAsync adb = new ArangoDBAsync.Builder().build();
JwtAuthTest.java,ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) ArangoDB arangoDB = new ArangoDB.Builder().build();
ExampleBase.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
AQLActorsAndMoviesExampleTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
BaseGraphTest.java,arangoDB = new ArangoDBAsync.Builder().build();,if (ArangoDBAsync != null ) arangoDB = new ArangoDBAsync.Builder().build();
ExampleBase.java,arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) arangoDB = new ArangoDB.Builder().build();
AqlQueryWithSpecialReturnTypesExampleTest.java,final VPackSlice vpack = cursor.next();,if (cursor != null ) final VPackSlice vpack = cursor.next();
AqlQueryWithSpecialReturnTypesExampleTest.java,final VPackSlice vpack = cursor.next();,if (cursor != null ) final VPackSlice vpack = cursor.next();
AqlQueryWithSpecialReturnTypesExampleTest.java,final Map map = cursor.next();,if (cursor != null ) final Map map = cursor.next();
AqlQueryWithSpecialReturnTypesExampleTest.java,final List list = cursor.next();,if (cursor != null ) final List list = cursor.next();
AQLActorsAndMoviesExampleTest.java,arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) arangoDB = new ArangoDB.Builder().build();
BaseGraphTest.java,arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) arangoDB = new ArangoDB.Builder().build();
GraphTraversalsInAQLExample.java,Collection<String> result = cursor.asListRemaining();,if (cursor != null ) Collection<String> result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,Collection<String> result = cursor.asListRemaining();,if (cursor != null ) Collection<String> result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,Collection<String> result = cursor.asListRemaining();,if (cursor != null ) Collection<String> result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,Collection<String> result = cursor.asListRemaining();,if (cursor != null ) Collection<String> result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
GraphTraversalsInAQLExample.java,result = cursor.asListRemaining();,if (cursor != null ) result = cursor.asListRemaining();
ShortestPathInAQLExample.java,final Pair pair = cursor.next();,if (cursor != null ) final Pair pair = cursor.next();
SslExample.java,final ArangoDBVersion version = arangoDB.getVersion();,if (arangoDB != null ) final ArangoDBVersion version = arangoDB.getVersion();
SslExample.java,final ArangoDBVersion version = arangoDB.getVersion();,if (arangoDB != null ) final ArangoDBVersion version = arangoDB.getVersion();
SslExample.java,final KeyStore ks = KeyStore.getInstance(KeyStore.getDefaultType());,if (KeyStore != null ) final KeyStore ks = KeyStore.getInstance(KeyStore.getDefaultType());
SslExample.java,final KeyManagerFactory kmf = KeyManagerFactory.getInstance(KeyManagerFactory.getDefaultAlgorithm());,if (KeyManagerFactory != null ) final KeyManagerFactory kmf = KeyManagerFactory.getInstance(KeyManagerFactory.getDefaultAlgorithm());
SslExample.java,final TrustManagerFactory tmf = TrustManagerFactory.getInstance(TrustManagerFactory.getDefaultAlgorithm());,if (TrustManagerFactory != null ) final TrustManagerFactory tmf = TrustManagerFactory.getInstance(TrustManagerFactory.getDefaultAlgorithm());
SslExampleTest.java,final ArangoDBVersion version = arangoDB.getVersion().get();,if (arangoDB != null ) final ArangoDBVersion version = arangoDB.getVersion().get();
VPackExample.java,final VPackSlice slice = builder.slice(); // create slice,if (slice != null ) final VPackSlice slice = builder.slice(); // create slice
VPackExample.java,final VPackSlice slice = builder.slice();// create slice,if (slice != null ) final VPackSlice slice = builder.slice();// create slice
VPackExample.java,final VPackSlice value = iterator.next();,if (iterator != null ) final VPackSlice value = iterator.next();
VPackExample.java,final VPackSlice slice = builder.slice(); // create slice,if (slice != null ) final VPackSlice slice = builder.slice(); // create slice
CommunicationTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
CommunicationTest.java,final ArangoDB arangoDB = new ArangoDB.Builder().build();,if (ArangoDB != null ) final ArangoDB arangoDB = new ArangoDB.Builder().build();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPack vp = new VPack.Builder().build();,if (VPack != null ) final VPack vp = new VPack.Builder().build();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice slice = builder.slice();,if (builder != null ) final VPackSlice slice = builder.slice();
VPackSerializeDeserializeTest.java,final VPackSlice vpack = builder.slice();,if (builder != null ) final VPackSlice vpack = builder.slice();
VPackSerializeDeserializeTest.java,final String next = iterator.next();,if (iterator != null ) final String next = iterator.next();
