Filename,Buggy/Deleted,Fixed/Added
CWC_LongestLine.java,int cols = table.getColumnCount();,if (table != null ) int cols = table.getColumnCount();
CWC_LongestLine.java,Object[] cells = crow.getColumns();,if (crow != null ) Object[] cells = crow.getColumns();
RenderUtilities.java,BorderType[] relAdj = prev.getBorderTypes();,if (prev != null ) BorderType[] relAdj = prev.getBorderTypes();
RenderUtilities.java,BorderType[] relAdj = prev.getBorderTypes();,if (prev != null ) BorderType[] relAdj = prev.getBorderTypes();
RenderUtilities.java,BorderType[] relAdj = next.getBorderTypes();,if (next != null ) BorderType[] relAdj = next.getBorderTypes();
RenderUtilities.java,BorderType[] relAdj = next.getBorderTypes();,if (next != null ) BorderType[] relAdj = next.getBorderTypes();
V2_AsciiTableRenderer.java,BorderType[] borders = row.getBorderTypes();,if (row != null ) BorderType[] borders = row.getBorderTypes();
V2_AsciiTableRenderer.java,rt = this.theme.getContent();,if (this != null ) rt = this.theme.getContent();
V2_AsciiTableRenderer.java,BorderType[] borders = row.getBorderTypes();,if (row != null ) BorderType[] borders = row.getBorderTypes();
V2_AsciiTableRenderer.java,RuleRow original = (RuleRow)row.getOriginalRow();,if ((RuleRow)row != null ) RuleRow original = (RuleRow)row.getOriginalRow();
V2_AsciiTableRenderer.java,rt = this.theme.getBottom();,if (this != null ) rt = this.theme.getBottom();
V2_AsciiTableRenderer.java,rt = this.theme.getBottomStrong();,if (this != null ) rt = this.theme.getBottomStrong();
V2_AsciiTableRenderer.java,rt = this.theme.getMid();,if (this != null ) rt = this.theme.getMid();
V2_AsciiTableRenderer.java,rt = this.theme.getMidStrong();,if (this != null ) rt = this.theme.getMidStrong();
V2_AsciiTableRenderer.java,rt = this.theme.getTop();,if (this != null ) rt = this.theme.getTop();
V2_AsciiTableRenderer.java,rt = this.theme.getTopStrong();,if (this != null ) rt = this.theme.getTopStrong();
WidthAbsoluteEven.java,int colNumber = table.getColumnCount();,if (table != null ) int colNumber = table.getColumnCount();
WidthLongestLine.java,final int cols = table.getColumnCount();,if (table != null ) final int cols = table.getColumnCount();
ArrayTransformations.java,String[] split = tok.getTokenArray();,if (tok != null ) String[] split = tok.getTokenArray();
WidthLongestLine.java,final int cols = table.getColumnCount();,if (table != null ) final int cols = table.getColumnCount();
V2_Utilities.java,BorderType[] relAdj = prev.getBorderTypes();,if (prev != null ) BorderType[] relAdj = prev.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = prev.getBorderTypes();,if (prev != null ) BorderType[] relAdj = prev.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = next.getBorderTypes();,if (next != null ) BorderType[] relAdj = next.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = next.getBorderTypes();,if (next != null ) BorderType[] relAdj = next.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = next.getBorderTypes();,if (next != null ) BorderType[] relAdj = next.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = prev.getBorderTypes();,if (prev != null ) BorderType[] relAdj = prev.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = prev.getBorderTypes();,if (prev != null ) BorderType[] relAdj = prev.getBorderTypes();
V2_Utilities.java,BorderType[] relAdj = next.getBorderTypes();,if (next != null ) BorderType[] relAdj = next.getBorderTypes();
V2_AsciiTableRenderer.java,int[] cols = this.width.calculateWidth(table.getColumnCount());,if (this != null ) int[] cols = this.width.calculateWidth(table.getColumnCount());
AsciiTableRenderer.java,int[] cols = this.width.calculateWidth(table.getColumnCount());,if (this != null ) int[] cols = this.width.calculateWidth(table.getColumnCount());
AsciiTableRenderer.java,rt = this.theme.getContent();,if (this != null ) rt = this.theme.getContent();
AsciiTableRenderer.java,rt = this.theme.getBottom();,if (this != null ) rt = this.theme.getBottom();
AsciiTableRenderer.java,rt = this.theme.getBottomStrong();,if (this != null ) rt = this.theme.getBottomStrong();
AsciiTableRenderer.java,rt = this.theme.getMid();,if (this != null ) rt = this.theme.getMid();
