Filename,Buggy/Deleted,Fixed/Added
BigArrayImpl.java,long currentIndex = this.arrayHeadIndex.get();,if (this != null ) long currentIndex = this.arrayHeadIndex.get();
BigArrayImpl.java,return nextIndex == this.arrayTailIndex.get();,if (this != null ) return nextIndex == this.arrayTailIndex.get();
BigArrayImpl.java,long dataPageIndex = indexItemBuffer.getLong();,if (indexItemBuffer != null ) long dataPageIndex = indexItemBuffer.getLong();
BigQueueImpl.java,dequeueFuture = SettableFuture.create();,if (SettableFuture != null ) dequeueFuture = SettableFuture.create();
BigQueueImpl.java,peekFuture = SettableFuture.create();,if (SettableFuture != null ) peekFuture = SettableFuture.create();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) ListenableFuture<IBigQueue> future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,future = bigQueue.queueReadyForDequeue();,if (bigQueue != null ) future = bigQueue.queueReadyForDequeue();
BigQueueUnitTest.java,ListenableFuture<IBigQueue> future = spyBigQueue.queueReadyForDequeue();,if (spyBigQueue != null ) ListenableFuture<IBigQueue> future = spyBigQueue.queueReadyForDequeue();
BigQueueImpl.java,dequeueFuture = SettableFuture.create();,if (SettableFuture != null ) dequeueFuture = SettableFuture.create();
BigQueueImpl.java,dequeueFuture = SettableFuture.create();,if (SettableFuture != null ) dequeueFuture = SettableFuture.create();
BigQueueImpl.java,dequeueFuture = SettableFuture.create();,if (SettableFuture != null ) dequeueFuture = SettableFuture.create();
BigQueueImpl.java,long front = queueFrontIndexBuffer.getLong();,if (queueFrontIndexBuffer != null ) long front = queueFrontIndexBuffer.getLong();
BigQueueImpl.java,queueFrontIndex = this.queueFrontIndex.get();,if (this != null ) queueFrontIndex = this.queueFrontIndex.get();
BigQueueImpl.java,long beforeIndex = this.queueFrontIndex.get();,if (this != null ) long beforeIndex = this.queueFrontIndex.get();
BigQueueImpl.java,long qFront = this.queueFrontIndex.get();,if (this != null ) long qFront = this.queueFrontIndex.get();
BigQueueImpl.java,long qRear = this.innerArray.getHeadIndex();,if (this != null ) long qRear = this.innerArray.getHeadIndex();
BigQueueImpl.java,long index = this.queueFrontIndex.get();,if (this != null ) long index = this.queueFrontIndex.get();
FanOutQueueImpl.java,byte[] data = innerArray.get(qf.index.get());,if (innerArray != null ) byte[] data = innerArray.get(qf.index.get());
FanOutQueueImpl.java,byte[] data = innerArray.get(qf.index.get());,if (innerArray != null ) byte[] data = innerArray.get(qf.index.get());
FanOutQueueImpl.java,long qFront = qf.index.get();,if (qf != null ) long qFront = qf.index.get();
FanOutQueueImpl.java,long qRear = innerArray.getHeadIndex();,if (innerArray != null ) long qRear = innerArray.getHeadIndex();
FanOutQueueTest.java,long begin = System.currentTimeMillis();,if (System != null ) long begin = System.currentTimeMillis();
BigArrayImpl.java,long tailIndex = this.arrayTailIndex.get();,if (this != null ) long tailIndex = this.arrayTailIndex.get();
BigArrayImpl.java,long headIndex = this.arrayHeadIndex.get();,if (this != null ) long headIndex = this.arrayHeadIndex.get();
BigArrayUnitTest.java,long begin = System.currentTimeMillis();,if (System != null ) long begin = System.currentTimeMillis();
BigArrayUnitTest.java,long end = System.currentTimeMillis();,if (System != null ) long end = System.currentTimeMillis();
BigQueueServiceImpl.java,data = bigQueue.dequeue();,if (bigQueue != null ) data = bigQueue.dequeue();
BigQueueServiceImpl.java,data = bigQueue.peek();,if (bigQueue != null ) data = bigQueue.peek();
BigQueueClientDemo.java,QueueResponse resp = client.peek();,if (client != null ) QueueResponse resp = client.peek();
BigQueueClientDemo.java,resp = client.dequeue();,if (client != null ) resp = client.dequeue();
BigQueueServiceImpl.java,data = bigQueue.dequeue();,if (bigQueue != null ) data = bigQueue.dequeue();
BigQueueServiceImpl.java,data = bigQueue.peek();,if (bigQueue != null ) data = bigQueue.peek();
