Filename,Buggy/Deleted,Fixed/Added
KotlinConfiguredCompilerFactory.java,Optional<BuildRule> abiJarRule = buildRuleResolver.getRuleOptional(abiJarTarget.get());,if (buildRuleResolver != null ) Optional<BuildRule> abiJarRule = buildRuleResolver.getRuleOptional(abiJarTarget.get());
KotlinConfiguredCompilerFactory.java,SourcePath abiJarPath = abiJarRule.get().getSourcePathToOutput();,if (abiJarRule != null ) SourcePath abiJarPath = abiJarRule.get().getSourcePathToOutput();
AndroidBinaryBuildable.java,File[] assetFiles = path.toFile().listFiles();,if (path != null ) File[] assetFiles = path.toFile().listFiles();
AndroidBinaryBuildable.java,File[] modules = assetFile.listFiles();,if (assetFile != null ) File[] modules = assetFile.listFiles();
AndroidBinaryBuildable.java,boolean applyRedex = redexOptions.isPresent();,if (redexOptions != null ) boolean applyRedex = redexOptions.isPresent();
AndroidBinaryBuildable.java,boolean shouldPackageAssetLibraries = packageAssetLibraries || !module.isRootModule();,if (!module != null ) boolean shouldPackageAssetLibraries = packageAssetLibraries || !module.isRootModule();
WorkerProcessPool.java,workerProcess = startWorkerProcess.get();,if (startWorkerProcess != null ) workerProcess = startWorkerProcess.get();
ExoResourcesRewriterTest.java,String expected = filesystem.readFileIfItExists(expectedPath).get();,if (filesystem != null ) String expected = filesystem.readFileIfItExists(expectedPath).get();
ExoResourcesRewriterTest.java,expected = filesystem.readFileIfItExists(expectedPath).get();,if (filesystem != null ) expected = filesystem.readFileIfItExists(expectedPath).get();
ResourceTableTest.java,String expected = filesystem.readFileIfItExists(resourcesOutput).get();,if (filesystem != null ) String expected = filesystem.readFileIfItExists(resourcesOutput).get();
AppleTest.java,Optional<String> snapshotReferenceImagesPath = Optional.empty();,if (Optional != null ) Optional<String> snapshotReferenceImagesPath = Optional.empty();
DalvikStatsCache.java,String name = entry.getRelativePath();,if (entry != null ) String name = entry.getRelativePath();
DefaultJavaLibraryRules.java,result = Objects.requireNonNull(getConfiguredCompilerFactory()).getAbiGenerationMode();,if (Objects != null ) result = Objects.requireNonNull(getConfiguredCompilerFactory()).getAbiGenerationMode();
Machos.java,int valuePosition = map.position();,if (map != null ) int valuePosition = map.position();
Machos.java,int position = map.position();,if (map != null ) int position = map.position();
Machos.java,String replacementPrefix = root.getValue().toString();,if (root != null ) String replacementPrefix = root.getValue().toString();
ObjectFileScrubbersTest.java,"byte[] stringBytes = ""TestString"".getBytes();","if (""TestString"" != null ) byte[] stringBytes = ""TestString"".getBytes();"
ObjectFileScrubbersTest.java,"byte[] stringBytes = ""TestString"".getBytes();","if (""TestString"" != null ) byte[] stringBytes = ""TestString"".getBytes();"
Machos.java,currentStringTableOffset = map.position();,if (map != null ) currentStringTableOffset = map.position();
ObjectFileScrubbers.java,int position = buffer.position();,if (buffer != null ) int position = buffer.position();
DefaultConstructorArgMarshaller.java,attribute = info.getImplicitPreCoercionValue();,if (info != null ) attribute = info.getImplicitPreCoercionValue();
DefaultUnconfiguredTargetNodeFactory.java,String visibilityDefinerDescription = target.getFullyQualifiedName();,if (target != null ) String visibilityDefinerDescription = target.getFullyQualifiedName();
SkylarkDescription.java,BaseFunction implementation = args.getImplementation();,if (args != null ) BaseFunction implementation = args.getImplementation();
ProjectGenerator.java,Set<Path> headerPaths = resolvedContents.keySet();,if (resolvedContents != null ) Set<Path> headerPaths = resolvedContents.keySet();
DefaultConstructorArgMarshaller.java,SelectorListCoercer<T> coercer = new SelectorListCoercer<>(info.getTypeCoercer());,if (SelectorListCoercer<>(info != null ) SelectorListCoercer<T> coercer = new SelectorListCoercer<>(info.getTypeCoercer());
CellConfig.java,Path cellPath = entry.getValue();,if (entry != null ) Path cellPath = entry.getValue();
LocalCellProviderFactory.java,ImmutableSet<Path> allRoots = ImmutableSet.copyOf(cellPathMapping.values());,if (ImmutableSet != null ) ImmutableSet<Path> allRoots = ImmutableSet.copyOf(cellPathMapping.values());
Serializer.java,cellPath = candidate.getKey();,if (candidate != null ) cellPath = candidate.getKey();
IsolationChecker.java,cellPath = candidate.getKey();,if (candidate != null ) cellPath = candidate.getKey();
Cells.java,ImmutableSortedSet<Path> allRoots = getRootCell().getKnownRootsOfAllCells();,if (getRootCell() != null ) ImmutableSortedSet<Path> allRoots = getRootCell().getKnownRootsOfAllCells();
CellPathResolverViewTest.java,ImmutableSortedSet<Path> knownRoots = view.getKnownRoots();,if (view != null ) ImmutableSortedSet<Path> knownRoots = view.getKnownRoots();
UmbrellaDirectoryModuleMap.java,this.generatedModule = st.render();,if (st != null ) this.generatedModule = st.render();
CxxGenruleDescription.java,ImmutableList<String> asflags = cxxPlatform.getAsflags();,if (cxxPlatform != null ) ImmutableList<String> asflags = cxxPlatform.getAsflags();
CxxGenruleDescription.java,ImmutableList<String> cflags = cxxPlatform.getCflags();,if (cxxPlatform != null ) ImmutableList<String> cflags = cxxPlatform.getCflags();
CxxGenruleDescription.java,ImmutableList<String> cxxflags = cxxPlatform.getCxxflags();,if (cxxPlatform != null ) ImmutableList<String> cxxflags = cxxPlatform.getCxxflags();
CxxPlatformXcodeConfigGenerator.java,ArrayList<String> notProcessedCxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());,if (ArrayList<String>(cxxPlatform != null ) ArrayList<String> notProcessedCxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());
CxxPlatformXcodeConfigGenerator.java,ArrayList<String> notProcessedCxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());,if (ArrayList<String>(cxxPlatform != null ) ArrayList<String> notProcessedCxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());
CxxPlatformBuildConfiguration.java,ArrayList<String> cxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());,if (ArrayList<String>(cxxPlatform != null ) ArrayList<String> cxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());
CxxPlatformBuildConfiguration.java,ArrayList<String> cxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());,if (ArrayList<String>(cxxPlatform != null ) ArrayList<String> cxxFlags = new ArrayList<String>(cxxPlatform.getCxxflags());
NdkCxxPlatformTest.java,ImmutableList<String> cppflags = platform.getCxxPlatform().getCppflags();,if (platform != null ) ImmutableList<String> cppflags = platform.getCxxPlatform().getCppflags();
NdkCxxPlatformTest.java,ImmutableList<String> cflags = platform.getCxxPlatform().getCflags();,if (platform != null ) ImmutableList<String> cflags = platform.getCxxPlatform().getCflags();
NdkCxxPlatformTest.java,ImmutableList<String> cxxppflags = platform.getCxxPlatform().getCxxppflags();,if (platform != null ) ImmutableList<String> cxxppflags = platform.getCxxPlatform().getCxxppflags();
NdkCxxPlatformTest.java,ImmutableList<String> cxxflags = platform.getCxxPlatform().getCxxflags();,if (platform != null ) ImmutableList<String> cxxflags = platform.getCxxPlatform().getCxxflags();
SkylarkParamInfoTest.java,SkylarkUserDefinedRule rule = FakeSkylarkUserDefinedRuleFactory.createSimpleRule();,if (FakeSkylarkUserDefinedRuleFactory != null ) SkylarkUserDefinedRule rule = FakeSkylarkUserDefinedRuleFactory.createSimpleRule();
SkylarkParamInfoTest.java,ProjectFilesystem filesystem = TestProjectFilesystems.createProjectFilesystem(tmp.getRoot());,if (TestProjectFilesystems != null ) ProjectFilesystem filesystem = TestProjectFilesystems.createProjectFilesystem(tmp.getRoot());
DefaultConstructorArgMarshaller.java,TypeCoercer<Object> coercer = (TypeCoercer<Object>) info.getTypeCoercer();,if (info != null ) TypeCoercer<Object> coercer = (TypeCoercer<Object>) info.getTypeCoercer();
ImmutableTypeCoercer.java,TypeCoercer<Object> paramTypeCoercer = (TypeCoercer<Object>) paramInfo.getTypeCoercer();,if (paramInfo != null ) TypeCoercer<Object> paramTypeCoercer = (TypeCoercer<Object>) paramInfo.getTypeCoercer();
KnownRuleTypesProviderTest.java,KnownRuleTypes knownRuleTypes = provider.get(cell.getRootCell());,if (provider != null ) KnownRuleTypes knownRuleTypes = provider.get(cell.getRootCell());
KnownRuleTypesProviderTest.java,KnownNativeRuleTypes knownNativeRuleTypes = provider.getNativeRuleTypes(cell.getRootCell());,if (provider != null ) KnownNativeRuleTypes knownNativeRuleTypes = provider.getNativeRuleTypes(cell.getRootCell());
KnownRuleTypesProviderTest.java,KnownRuleTypes knownRuleTypes = provider.get(cell.getRootCell());,if (provider != null ) KnownRuleTypes knownRuleTypes = provider.get(cell.getRootCell());
KnownRuleTypesProviderTest.java,KnownNativeRuleTypes knownNativeRuleTypes = provider.getNativeRuleTypes(cell.getRootCell());,if (provider != null ) KnownNativeRuleTypes knownNativeRuleTypes = provider.getNativeRuleTypes(cell.getRootCell());
PythonDslProjectBuildFileParserTest.java,cell = new TestCellBuilder().build();,if (TestCellBuilder() != null ) cell = new TestCellBuilder().build();
CachingBuildRuleBuilder.java,uploadCompleteFuture = manifestStoreResult.getStoreFuture().get();,if (manifestStoreResult != null ) uploadCompleteFuture = manifestStoreResult.getStoreFuture().get();
AndroidInstrumentationTest.java,Optional<Path> exopackageSymlinkTreePath = Optional.empty();,if (Optional != null ) Optional<Path> exopackageSymlinkTreePath = Optional.empty();
AndroidResourceIndexCollector.java,Path root = projectFilesystem.getRootPath();,if (projectFilesystem != null ) Path root = projectFilesystem.getRootPath();
AuditIncludesCommand.java,Path root = projectFilesystem.getRootPath();,if (projectFilesystem != null ) Path root = projectFilesystem.getRootPath();
AuditRulesCommand.java,Path root = projectFilesystem.getRootPath();,if (projectFilesystem != null ) Path root = projectFilesystem.getRootPath();
BuckQueryEnvironment.java,AbsPath rootPath = AbsPath.of(cellFilesystem.getRootPath());,if (AbsPath != null ) AbsPath rootPath = AbsPath.of(cellFilesystem.getRootPath());
FixCommandHandler.java,Path repositoryRoot = filesystem.getRootPath();,if (filesystem != null ) Path repositoryRoot = filesystem.getRootPath();
OwnersReport.java,ProjectFilesystem rootCellFilesystem = rootCell.getFilesystem();,if (rootCell != null ) ProjectFilesystem rootCellFilesystem = rootCell.getFilesystem();
OwnersReport.java,Path rootPath = rootCellFilesystem.getRootPath();,if (rootCellFilesystem != null ) Path rootPath = rootCellFilesystem.getRootPath();
PathArguments.java,Path normalizedRoot = projectRoot.toRealPath();,if (projectRoot != null ) Path normalizedRoot = projectRoot.toRealPath();
Archive.java,Path rootPath = filesystem.getRootPath();,if (filesystem != null ) Path rootPath = filesystem.getRootPath();
AbstractReport.java,Path rootPath = filesystem.getRootPath();,if (filesystem != null ) Path rootPath = filesystem.getRootPath();
ProjectGenerator.java,basePath = projectFilesystem.getRootPath();,if (projectFilesystem != null ) basePath = projectFilesystem.getRootPath();
OcamlRuleBuilder.java,Path baseDir = projectFilesystem.getRootPath().toAbsolutePath();,if (projectFilesystem != null ) Path baseDir = projectFilesystem.getRootPath().toAbsolutePath();
RustCompileRule.java,Path root = filesystem.getRootPath();,if (filesystem != null ) Path root = filesystem.getRootPath();
