Filename,Buggy/Deleted,Fixed/Added
DecompilerSelectionPane.java,String actionCommand = selection.getActionCommand();,if (selection != null ) String actionCommand = selection.getActionCommand();
TabbedPane.java,lastMouseClick = System.currentTimeMillis();,if (System != null ) lastMouseClick = System.currentTimeMillis();
TabbedPane.java,final int index = tabExitButton.getTabIndex();,if (tabExitButton != null ) final int index = tabExitButton.getTabIndex();
TabbedPane.java,final int index = tabExitButton.getTabIndex();,if (tabExitButton != null ) final int index = tabExitButton.getTabIndex();
SearchKeyAdapter.java,final String qt = resourceListPane.quickSearch.getText();,if (resourceListPane != null ) final String qt = resourceListPane.quickSearch.getText();
InstructionPrinter.java,match = searcher.search();,if (searcher != null ) match = searcher.search();
CFRDecompiler.java,Enumeration<JarEntry> ent = jfile.entries();,if (jfile != null ) Enumeration<JarEntry> ent = jfile.entries();
CFRDecompiler.java,JarEntry entry = ent.nextElement();,if (ent != null ) JarEntry entry = ent.nextElement();
CFRDecompiler.java,JarEntry etn = new JarEntry(entry.getName());,if (JarEntry(entry != null ) JarEntry etn = new JarEntry(entry.getName());
CFRDecompiler.java,String fileStart = tempDirectory + fs.toLowerCase();,if (fs != null ) String fileStart = tempDirectory + fs.toLowerCase();
CFRDecompiler.java,Process p = pb.start();,if (pb != null ) Process p = pb.start();
CFRDecompiler.java,exception = exceptionWriter.toString();,if (exceptionWriter != null ) exception = exceptionWriter.toString();
CFRDecompiler.java,s = DiskReader.loadAsString(f.getAbsolutePath());,if (DiskReader != null ) s = DiskReader.loadAsString(f.getAbsolutePath());
CFRDecompiler.java,directory = queue.pop();,if (queue != null ) directory = queue.pop();
SearchKeyAdapter.java,final String qt = resourceListPane.quickSearch.getText();,if (resourceListPane != null ) final String qt = resourceListPane.quickSearch.getText();
SearchKeyAdapter.java,final TreePath pathn = new TreePath(curNode.getPath());,if (TreePath(curNode != null ) final TreePath pathn = new TreePath(curNode.getPath());
SearchKeyAdapter.java,Enumeration<TreeNode> enums = curNode.depthFirstEnumeration();,if (curNode != null ) Enumeration<TreeNode> enums = curNode.depthFirstEnumeration();
SearchKeyAdapter.java,ResourceTreeNode node = (ResourceTreeNode) enums.nextElement();,if (enums != null ) ResourceTreeNode node = (ResourceTreeNode) enums.nextElement();
SearchKeyAdapter.java,TreeNode[] pathArray = node.getPath();,if (node != null ) TreeNode[] pathArray = node.getPath();
SearchKeyAdapter.java,String s = (String) (n.getUserObject());,if ((n != null ) String s = (String) (n.getUserObject());
SearchKeyAdapter.java,String fullPathString = fullPath.toString();,if (fullPath != null ) String fullPathString = fullPath.toString();
SearchKeyAdapter.java,final TreePath pathn = new TreePath(node.getPath());,if (TreePath(node != null ) final TreePath pathn = new TreePath(node.getPath());
ResourceDecompiling.java,File file = fc.getSelectedFile();,if (fc != null ) File file = fc.getSelectedFile();
ResourceDecompiling.java,Object obj = pane.getValue();,if (pane != null ) Object obj = pane.getValue();
ResourceDecompiling.java,final ClassNode cn = BytecodeViewer.getCurrentlyOpenedClassNode();,if (BytecodeViewer != null ) final ClassNode cn = BytecodeViewer.getCurrentlyOpenedClassNode();
ResourceDecompiling.java,File file = fc.getSelectedFile();,if (fc != null ) File file = fc.getSelectedFile();
ResourceDecompiling.java,Object obj = pane.getValue();,if (pane != null ) Object obj = pane.getValue();
GlobalHotKeys.java,File file = fc.getSelectedFile();,if (fc != null ) File file = fc.getSelectedFile();
APKExport.java,final File file = fc.getSelectedFile();,if (fc != null ) final File file = fc.getSelectedFile();
APKExport.java,String output = file.getAbsolutePath();,if (file != null ) String output = file.getAbsolutePath();
ZipExport.java,File file = fc.getSelectedFile();,if (fc != null ) File file = fc.getSelectedFile();
XposedGenerator.java,String selectedClass = cb.getSelectedItem().toString();,if (cb != null ) String selectedClass = cb.getSelectedItem().toString();
XposedGenerator.java,String selectedXposedTemplate = xposedTemplateList.getSelectedItem().toString();,if (xposedTemplateList != null ) String selectedXposedTemplate = xposedTemplateList.getSelectedItem().toString();
XposedGenerator.java,foundpckg  = quote(line.trim());,if (quote(line != null ) foundpckg  = quote(line.trim());
HexViewer.java,lineWrappingToggleButton = new javax.swing.JToggleButton();,if (javax != null ) lineWrappingToggleButton = new javax.swing.JToggleButton();
ValuesPanel.java,Integer intValue = Integer.valueOf(byteTextField.getText());,if (Integer != null ) Integer intValue = Integer.valueOf(byteTextField.getText());
ValuesPanel.java,Integer intValue = Integer.valueOf(wordTextField.getText());,if (Integer != null ) Integer intValue = Integer.valueOf(wordTextField.getText());
ValuesPanel.java,Long longValue = Long.valueOf(intTextField.getText());,if (Long != null ) Long longValue = Long.valueOf(intTextField.getText());
ValuesPanel.java,Long longValue = Long.valueOf(longTextField.getText());,if (Long != null ) Long longValue = Long.valueOf(longTextField.getText());
ValuesPanel.java,Float floatValue = Float.valueOf(floatTextField.getText());,if (Float != null ) Float floatValue = Float.valueOf(floatTextField.getText());
ValuesPanel.java,Double doubleValue = Double.valueOf(doubleTextField.getText());,if (Double != null ) Double doubleValue = Double.valueOf(doubleTextField.getText());
JavapDisassembler.java,Object cl = javap.newInstance();,if (javap != null ) Object cl = javap.newInstance();
CompiledJavaPluginLaunchStrategy.java,Plugin p = cl.pluginKlass.newInstance();,if (cl != null ) Plugin p = cl.pluginKlass.newInstance();
JHexEditor.java,Rectangle rec = this.getBounds();,if (this != null ) Rectangle rec = this.getBounds();
JHexEditor.java,int size = font.getSize();,if (font != null ) int size = font.getSize();
JHexEditor.java,int h = fn.getHeight();,if (fn != null ) int h = fn.getHeight();
