Filename,Buggy/Deleted,Fixed/Added
Simulator.java,this.stopwatch = Stopwatch.createUnstarted();,if (Stopwatch != null ) this.stopwatch = Stopwatch.createUnstarted();
Simulator.java,int batchSize = settings.batchSize();,if (settings != null ) int batchSize = settings.batchSize();
Simulator.java,"var registry = new Registry(settings, traceReader.characteristics());","if (traceReader != null ) var registry = new Registry(settings, traceReader.characteristics());"
PolicyActor.java,long priorMisses = policy.stats().missCount();,if (policy != null ) long priorMisses = policy.stats().missCount();
PolicyActor.java,long priorHits = policy.stats().hitCount();,if (policy != null ) long priorHits = policy.stats().hitCount();
CacheContext.java,long maximum = weigher.unitsPerEntry() * maximumSize.max();,if (maximumSize != null ) long maximum = weigher.unitsPerEntry() * maximumSize.max();
BoundedLocalCache.java,int random = ThreadLocalRandom.current().nextInt();,if (ThreadLocalRandom != null ) int random = ThreadLocalRandom.current().nextInt();
BoundedLocalCache.java,candidate = accessOrderProtectedDeque().peek();,if (accessOrderProtectedDeque() != null ) candidate = accessOrderProtectedDeque().peek();
Stresser.java,drainStatus = local.drainStatus();,if (local != null ) drainStatus = local.drainStatus();
BoundedLocalCache.java,candidate = accessOrderWindowDeque().peekLast();,if (accessOrderWindowDeque() != null ) candidate = accessOrderWindowDeque().peekLast();
BoundedLocalCache.java,candidate = candidate.getPreviousInAccessOrder();,if (candidate != null ) candidate = candidate.getPreviousInAccessOrder();
TimerWheelTest.java,var snapshot = new ArrayList<Long>(cache.size());,if (ArrayList<Long>(cache != null ) var snapshot = new ArrayList<Long>(cache.size());
LocalAsyncCache.java,V value = Async.getIfReady(entry.getValue());,if (Async != null ) V value = Async.getIfReady(entry.getValue());
RefreshAfterWriteTest.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
RefreshAfterWriteTest.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
RefreshAfterWriteTest.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
RefreshAfterWriteTest.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
RefreshAfterWriteTest.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
RefreshAfterWriteTest.java,submitted = executor.submitted();,if (executor != null ) submitted = executor.submitted();
RefreshAfterWriteTest.java,submitted = executor.submitted();,if (executor != null ) submitted = executor.submitted();
CacheValidationListener.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
CacheValidationListener.java,var executor = (TrackingExecutor) context.executor();,if (context != null ) var executor = (TrackingExecutor) context.executor();
TraceBenchmark.java,"registry = new Registry(settings, ImmutableSet.of());","if (ImmutableSet != null ) registry = new Registry(settings, ImmutableSet.of());"
BufferTest.java,long recorded = buffer.recorded();,if (buffer != null ) long recorded = buffer.recorded();
BufferTest.java,long drained = buffer.drained();,if (buffer != null ) long drained = buffer.drained();
BufferTest.java,long recorded = buffer.recorded();,if (buffer != null ) long recorded = buffer.recorded();
BufferTest.java,long drained = buffer.drained();,if (buffer != null ) long drained = buffer.drained();
BufferTest.java,long recorded = buffer.recorded();,if (buffer != null ) long recorded = buffer.recorded();
FastFlowBuffer.java,E e = slot.get();,if (slot != null ) E e = slot.get();
ManyToOneBuffer.java,E e = slot.get();,if (slot != null ) E e = slot.get();
MavenWrapperDownloader.java,rbc = Channels.newChannel(website.openStream());,if (Channels != null ) rbc = Channels.newChannel(website.openStream());
MavenWrapperDownloader.java,rbc = Channels.newChannel(website.openStream());,if (Channels != null ) rbc = Channels.newChannel(website.openStream());
JmxRegistration.java,MBeanServer server = ManagementFactory.getPlatformMBeanServer();,if (ManagementFactory != null ) MBeanServer server = ManagementFactory.getPlatformMBeanServer();
