Filename,Buggy/Deleted,Fixed/Added
AbstractWatcher.java,final Random random = ThreadLocalRandom.current();,if (ThreadLocalRandom != null ) final Random random = ThreadLocalRandom.current();
AbstractWatcher.java,long result = random.nextLong();,if (random != null ) long result = random.nextLong();
TransformingWatcher.java,final U transformedValue = transformer.apply(latestParent.value());,if (transformer != null ) final U transformedValue = transformer.apply(latestParent.value());
HttpApiExceptionHandler.java,final ExceptionHandlerFunction func = exceptionHandlers.get(cause.getClass());,if (exceptionHandlers != null ) final ExceptionHandlerFunction func = exceptionHandlers.get(cause.getClass());
MigrationUtil.java,legacyTokens = ImmutableList.of();,if (ImmutableList != null ) legacyTokens = ImmutableList.of();
MigrationUtilTest.java,final ProjectManager pm = manager.projectManager();,if (manager != null ) final ProjectManager pm = manager.projectManager();
MigrationUtilTest.java,final CommandExecutor executor = manager.executor();,if (manager != null ) final CommandExecutor executor = manager.executor();
MigrationUtilTest.java,final ProjectManager pm = manager.projectManager();,if (manager != null ) final ProjectManager pm = manager.projectManager();
MigrationUtilTest.java,final CommandExecutor executor = manager.executor();,if (manager != null ) final CommandExecutor executor = manager.executor();
MigrationUtilTest.java,final ProjectManager pm = manager.projectManager();,if (manager != null ) final ProjectManager pm = manager.projectManager();
MigrationUtilTest.java,final CommandExecutor executor = manager.executor();,if (manager != null ) final CommandExecutor executor = manager.executor();
MigrationUtilTest.java,final RepositoryManager manager = project.repos();,if (project != null ) final RepositoryManager manager = project.repos();
GitRepositoryMigrationTest.java,final Executor purgeWorker = MoreExecutors.directExecutor();,if (MoreExecutors != null ) final Executor purgeWorker = MoreExecutors.directExecutor();
RepositoryGarbageCollectionPlugin.java,gcConfig = context.config().repositoryGarbageCollection();,if (context != null ) gcConfig = context.config().repositoryGarbageCollection();
RepositoryGarbageCollectionPlugin.java,final ProjectManager pm = context.projectManager();,if (context != null ) final ProjectManager pm = context.projectManager();
RepositoryGarbageCollectionPlugin.java,final MeterRegistry meterRegistry = context.meterRegistry();,if (context != null ) final MeterRegistry meterRegistry = context.meterRegistry();
RepositoryGarbageCollectionPlugin.java,final Stopwatch stopwatch = Stopwatch.createUnstarted();,if (Stopwatch != null ) final Stopwatch stopwatch = Stopwatch.createUnstarted();
RepositoryGarbageCollectionPlugin.java,final String projectName = project.name();,if (project != null ) final String projectName = project.name();
RepositoryGarbageCollectionPlugin.java,final String repoName = repo.name();,if (repo != null ) final String repoName = repo.name();
RepositoryGarbageCollectionPlugin.java,final Revision gcRevision = repo.lastGcRevision();,if (repo != null ) final Revision gcRevision = repo.lastGcRevision();
RepositoryGarbageCollectionPlugin.java,newCommitsSinceLastGc = endRevision.major();,if (endRevision != null ) newCommitsSinceLastGc = endRevision.major();
RepositoryGarbageCollectionPlugin.java,newCommitsSinceLastGc = endRevision.major() - gcRevision.major();,if (gcRevision != null ) newCommitsSinceLastGc = endRevision.major() - gcRevision.major();
GitGcRevision.java,size = channel.size();,if (channel != null ) size = channel.size();
GitGcRevision.java,final ByteBuffer buf = threadLocalBuffer.get();,if (threadLocalBuffer != null ) final ByteBuffer buf = threadLocalBuffer.get();
GitGcRevision.java,final ByteBuffer buf = threadLocalBuffer.get();,if (threadLocalBuffer != null ) final ByteBuffer buf = threadLocalBuffer.get();
LegacyCentralDogmaBuilder.java,final EventLoopGroup executor = clientFactory().eventLoopGroup();,if (clientFactory() != null ) final EventLoopGroup executor = clientFactory().eventLoopGroup();
ArmeriaCentralDogmaBuilder.java,final EventLoopGroup executor = clientFactory().eventLoopGroup();,if (clientFactory() != null ) final EventLoopGroup executor = clientFactory().eventLoopGroup();
CentralDogmaClientAutoConfiguration.java,final ConfigurableListableBeanFactory beanFactory = context.getBeanFactory();,if (context != null ) final ConfigurableListableBeanFactory beanFactory = context.getBeanFactory();
CentralDogmaClientAutoConfiguration.java,final MethodMetadata fmm = abd.getFactoryMethodMetadata();,if (abd != null ) final MethodMetadata fmm = abd.getFactoryMethodMetadata();
StandaloneCommandExecutorTest.java,final ProjectManager pm = extension.projectManager();,if (extension != null ) final ProjectManager pm = extension.projectManager();
ZooKeeperCommandExecutorTest.java,dataDir = spec.getDataDirectory();,if (spec != null ) dataDir = spec.getDataDirectory();
ZooKeeperCommandExecutorTest.java,meterRegistry = PrometheusMeterRegistries.newRegistry();,if (PrometheusMeterRegistries != null ) meterRegistry = PrometheusMeterRegistries.newRegistry();
ZooKeeperCommandExecutorTest.java,final int id = spec.getServerId();,if (spec != null ) final int id = spec.getServerId();
ContentServiceV1.java,final Revision lastKnownRevision = watchRequest.get().lastKnownRevision();,if (watchRequest != null ) final Revision lastKnownRevision = watchRequest.get().lastKnownRevision();
ContentServiceV1.java,final long timeOutMillis = watchRequest.get().timeoutMillis();,if (watchRequest != null ) final long timeOutMillis = watchRequest.get().timeoutMillis();
TransformingWatcher.java,U transformedValue = transformer.apply(latestParent.value());,if (transformer != null ) U transformedValue = transformer.apply(latestParent.value());
IdentityQuery.java,this.strVal = strVal = buf.toString();,if (buf != null ) this.strVal = strVal = buf.toString();
NamedQueryDto.java,name = namedQuery.getName();,if (namedQuery != null ) name = namedQuery.getName();
NamedQueryDto.java,enabled = namedQuery.isEnabled();,if (namedQuery != null ) enabled = namedQuery.isEnabled();
NamedQueryDto.java,repositoryName = namedQuery.getRepositoryName();,if (namedQuery != null ) repositoryName = namedQuery.getRepositoryName();
NamedQueryDto.java,query = new QueryDto(namedQuery.getQuery());,if (QueryDto(namedQuery != null ) query = new QueryDto(namedQuery.getQuery());
NamedQueryDto.java,comment = new CommentDto(namedQuery.getComment());,if (CommentDto(namedQuery != null ) comment = new CommentDto(namedQuery.getComment());
QueryDto.java,path = query.getPath();,if (query != null ) path = query.getPath();
QueryDto.java,type = query.getType();,if (query != null ) type = query.getType();
QueryDto.java,expressions = query.getExpressions();,if (query != null ) expressions = query.getExpressions();
AbstractArmeriaCentralDogmaBuilder.java,"groupName = ""centraldogma-anonymous-"" + nextAnonymousGroupId.getAndIncrement();","if (nextAnonymousGroupId != null ) groupName = ""centraldogma-anonymous-"" + nextAnonymousGroupId.getAndIncrement();"
ArmeriaCentralDogmaBuilder.java,final String uri = scheme + endpoint.authority();,if (endpoint != null ) final String uri = scheme + endpoint.authority();
ArmeriaCentralDogmaBuilderTest.java,final long id = AbstractArmeriaCentralDogmaBuilder.nextAnonymousGroupId.get();,if (AbstractArmeriaCentralDogmaBuilder != null ) final long id = AbstractArmeriaCentralDogmaBuilder.nextAnonymousGroupId.get();
ArmeriaCentralDogmaBuilderTest.java,final long id = AbstractArmeriaCentralDogmaBuilder.nextAnonymousGroupId.get();,if (AbstractArmeriaCentralDogmaBuilder != null ) final long id = AbstractArmeriaCentralDogmaBuilder.nextAnonymousGroupId.get();
ArmeriaCentralDogmaBuilderTest.java,final long id = AbstractArmeriaCentralDogmaBuilder.nextAnonymousGroupId.get();,if (AbstractArmeriaCentralDogmaBuilder != null ) final long id = AbstractArmeriaCentralDogmaBuilder.nextAnonymousGroupId.get();
CentralDogma.java,final String subtype = contentType.subtype();,if (contentType != null ) final String subtype = contentType.subtype();
CentralDogmaRuleDelegate.java,final InetSocketAddress serverAddress = activePort.get().localAddress();,if (activePort != null ) final InetSocketAddress serverAddress = activePort.get().localAddress();
GitMirrorTest.java,client = rule.client();,if (rule != null ) client = rule.client();
GitMirrorTest.java,mirroringService = rule.mirroringService();,if (rule != null ) mirroringService = rule.mirroringService();
GitMirrorTest.java,projName = testName.getMethodName();,if (testName != null ) projName = testName.getMethodName();
ContentServiceV1Test.java,final AggregatedHttpResponse res = future.join();,if (future != null ) final AggregatedHttpResponse res = future.join();
ContentServiceV1Test.java,final AggregatedHttpResponse res = future.join();,if (future != null ) final AggregatedHttpResponse res = future.join();
ContentServiceV1Test.java,final AggregatedHttpResponse res = future.join();,if (future != null ) final AggregatedHttpResponse res = future.join();
RepositoryManagerWrapperTest.java,final String name = testName.getMethodName();,if (testName != null ) final String name = testName.getMethodName();
RepositoryManagerWrapperTest.java,final String name = testName.getMethodName();,if (testName != null ) final String name = testName.getMethodName();
