Filename,Buggy/Deleted,Fixed/Added
ConsulConfigurationSourceIntegrationTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
BindInvocationHandlerTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
GenericTypeTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
MeteredConfigurationProviderTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
SimpleConfigurationProviderAbstractTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
SimpleConfigurationProviderWithClasspathIntegrationTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
SimpleConfigurationProviderWithMeteredSourceIntegrationTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
ClasspathConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
FallbackConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
MergeConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
JsonBasedPropertiesProviderTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
PropertiesProviderSelectorTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
PropertyBasedPropertiesProviderTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
YamlBasedPropertiesProviderTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
EmptyConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
FilesConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
InMemoryConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
MeteredConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
CachedConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
MeteredReloadableTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
PeriodicalReloadStrategyTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
SystemPropertiesConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
FileUtilsIntegrationTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
BindingValidatorTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
AllButFirstTokenPathResolverTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
FirstTokenBranchResolverTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
GitConfigurationSourceIntegrationTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
SimpleConfigurationProviderIntegrationTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
EnvironmentVariablesConfigurationSourceTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
AmazonS3WrapperImpl.java,InputStream is = obj.getObjectContent();,if (obj != null ) InputStream is = obj.getObjectContent();
AmazonS3WrapperImpl.java,InputStream is = obj.getObjectContent();,if (obj != null ) InputStream is = obj.getObjectContent();
MeteredConfigurationSource.java,Timer.Context context = reloadTimer.time();,if (reloadTimer != null ) Timer.Context context = reloadTimer.time();
InMemoryConfigurationSource.java,this.properties = (Properties) properties.clone();,if (properties != null ) this.properties = (Properties) properties.clone();
InMemoryConfigurationSource.java,properties = (Properties) sourceProperties.clone();,if (sourceProperties != null ) properties = (Properties) sourceProperties.clone();
ConfigurationProviderBuilder.java,metricRegistry = Optional.empty();,if (Optional != null ) metricRegistry = Optional.empty();
BindInvocationHandler.java,Type returnType = method.getGenericReturnType();,if (method != null ) Type returnType = method.getGenericReturnType();
ConsulConfigurationSource.java,kvClient = consul.keyValueClient();,if (consul != null ) kvClient = consul.keyValueClient();
FilesConfigurationSourceTest.java,environment = new ImmutableEnvironment(fileRepo.getURI());,if (ImmutableEnvironment(fileRepo != null ) environment = new ImmutableEnvironment(fileRepo.getURI());
FileUtils.java,File[] files = directory.listFiles();,if (directory != null ) File[] files = directory.listFiles();
FileUtilsTest.java,public ExpectedException expectedException = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException expectedException = ExpectedException.none();
ClasspathConfigurationSourceTest.java,fileSystem = FileSystems.getDefault();,if (FileSystems != null ) fileSystem = FileSystems.getDefault();
FilesConfigurationSourceTest.java,fileSystem = FileSystems.getDefault();,if (FileSystems != null ) fileSystem = FileSystems.getDefault();
GitConfigurationSourceIntegrationTest.java,fileSystem = FileSystems.getDefault();,if (FileSystems != null ) fileSystem = FileSystems.getDefault();
ClasspathConfigurationSource.java,String path = environment.getName();,if (environment != null ) String path = environment.getName();
FilesConfigurationSource.java,String rootPathStr = environment.getName();,if (environment != null ) String rootPathStr = environment.getName();
SimpleConfigurationProvider.java,Type returnType = method.getGenericReturnType();,if (method != null ) Type returnType = method.getGenericReturnType();
FilesConfigurationSource.java,String path = environment.getName();,if (environment != null ) String path = environment.getName();
