Filename,Buggy/Deleted,Fixed/Added
BridgeMethodResolver.java,Map.Entry entry = (Map.Entry)entryIter.next();,if ((Map != null ) Map.Entry entry = (Map.Entry)entryIter.next();
BridgeMethodResolver.java,Class owner = (Class)entry.getKey();,if ((Class)entry != null ) Class owner = (Class)entry.getKey();
BridgeMethodResolver.java,Set bridges = (Set)entry.getValue();,if ((Set)entry != null ) Set bridges = (Set)entry.getValue();
ReflectUtils.java,Method[] methods = Object.class.getDeclaredMethods();,if (Object != null ) Method[] methods = Object.class.getDeclaredMethods();
Enhancer.java,final Map bridgeToTarget = new BridgeMethodResolver(declToBridge).resolveAll();,if (BridgeMethodResolver(declToBridge) != null ) final Map bridgeToTarget = new BridgeMethodResolver(declToBridge).resolveAll();
AbstractClassGenerator.java,Object save = CURRENT.get();,if (CURRENT != null ) Object save = CURRENT.get();
KeyFactory.java,seed += parameterTypes[i].hashCode();,if (parameterTypes[i] != null ) seed += parameterTypes[i].hashCode();
DebuggingClassWriter.java,byte[] b = DebuggingClassWriter.super.toByteArray();,if (DebuggingClassWriter != null ) byte[] b = DebuggingClassWriter.super.toByteArray();
DefaultNamingPolicy.java,String base = sb.toString();,if (sb != null ) String base = sb.toString();
RemappingCodeVisitor.java,nextLocal += args[i].getSize();,if (args[i] != null ) nextLocal += args[i].getSize();
MethodInterceptorGenerator.java,List declaredMethods = Arrays.asList(cls.getDeclaredMethods());,if (Arrays != null ) List declaredMethods = Arrays.asList(cls.getDeclaredMethods());
MethodInterceptorGenerator.java,"List declaredInfo = CollectionUtils.transform(declaredMethods, MethodInfoTransformer.getInstance());","if (MethodInfoTransformer != null ) List declaredInfo = CollectionUtils.transform(declaredMethods, MethodInfoTransformer.getInstance());"
MethodInterceptorGenerator.java,Integer index = (Integer)j.next();,if ((Integer)j != null ) Integer index = (Integer)j.next();
MethodProxy.java,AbstractClassGenerator fromEnhancer = AbstractClassGenerator.getCurrent();,if (AbstractClassGenerator != null ) AbstractClassGenerator fromEnhancer = AbstractClassGenerator.getCurrent();
MethodInterceptorGenerator.java,MethodInfo method = (MethodInfo)it.next();,if ((MethodInfo)it != null ) MethodInfo method = (MethodInfo)it.next();
MethodInterceptorGenerator.java,Signature sig = method.getSignature();,if (method != null ) Signature sig = method.getSignature();
AbstractProcessTask.java,String[] srcFiles = ds.getIncludedFiles();,if (ds != null ) String[] srcFiles = ds.getIncludedFiles();
Enhancer.java,type = type.getSuperclass();,if (type != null ) type = type.getSuperclass();
Enhancer.java,String desc = superType.getDescriptor();,if (superType != null ) String desc = superType.getDescriptor();
Enhancer.java,"methods = CollectionUtils.transform(superMethods, MethodInfoTransformer.getInstance());","if (MethodInfoTransformer != null ) methods = CollectionUtils.transform(superMethods, MethodInfoTransformer.getInstance());"
Enhancer.java,CodeEmitter e = ce.getStaticHook();,if (ce != null ) CodeEmitter e = ce.getStaticHook();
NoOpGenerator.java,MethodInfo method = (MethodInfo)it.next();,if ((MethodInfo)it != null ) MethodInfo method = (MethodInfo)it.next();
AbstractTransformTask.java,int[] version = reader.getVersion();,if (reader != null ) int[] version = reader.getVersion();
AbstractClassGenerator.java,Object save = CURRENT.get();,if (CURRENT != null ) Object save = CURRENT.get();
ReflectUtils.java,Class sc = clazz.getSuperclass();,if (clazz != null ) Class sc = clazz.getSuperclass();
BeanCopier.java,Type getterType = Type.getType(getter.getPropertyType());,if (Type != null ) Type getterType = Type.getType(getter.getPropertyType());
BeanCopier.java,Type setterType = Type.getType(setter.getPropertyType());,if (Type != null ) Type setterType = Type.getType(setter.getPropertyType());
CodeEmitter.java,Class declaring = method.getDeclaringClass();,if (method != null ) Class declaring = method.getDeclaringClass();
DispatcherGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
EnhancerEmitter.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
FixedValueGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
InvocationHandlerGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
InvocationHandlerGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
LazyLoaderGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
MethodInterceptorGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
MethodInterceptorGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
NoOpGenerator.java,Method method = (Method)it.next();,if ((Method)it != null ) Method method = (Method)it.next();
FastClassEmitter.java,Type[] types = sig.getArgumentTypes();,if (sig != null ) Type[] types = sig.getArgumentTypes();
MethodDelegate.java,boolean isStatic = Modifier.isStatic(method.getModifiers());,if (Modifier != null ) boolean isStatic = Modifier.isStatic(method.getModifiers());
AddStaticInitTransformer.java,Class[] types = classInit.getParameterTypes();,if (classInit != null ) Class[] types = classInit.getParameterTypes();
ReflectUtils.java,boolean flag = cstruct.isAccessible();,if (cstruct != null ) boolean flag = cstruct.isAccessible();
ReflectUtils.java,classes[i] = objects[i].getClass();,if (objects[i] != null ) classes[i] = objects[i].getClass();
ReflectUtils.java,PropertyDescriptor[] all = info.getPropertyDescriptors();,if (info != null ) PropertyDescriptor[] all = info.getPropertyDescriptors();
ReflectUtils.java,cl = cl.getSuperclass();,if (cl != null ) cl = cl.getSuperclass();
ReflectUtils.java,Class superclass = type.getSuperclass();,if (type != null ) Class superclass = type.getSuperclass();
ReflectUtils.java,Class[] interfaces = type.getInterfaces();,if (type != null ) Class[] interfaces = type.getInterfaces();
ReflectUtils.java,Class superclass = type.getSuperclass();,if (type != null ) Class superclass = type.getSuperclass();
ReflectUtils.java,Method[] methods = iface.getDeclaredMethods();,if (iface != null ) Method[] methods = iface.getDeclaredMethods();
ReflectUtils.java,boolean flag = cstruct.isAccessible();,if (cstruct != null ) boolean flag = cstruct.isAccessible();
ReflectUtils.java,classes[i] = objects[i].getClass();,if (objects[i] != null ) classes[i] = objects[i].getClass();
ReflectUtils.java,PropertyDescriptor[] all = info.getPropertyDescriptors();,if (info != null ) PropertyDescriptor[] all = info.getPropertyDescriptors();
ReflectUtils.java,cl = cl.getSuperclass();,if (cl != null ) cl = cl.getSuperclass();
ReflectUtils.java,Class superclass = type.getSuperclass();,if (type != null ) Class superclass = type.getSuperclass();
ReflectUtils.java,Class[] interfaces = type.getInterfaces();,if (type != null ) Class[] interfaces = type.getInterfaces();
ReflectUtils.java,Class superclass = type.getSuperclass();,if (type != null ) Class superclass = type.getSuperclass();
ReflectUtils.java,Method[] methods = iface.getDeclaredMethods();,if (iface != null ) Method[] methods = iface.getDeclaredMethods();
DebuggingClassWriter.java,byte[] b = super.toByteArray();,if (super != null ) byte[] b = super.toByteArray();
ReflectUtils.java,boolean flag = cstruct.isAccessible();,if (cstruct != null ) boolean flag = cstruct.isAccessible();
ReflectUtils.java,cl = cl.getSuperclass();,if (cl != null ) cl = cl.getSuperclass();
ReflectUtils.java,Class superclass = type.getSuperclass();,if (type != null ) Class superclass = type.getSuperclass();
ReflectUtils.java,Class[] interfaces = type.getInterfaces();,if (type != null ) Class[] interfaces = type.getInterfaces();
ReflectUtils.java,SecurityManager sm = System.getSecurityManager();,if (System != null ) SecurityManager sm = System.getSecurityManager();
InvocationHandlerGenerator.java,Class[] exceptionTypes = method.getExceptionTypes();,if (method != null ) Class[] exceptionTypes = method.getExceptionTypes();
AbstractFilterTransformer.java,AbstractFilterTransformer t = (AbstractFilterTransformer)super.clone();,if ((AbstractFilterTransformer)super != null ) AbstractFilterTransformer t = (AbstractFilterTransformer)super.clone();
AbstractFilterTransformer.java,t.pass = (ClassTransformer)pass.clone();,if ((ClassTransformer)pass != null ) t.pass = (ClassTransformer)pass.clone();
AbstractTransformer.java,AbstractTransformer t = (AbstractTransformer)super.clone();,if ((AbstractTransformer)super != null ) AbstractTransformer t = (AbstractTransformer)super.clone();
EmittingTransformer.java,EmittingTransformer t = (EmittingTransformer)super.clone();,if ((EmittingTransformer)super != null ) EmittingTransformer t = (EmittingTransformer)super.clone();
