Filename,Buggy/Deleted,Fixed/Added
VariableDeclarationUsageDistanceCheck.java,DetailAST currentNode = block.getLastChild();,if (block != null ) DetailAST currentNode = block.getLastChild();
VariableDeclarationUsageDistanceCheck.java,currentNode = currentNode.getFirstChild();,if (currentNode != null ) currentNode = currentNode.getFirstChild();
VariableDeclarationUsageDistanceCheck.java,currentNode = currentNode.getLastChild();,if (currentNode != null ) currentNode = currentNode.getLastChild();
RequireThisCheck.java,final String nameToFind = ident.getText();,if (ident != null ) final String nameToFind = ident.getText();
RequireThisCheck.java,final String nameToFind = ident.getText();,if (ident != null ) final String nameToFind = ident.getText();
VariableDeclarationUsageDistanceCheck.java,firstNodeInsideBlock = currentNode.getFirstChild();,if (currentNode != null ) firstNodeInsideBlock = currentNode.getFirstChild();
UnnecessaryParenthesesCheck.java,final int type = ast.getType();,if (ast != null ) final int type = ast.getType();
FinalLocalVariableCheck.java,final DetailAST parent = ast.getParent();,if (ast != null ) final DetailAST parent = ast.getParent();
OneStatementPerLineCheck.java,final DetailAST prevSibling = ast.getPreviousSibling();,if (ast != null ) final DetailAST prevSibling = ast.getPreviousSibling();
RequireThisCheck.java,fieldUsageFrame = fieldUsageFrame.getParent();,if (fieldUsageFrame != null ) fieldUsageFrame = fieldUsageFrame.getParent();
TagParser.java,final int currentLineLength = currentLine.length();,if (currentLine != null ) final int currentLineLength = currentLine.length();
RequireThisCheck.java,final DetailAST blockFrameNameIdent = variableDeclarationFrame.getFrameNameIdent();,if (variableDeclarationFrame != null ) final DetailAST blockFrameNameIdent = variableDeclarationFrame.getFrameNameIdent();
RequireThisCheck.java,final DetailAST definitionToken = blockFrameNameIdent.getParent();,if (blockFrameNameIdent != null ) final DetailAST definitionToken = blockFrameNameIdent.getParent();
RequireThisCheck.java,final DetailAST modifiers = codeBlockDefinition.getFirstChild();,if (codeBlockDefinition != null ) final DetailAST modifiers = codeBlockDefinition.getFirstChild();
RequireThisCheck.java,final DetailAST frameNameIdent = variableDeclarationFrame.getFrameNameIdent();,if (variableDeclarationFrame != null ) final DetailAST frameNameIdent = variableDeclarationFrame.getFrameNameIdent();
RequireThisCheck.java,final DetailAST definitionToken = frameNameIdent.getParent();,if (frameNameIdent != null ) final DetailAST definitionToken = frameNameIdent.getParent();
