Filename,Buggy/Deleted,Fixed/Added
ConfigBeanImpl.java,T bean = clazz.newInstance();,if (clazz != null ) T bean = clazz.newInstance();
ConfigFactory.java,ClassLoader loader = parseOptions.getClassLoader();,if (parseOptions != null ) ClassLoader loader = parseOptions.getClassLoader();
DefaultConfigLoadingStrategy.java,ClassLoader loader = parseOptions.getClassLoader();,if (parseOptions != null ) ClassLoader loader = parseOptions.getClassLoader();
SimpleConfig.java,String s = (String) v.unwrapped();,if (v != null ) String s = (String) v.unwrapped();
SimpleConfig.java,String s = (String) v.unwrapped();,if (v != null ) String s = (String) v.unwrapped();
SimpleConfig.java,result = resultDecimal.toBigInteger();,if (resultDecimal != null ) result = resultDecimal.toBigInteger();
SimpleConfig.java,String s = (String) v.unwrapped();,if (v != null ) String s = (String) v.unwrapped();
ConfigImpl.java,String propertyKey = builder.toString();,if (builder != null ) String propertyKey = builder.toString();
EnvFirstConfigLoadingStrategy.java,String propertyKey = builder.toString();,if (builder != null ) String propertyKey = builder.toString();
SerializedConfigValue.java,this.wasConfig = in.readBoolean();,if (in != null ) this.wasConfig = in.readBoolean();
ConfigImpl.java,String key = entry.getKey();,if (entry != null ) String key = entry.getKey();
ConfigFactory.java,ClassLoader loader = parseOptions.getClassLoader();,if (parseOptions != null ) ClassLoader loader = parseOptions.getClassLoader();
ConfigBeanImpl.java,configPropName = beanProp.getName();,if (beanProp != null ) configPropName = beanProp.getName();
ConfigParser.java,ArrayList<AbstractConfigNode> nodes = new ArrayList(n.children());,if (ArrayList(n != null ) ArrayList<AbstractConfigNode> nodes = new ArrayList(n.children());
Parser.java,ListIterator<Token> li = newlines.listIterator(newlines.size());,if (newlines != null ) ListIterator<Token> li = newlines.listIterator(newlines.size());
Parser.java,int newNumber = t.token.lineNumber();,if (t != null ) int newNumber = t.token.lineNumber();
Parser.java,t = tokens.next();,if (tokens != null ) t = tokens.next();
Parser.java,String key = path.first();,if (path != null ) String key = path.first();
Parser.java,Path remaining = path.remainder();,if (path != null ) Path remaining = path.remainder();
Parser.java,key = remaining.first();,if (remaining != null ) key = remaining.first();
Parser.java,remaining = remaining.remainder();,if (remaining != null ) remaining = remaining.remainder();
Parser.java,ListIterator<String> i = keys.listIterator(keys.size());,if (keys != null ) ListIterator<String> i = keys.listIterator(keys.size());
Parser.java,lastPath = pathStack.pop();,if (pathStack != null ) lastPath = pathStack.pop();
Parser.java,String key = path.first();,if (path != null ) String key = path.first();
Parser.java,Path remaining = path.remainder();,if (path != null ) Path remaining = path.remainder();
ConfigNodeComplexValue.java,Path key = node.path().value();,if (node != null ) Path key = node.path().value();
ConfigNodeComplexValue.java,Path remainingPath = desiredPath.subPath(key.length());,if (desiredPath != null ) Path remainingPath = desiredPath.subPath(key.length());
