Filename,Buggy/Deleted,Fixed/Added
AstJavascriptVisitor.java,Element e = stack.pollFirst();,if (stack != null ) Element e = stack.pollFirst();
AstJavascriptVisitor.java,Element ope = stack.pollFirst(); // need the three first elements of the stack to manage,if (manage != null ) Element ope = stack.pollFirst(); // need the three first elements of the stack to manage
AstJavascriptVisitor.java,Element duration = stack.pollFirst(); // these operators,if (operators != null ) Element duration = stack.pollFirst(); // these operators
AstJavascriptVisitor.java,Element unit = stack.pollFirst();,if (stack != null ) Element unit = stack.pollFirst();
EngineTest.java,List<ValidationRule> rules = SampleRules.rules();,if (SampleRules != null ) List<ValidationRule> rules = SampleRules.rules();
AstTSRenderer.java,Metadata child = metadata.lastChild();,if (metadata != null ) Metadata child = metadata.lastChild();
JestExtension.java,this.executionContext = result.getContext();,if (result != null ) this.executionContext = result.getContext();
AstTSRenderer.java,Iterator<Metadata> iterator = metadata.children().iterator();,if (metadata != null ) Iterator<Metadata> iterator = metadata.children().iterator();
JestExtension.java,gson = new GsonBuilder().create();,if (GsonBuilder() != null ) gson = new GsonBuilder().create();
TypeScriptMatchAllTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAllTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAllTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAllTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAllTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
TypeScriptMatchAnyTest.java,ruleTs = toTS(result.getContext().getRootMetadata());,if (toTS(result != null ) ruleTs = toTS(result.getContext().getRootMetadata());
