Filename,Buggy/Deleted,Fixed/Added
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
TypeUtilitiesTests.java,Type genericReturnType = context.method().returnType();,if (context != null ) Type genericReturnType = context.method().returnType();
GitRepositoryTests.java,GitRepository.Builder builder = GitRepository.builder();,if (GitRepository != null ) GitRepository.Builder builder = GitRepository.builder();
GitRepositoryTests.java,GitRepository.Builder builder = GitRepository.builder();,if (GitRepository != null ) GitRepository.Builder builder = GitRepository.builder();
GitRepositoryTests.java,GitRepository.Builder builder = GitRepository.builder();,if (GitRepository != null ) GitRepository.Builder builder = GitRepository.builder();
GitRepositoryTests.java,GitRepository.Builder builder = GitRepository.builder();,if (GitRepository != null ) GitRepository.Builder builder = GitRepository.builder();
GitResolverTests.java,GitResolver.Builder builder = GitResolver.builder();,if (GitResolver != null ) GitResolver.Builder builder = GitResolver.builder();
GitResolverTests.java,GitResolver.Builder builder = GitResolver.builder();,if (GitResolver != null ) GitResolver.Builder builder = GitResolver.builder();
RootConverterTests.java,Type targetType = context.method().returnType();,if (context != null ) Type targetType = context.method().returnType();
ResourceResolver.java,String resourceContent = readString(url.openStream());,if (readString(url != null ) String resourceContent = readString(url.openStream());
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
TypeUtilitiesTests.java,Type genericReturnType = proxyMethod.returnType();,if (proxyMethod != null ) Type genericReturnType = proxyMethod.returnType();
