Filename,Buggy/Deleted,Fixed/Added
Configuration.java,private MetricsFactory metricsFactory = MetricsFactoryResolver.INSTANCE.resolve();,if (MetricsFactoryResolver != null ) private MetricsFactory metricsFactory = MetricsFactoryResolver.INSTANCE.resolve();
DropwizardTimerTest.java,timer = new io.dropwizard.metrics.Timer();,if (io != null ) timer = new io.dropwizard.metrics.Timer();
BitronixPoolAdapter.java,BitronixRuntimeException cause = (BitronixRuntimeException) e.getCause();,if (e != null ) BitronixRuntimeException cause = (BitronixRuntimeException) e.getCause();
ConnectionDecoratorFactoryResolver.java,int currentLoadingIndex = connectionDecoratorFactoryService.loadingIndex();,if (connectionDecoratorFactoryService != null ) int currentLoadingIndex = connectionDecoratorFactoryService.loadingIndex();
ConnectionDecoratorFactoryResolver.java,connectionDecoratorFactory = connectionDecoratorFactoryService.load();,if (connectionDecoratorFactoryService != null ) connectionDecoratorFactory = connectionDecoratorFactoryService.load();
CodahaleTimerTest.java,timer = new com.codahale.metrics.Timer();,if (com != null ) timer = new com.codahale.metrics.Timer();
ViburDBCPPoolAdapter.java,boolean enableJMX = getTargetDataSource().isEnableJMX();,if (getTargetDataSource() != null ) boolean enableJMX = getTargetDataSource().isEnableJMX();
FlexyPoolDataSource.java,DS dataSource = propertyLoader.getDataSource();,if (propertyLoader != null ) DS dataSource = propertyLoader.getDataSource();
FlexyPoolDataSource.java,PoolAdapterFactory<DS> poolAdapterFactory = propertyLoader.getPoolAdapterFactory();,if (propertyLoader != null ) PoolAdapterFactory<DS> poolAdapterFactory = propertyLoader.getPoolAdapterFactory();
FlexyPoolDataSource.java,DS dataSource = (DS) propertyLoader.getDataSource();,if (propertyLoader != null ) DS dataSource = (DS) propertyLoader.getDataSource();
FlexyPoolHibernateConnectionProvider.java,poolAdapterFactory = poolAdapterFactoryClass.newInstance();,if (poolAdapterFactoryClass != null ) poolAdapterFactory = poolAdapterFactoryClass.newInstance();
FlexyPoolHibernateConnectionProvider.java,Class<MetricsFactory> metricsFactoryClass = ClassLoaderUtils.loadClass(metricsFactoryProperty.toString());,if (ClassLoaderUtils != null ) Class<MetricsFactory> metricsFactoryClass = ClassLoaderUtils.loadClass(metricsFactoryProperty.toString());
FlexyPoolDataSource.java,DS dataSource = (DS) propertyLoader.getDataSource();,if (propertyLoader != null ) DS dataSource = (DS) propertyLoader.getDataSource();
AbstractPoolAdapter.java,long startNanos = System.nanoTime();,if (System != null ) long startNanos = System.nanoTime();
AbstractPoolAdapter.java,long endNanos = System.nanoTime();,if (System != null ) long endNanos = System.nanoTime();
FlexyPoolDataSource.java,this.targetDataSource = configuration.getPoolAdapter().getTargetDataSource();,if (configuration != null ) this.targetDataSource = configuration.getPoolAdapter().getTargetDataSource();
ConnectionCallback.java,this.startNanos = System.nanoTime();,if (System != null ) this.startNanos = System.nanoTime();
DynamicProxyInvocationHandler.java,this.startNanos = System.nanoTime();,if (System != null ) this.startNanos = System.nanoTime();
DynamicProxyInvocationHandler.java,long endNanos = System.nanoTime();,if (System != null ) long endNanos = System.nanoTime();
FlexyPoolDataSource.java,this.connectionProxyBuilder = configuration.getConnectionProxyBuilder();,if (configuration != null ) this.connectionProxyBuilder = configuration.getConnectionProxyBuilder();
ReflectionUtils.java,parameterTypes[i] = parameterTypedObject.getType();,if (parameterTypedObject != null ) parameterTypes[i] = parameterTypedObject.getType();
ReflectionUtils.java,parameters[i] = parameterTypedObject.getObject();,if (parameterTypedObject != null ) parameters[i] = parameterTypedObject.getObject();
BitronixIntegrationTest.java,Connection connection = dataSource.getConnection();,if (dataSource != null ) Connection connection = dataSource.getConnection();
BasicDataSourceIntegrationTest.java,Connection connection = dataSource.getConnection();,if (dataSource != null ) Connection connection = dataSource.getConnection();
BitronixPoolAdapter.java,BitronixRuntimeException cause = (BitronixRuntimeException) e.getCause();,if (e != null ) BitronixRuntimeException cause = (BitronixRuntimeException) e.getCause();
BitronixIntegrationTest.java,Connection connection = dataSource.getConnection();,if (dataSource != null ) Connection connection = dataSource.getConnection();
