Filename,Buggy/Deleted,Fixed/Added
MavenWrapperDownloader.java,rbc = Channels.newChannel(website.openStream());,if (Channels != null ) rbc = Channels.newChannel(website.openStream());
MavenWrapperDownloader.java,rbc = Channels.newChannel(website.openStream());,if (Channels != null ) rbc = Channels.newChannel(website.openStream());
_WebConfigurerTest.java,Builder builder = Undertow.builder();,if (Undertow != null ) Builder builder = Undertow.builder();
_AuditEventConverter.java,Object object = entry.getValue();,if (entry != null ) Object object = entry.getValue();
_CassandraConfiguration.java,String points = properties.getContactPoints();,if (properties != null ) String points = properties.getContactPoints();
_CustomAuditEventRepository.java,persistentAuditEvents = persistenceAuditEventRepository.findAll();,if (persistenceAuditEventRepository != null ) persistentAuditEvents = persistenceAuditEventRepository.findAll();
_UserResourceIntTest.java,User updatedUser = userRepository.findOne(user.getId());,if (userRepository != null ) User updatedUser = userRepository.findOne(user.getId());
_UserResourceIntTest.java,User updatedUser = userRepository.findOne(user.getId());,if (userRepository != null ) User updatedUser = userRepository.findOne(user.getId());
_UserResourceIntTest.java,User updatedUser = userRepository.findOne(user.getId());,if (userRepository != null ) User updatedUser = userRepository.findOne(user.getId());
_UserResourceIntTest.java,User updatedUser = userRepository.findOne(user.getId());,if (userRepository != null ) User updatedUser = userRepository.findOne(user.getId());
_CustomSocialConnectionRepository.java,"SocialUserConnection socialUserConnectionToUdpate =  connectionToUserSocialConnection(connection, socialUserConnection.getRank());","if (socialUserConnection != null ) SocialUserConnection socialUserConnectionToUdpate =  connectionToUserSocialConnection(connection, socialUserConnection.getRank());"
_EntityRepository.java,BoundStatement stmt = findAllStmt.bind();,if (findAllStmt != null ) BoundStatement stmt = findAllStmt.bind();
_EntityRepository.java,BoundStatement stmt = truncateStmt.bind();,if (truncateStmt != null ) BoundStatement stmt = truncateStmt.bind();
_RateLimitingFilter.java,String login = SecurityUtils.getCurrentUserLogin();,if (SecurityUtils != null ) String login = SecurityUtils.getCurrentUserLogin();
_SecurityUtils.java,Authentication authentication = securityContext.getAuthentication();,if (securityContext != null ) Authentication authentication = securityContext.getAuthentication();
_SecurityUtils.java,UserDetails springSecurityUser = (UserDetails) authentication.getPrincipal();,if (authentication != null ) UserDetails springSecurityUser = (UserDetails) authentication.getPrincipal();
_SecurityUtils.java,userName = springSecurityUser.getUsername();,if (springSecurityUser != null ) userName = springSecurityUser.getUsername();
_SecurityUtils.java,userName = (String) authentication.getPrincipal();,if (authentication != null ) userName = (String) authentication.getPrincipal();
_SecurityUtils.java,Authentication authentication = securityContext.getAuthentication();,if (securityContext != null ) Authentication authentication = securityContext.getAuthentication();
_SecurityUtils.java,Authentication authentication = securityContext.getAuthentication();,if (securityContext != null ) Authentication authentication = securityContext.getAuthentication();
_SecurityUtils.java,Authentication authentication = securityContext.getAuthentication();,if (securityContext != null ) Authentication authentication = securityContext.getAuthentication();
_SpringSecurityAuditorAware.java,String userName = SecurityUtils.getCurrentUserLogin();,if (SecurityUtils != null ) String userName = SecurityUtils.getCurrentUserLogin();
_AccountResource.java,final String userLogin = SecurityUtils.getCurrentUserLogin();,if (SecurityUtils != null ) final String userLogin = SecurityUtils.getCurrentUserLogin();
_SecurityUtilsUnitTest.java,String login = SecurityUtils.getCurrentUserLogin();,if (SecurityUtils != null ) String login = SecurityUtils.getCurrentUserLogin();
_SecurityUtilsUnitTest.java,String jwt = SecurityUtils.getCurrentUserJWT();,if (SecurityUtils != null ) String jwt = SecurityUtils.getCurrentUserJWT();
_AccountResource.java,Optional<User> existingUser = userRepository.findOneByLogin(userDTO.getLogin());,if (userRepository != null ) Optional<User> existingUser = userRepository.findOneByLogin(userDTO.getLogin());
_AccountResource.java,Instant dbModifiedDate = existingUser.get().getLastModifiedDate();,if (existingUser != null ) Instant dbModifiedDate = existingUser.get().getLastModifiedDate();
_UserService.java,String encryptedPassword = passwordEncoder.encode(userDTO.getPassword());,if (passwordEncoder != null ) String encryptedPassword = passwordEncoder.encode(userDTO.getPassword());
_UserResource.java,Optional<User> existingUser = userRepository.findOneByEmailIgnoreCase(managedUserVM.getEmail());,if (userRepository != null ) Optional<User> existingUser = userRepository.findOneByEmailIgnoreCase(managedUserVM.getEmail());
_UserServiceIntTest.java,int existingCount = persistentTokenRepository.findByUser(admin).size();,if (persistentTokenRepository != null ) int existingCount = persistentTokenRepository.findByUser(admin).size();
_UserServiceIntTest.java,LocalDate now = LocalDate.now();,if (LocalDate != null ) LocalDate now = LocalDate.now();
