Filename,Buggy/Deleted,Fixed/Added
CsvParser.java,value = value.trim();,if (value != null ) value = value.trim();
CsvParser.java,name = name.trim();,if (name != null ) name = name.trim();
CsvParser.java,CsvSchema newSchema = builder.build();,if (builder != null ) CsvSchema newSchema = builder.build();
CsvParser.java,int size = newSchema.size();,if (newSchema != null ) int size = newSchema.size();
NumberInput.java,int length = str.length();,if (str != null ) int length = str.length();
NumberInput.java,int length = str.length();,if (str != null ) int length = str.length();
CsvParser.java,next = next.trim();,if (next != null ) next = next.trim();
CsvParser.java,int sep = column.getArrayElementSeparator();,if (column != null ) int sep = column.getArrayElementSeparator();
CsvEncoder.java,int len = text.length();,if (text != null ) int len = text.length();
CsvMapper.java,JavaType nextType = m.getType(beanDesc.bindingsForBeanType());,if (m != null ) JavaType nextType = m.getType(beanDesc.bindingsForBeanType());
ReadSequencesTest.java,assertNotNull(entry = it.nextValue());,if (it != null ) assertNotNull(entry = it.nextValue());
ReadSequencesTest.java,assertNotNull(entry = it.nextValue());,if (it != null ) assertNotNull(entry = it.nextValue());
ReadSequencesTest.java,assertNotNull(entry = it.nextValue());,if (it != null ) assertNotNull(entry = it.nextValue());
ReadSequencesTest.java,entry = it.nextValue();,if (it != null ) entry = it.nextValue();
ReadSequencesTest.java,entry = it.nextValue();,if (it != null ) entry = it.nextValue();
ReadSequencesTest.java,entry = it.nextValue();,if (it != null ) entry = it.nextValue();
ReadSequencesTest.java,entry = it.nextValue();,if (it != null ) entry = it.nextValue();
ReadSequencesTest.java,entry = it.nextValue();,if (it != null ) entry = it.nextValue();
CommentsTest.java,row = it.nextValue();,if (it != null ) row = it.nextValue();
CommentsTest.java,row = it.nextValue();,if (it != null ) row = it.nextValue();
CommentsTest.java,row = it.nextValue();,if (it != null ) row = it.nextValue();
CommentsTest.java,row = it.nextValue();,if (it != null ) row = it.nextValue();
NumberInput.java,int cmpLen = cmpStr.length();,if (cmpStr != null ) int cmpLen = cmpStr.length();
NumberInput.java,int actualLen = numberStr.length();,if (numberStr != null ) int actualLen = numberStr.length();
NumberInput.java,input = input.trim();,if (input != null ) input = input.trim();
NumberInput.java,int len = input.length();,if (input != null ) int len = input.length();
NumberInput.java,len = input.length();,if (input != null ) len = input.length();
NumberInput.java,input = input.trim();,if (input != null ) input = input.trim();
NumberInput.java,int len = input.length();,if (input != null ) int len = input.length();
NumberInput.java,len = input.length();,if (input != null ) len = input.length();
NumberInput.java,input = input.trim();,if (input != null ) input = input.trim();
NumberInput.java,int len = input.length();,if (input != null ) int len = input.length();
TestWriter.java,final CsvSchema schema = csvSchemaBuilder.build();,if (csvSchemaBuilder != null ) final CsvSchema schema = csvSchemaBuilder.build();
TestWriter.java,final CsvSchema schema = csvSchemaBuilder.build();,if (csvSchemaBuilder != null ) final CsvSchema schema = csvSchemaBuilder.build();
TestWriter.java,final CsvSchema schema = csvSchemaBuilder.build();,if (csvSchemaBuilder != null ) final CsvSchema schema = csvSchemaBuilder.build();
TestWriter.java,final CsvSchema schema = csvSchemaBuilder.build();,if (csvSchemaBuilder != null ) final CsvSchema schema = csvSchemaBuilder.build();
CsvMapper.java,CsvSchema result = builder.build();,if (builder != null ) CsvSchema result = builder.build();
TestVersions.java,final Version v = vers.version();,if (vers != null ) final Version v = vers.version();
TestParserWithHeader.java,CsvSchema schema = (CsvSchema) parser.getSchema();,if (parser != null ) CsvSchema schema = (CsvSchema) parser.getSchema();
ManualPerfComparison.java,size = bogus.length();,if (bogus != null ) size = bogus.length();
ManualPerfComparison.java,size = bogus.length();,if (bogus != null ) size = bogus.length();
CsvMapper.java,CsvSchema.Builder builder = CsvSchema.builder();,if (CsvSchema != null ) CsvSchema.Builder builder = CsvSchema.builder();
CsvMapper.java,CsvSchema result = builder.build();,if (builder != null ) CsvSchema result = builder.build();
CsvGenerator.java,int len = text.length();,if (text != null ) int len = text.length();
