Filename,Buggy/Deleted,Fixed/Added
Solve.java,int to = options.getTimeOut();,if (options != null ) int to = options.getTimeOut();
Solve.java,result = rs.labeling();,if (rs != null ) result = rs.labeling();
Solve.java,int to = options.getTimeOut();,if (options != null ) int to = options.getTimeOut();
Solve.java,result = rs.labeling();,if (rs != null ) result = rs.labeling();
Solve.java,int to = options.getTimeOut();,if (options != null ) int to = options.getTimeOut();
Solve.java,result = rs.labeling();,if (rs != null ) result = rs.labeling();
Solve.java,int ns = options.getNumberSolutions();,if (options != null ) int ns = options.getNumberSolutions();
Solve.java,int ns = options.getNumberSolutions();,if (options != null ) int ns = options.getNumberSolutions();
Solve.java,result = rs.labeling();,if (rs != null ) result = rs.labeling();
Solve.java,result = rs.labeling();,if (rs != null ) result = rs.labeling();
Solve.java,result = rs.labeling();,if (rs != null ) result = rs.labeling();
SearchItem.java,int count = body.jjtGetNumChildren();,if (body != null ) int count = body.jjtGetNumChildren();
ActivityMax.java,float right = var.activity();,if (var != null ) float right = var.activity();
ActivityMax.java,float left = leftVar.activity();,if (leftVar != null ) float left = leftVar.activity();
ActivityMax.java,float right = rightVar.activity();,if (rightVar != null ) float right = rightVar.activity();
ActivityMin.java,float right = var.activity();,if (var != null ) float right = var.activity();
ActivityMin.java,float left = leftVar.activity();,if (leftVar != null ) float left = leftVar.activity();
ActivityMin.java,float right = rightVar.activity();,if (rightVar != null ) float right = rightVar.activity();
TaskReversedView.java,int max = -lct - dur.max();,if (dur != null ) int max = -lct - dur.max();
TaskReversedView.java,int max = -lct - dur.max();,if (dur != null ) int max = -lct - dur.max();
Count.java,int start = position.value();,if (position != null ) int start = position.value();
Count.java,int start = position.value();,if (position != null ) int start = position.value();
ValuePrecede.java,int a = alpha.value();,if (alpha != null ) int a = alpha.value();
ValuePrecede.java,int b = beta.value();,if (beta != null ) int b = beta.value();
ValuePrecede.java,int a = alpha.value();,if (alpha != null ) int a = alpha.value();
ValuePrecede.java,int b = beta.value();,if (beta != null ) int b = beta.value();
ValuePrecede.java,int a = alpha.value();,if (alpha != null ) int a = alpha.value();
ValuePrecede.java,int g = gamma.value();,if (gamma != null ) int g = gamma.value();
ValuePrecede.java,int a = alpha.value();,if (alpha != null ) int a = alpha.value();
Regular.java,ValueEnumeration enumer = vars[level].domain.valueEnumeration();,if (vars[level] != null ) ValueEnumeration enumer = vars[level].domain.valueEnumeration();
