Filename,Buggy/Deleted,Fixed/Added
FFmpegFrameRecorder.java,audioChannels = inpAudioStream.codec().channels();,if (inpAudioStream != null ) audioChannels = inpAudioStream.codec().channels();
JavaFxPlayVideoAndAudio.java,ExecutorService executor = Executors.newSingleThreadExecutor();,if (Executors != null ) ExecutorService executor = Executors.newSingleThreadExecutor();
JavaFxPlayVideoAndAudio.java,Frame frame = grabber.grab();,if (grabber != null ) Frame frame = grabber.grab();
FFmpegFrameGrabber.java,PointerScope s = PointerScope.getInnerScope();,if (PointerScope != null ) PointerScope s = PointerScope.getInnerScope();
FFmpegFrameRecorder.java,PointerScope s = PointerScope.getInnerScope();,if (PointerScope != null ) PointerScope s = PointerScope.getInnerScope();
FFmpegLockCallback.java,PointerScope s = PointerScope.getInnerScope();,if (PointerScope != null ) PointerScope s = PointerScope.getInnerScope();
FFmpegLogCallback.java,PointerScope s = PointerScope.getInnerScope();,if (PointerScope != null ) PointerScope s = PointerScope.getInnerScope();
DeinterlacedVideoPlayer.java,CvMemStorage storage = CvMemStorage.create();,if (CvMemStorage != null ) CvMemStorage storage = CvMemStorage.create();
FFmpegStreamingTimeout.java,avformat.AVFormatContext oc = grabber.getFormatContext();,if (grabber != null ) avformat.AVFormatContext oc = grabber.getFormatContext();
FFmpegStreamingTimeout.java,avformat.AVIOInterruptCB cb = new avformat.AVIOInterruptCB();,if (avformat != null ) avformat.AVIOInterruptCB cb = new avformat.AVIOInterruptCB();
WebcamAndMicrophoneCapture.java,int sampleRate = (int) audioFormat.getSampleRate();,if (audioFormat != null ) int sampleRate = (int) audioFormat.getSampleRate();
WebcamAndMicrophoneCapture.java,int numChannels = audioFormat.getChannels();,if (audioFormat != null ) int numChannels = audioFormat.getChannels();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,int in = srcBuf.get();,if (srcBuf != null ) int in = srcBuf.get();
Java2DFrameConverter.java,float in = srcBuf.get();,if (srcBuf != null ) float in = srcBuf.get();
Java2DFrameConverter.java,float in = srcBuf.get();,if (srcBuf != null ) float in = srcBuf.get();
Java2DFrameConverter.java,double in = srcBuf.get();,if (srcBuf != null ) double in = srcBuf.get();
Java2DFrameConverter.java,double in = srcBuf.get();,if (srcBuf != null ) double in = srcBuf.get();
FrameGrabberTest.java,UByteIndexer frameIdx = frame.createIndexer();,if (frame != null ) UByteIndexer frameIdx = frame.createIndexer();
LeptonicaFrameConverter.java,frame.opaque = pix.clone();,if (pix != null ) frame.opaque = pix.clone();
AndroidFrameConverter.java,frame.imageStride = bitmap.getRowBytes();,if (bitmap != null ) frame.imageStride = bitmap.getRowBytes();
FacePreview.java,storage = CvMemStorage.create();,if (CvMemStorage != null ) storage = CvMemStorage.create();
FacePreview.java,int imageWidth  = grayImage.width();,if (grayImage != null ) int imageWidth  = grayImage.width();
FacePreview.java,int imageHeight = grayImage.height();,if (grayImage != null ) int imageHeight = grayImage.height();
FacePreview.java,int imageStride = grayImage.widthStep();,if (grayImage != null ) int imageStride = grayImage.widthStep();
FacePreview.java,ByteBuffer imageBuffer = grayImage.getByteBuffer();,if (grayImage != null ) ByteBuffer imageBuffer = grayImage.getByteBuffer();
FacePreview.java,float scaleX = (float)getWidth()/grayImage.width();,if ((float)getWidth()/grayImage != null ) float scaleX = (float)getWidth()/grayImage.width();
FacePreview.java,float scaleY = (float)getHeight()/grayImage.height();,if ((float)getHeight()/grayImage != null ) float scaleY = (float)getHeight()/grayImage.height();
FacePreview.java,int total = faces.total();,if (faces != null ) int total = faces.total();
BioInspiredRetina.java,Retina retina = createRetina(gammaTransformedImage.size());,if (createRetina(gammaTransformedImage != null ) Retina retina = createRetina(gammaTransformedImage.size());
CameraDevice.java,FileNode n = seq.access();,if (seq != null ) FileNode n = seq.access();
ProjectorDevice.java,FileNode n = seq.access();,if (seq != null ) FileNode n = seq.access();
CameraDevice.java,int count = seq.total();,if (seq != null ) int count = seq.total();
ProjectorDevice.java,int count = seq.total();,if (seq != null ) int count = seq.total();
FrameGrabberTest.java,UByteIndexer frameIdx = frame.createIndexer();,if (frame != null ) UByteIndexer frameIdx = frame.createIndexer();
FrameGrabberTest.java,Frame frame = grabber.grab();,if (grabber != null ) Frame frame = grabber.grab();
JavaFxPlayVideoAndAudio.java,OpenCVFrameConverter converter = new OpenCVFrameConverter.ToIplImage();,if (OpenCVFrameConverter != null ) OpenCVFrameConverter converter = new OpenCVFrameConverter.ToIplImage();
Java2DFrameConverter.java,int type = bi.getType();,if (bi != null ) int type = bi.getType();
RealSenseFrameGrabber.java,ByteBuffer bb = rawDepthImage.getByteBuffer();,if (rawDepthImage != null ) ByteBuffer bb = rawDepthImage.getByteBuffer();
PS3EyeFrameGrabber.java,camera = CLCamera.class.newInstance();,if (CLCamera != null ) camera = CLCamera.class.newInstance();
FrameGrabberTest.java,UByteIndexer frameIdx = frame.createIndexer();,if (frame != null ) UByteIndexer frameIdx = frame.createIndexer();
ImageSegmentation.java,UByteBufferIndexer srcIndexer = src.createIndexer();,if (src != null ) UByteBufferIndexer srcIndexer = src.createIndexer();
ImageSegmentation.java,FloatBufferIndexer kernelIndexer = kernel.createIndexer();,if (kernel != null ) FloatBufferIndexer kernelIndexer = kernel.createIndexer();
ImageSegmentation.java,IntBufferIndexer markersIndexer = markers.createIndexer();,if (markers != null ) IntBufferIndexer markersIndexer = markers.createIndexer();
ImageSegmentation.java,UByteBufferIndexer dstIndexer = dst.createIndexer();,if (dst != null ) UByteBufferIndexer dstIndexer = dst.createIndexer();
FlyCapture2FrameGrabber.java,Error error = camera.StartCapture();,if (camera != null ) Error error = camera.StartCapture();
FFmpegFrameGrabber.java,AVCodecContext c = st.codec();,if (st != null ) AVCodecContext c = st.codec();
RealSenseFrameGrabber.java,ByteBuffer bb = rawVideoImage.getByteBuffer();,if (rawVideoImage != null ) ByteBuffer bb = rawVideoImage.getByteBuffer();
RealSenseFrameGrabber.java,ByteBuffer bb = rawIRImage.getByteBuffer();,if (rawIRImage != null ) ByteBuffer bb = rawIRImage.getByteBuffer();
OpenCVFrameGrabber.java,private OpenCVFrameConverter converter = new OpenCVFrameConverter.ToMat();,if (OpenCVFrameConverter != null ) private OpenCVFrameConverter converter = new OpenCVFrameConverter.ToMat();
OpenCVFaceRecognizer.java,IntBuffer labelsBuf = labels.getIntBuffer();,if (labels != null ) IntBuffer labelsBuf = labels.getIntBuffer();
ProCamTransformer.java,int fullCapacity = kernelData.capacity();,if (kernelData != null ) int fullCapacity = kernelData.capacity();
ProjectiveColorTransformer.java,int fullCapacity = kernelData.capacity();,if (kernelData != null ) int fullCapacity = kernelData.capacity();
ProjectiveTransformer.java,int fullCapacity = kernelData.capacity();,if (kernelData != null ) int fullCapacity = kernelData.capacity();
cvkernels.java,final int size = data.capacity();,if (data != null ) final int size = data.capacity();
OpenCVFrameGrabber.java,private FrameConverter converter = new OpenCVFrameConverter.ToIplImage();,if (OpenCVFrameConverter != null ) private FrameConverter converter = new OpenCVFrameConverter.ToIplImage();
IPCameraFrameGrabber.java,final String subheader = sb.toString();,if (sb != null ) final String subheader = sb.toString();
IPCameraFrameGrabber.java,private FrameConverter converter = new OpenCVFrameConverter.ToIplImage();,if (OpenCVFrameConverter != null ) private FrameConverter converter = new OpenCVFrameConverter.ToIplImage();
IPCameraFrameGrabber.java,connection = url.openConnection();,if (url != null ) connection = url.openConnection();
IPCameraFrameGrabber.java,headerfields = connection.getHeaderFields();,if (connection != null ) headerfields = connection.getHeaderFields();
IPCameraFrameGrabber.java,input = connection.getInputStream();,if (connection != null ) input = connection.getInputStream();
IPCameraFrameGrabber.java,String subheader = sb.toString();,if (sb != null ) String subheader = sb.toString();
OpticalFlowDense.java,width = pGray.cols();,if (pGray != null ) width = pGray.cols();
OpticalFlowDense.java,final float xVelocity = in.get();,if (in != null ) final float xVelocity = in.get();
OpticalFlowDense.java,final float yVelocity = in.get();,if (in != null ) final float yVelocity = in.get();
OpticalFlowDense.java,FloatBuffer out = OF.getFloatBuffer();,if (OF != null ) FloatBuffer out = OF.getFloatBuffer();
OpticalFlowDense.java,int height = pGray.rows();,if (pGray != null ) int height = pGray.rows();
OpticalFlowDense.java,int width = pGray.cols();,if (pGray != null ) int width = pGray.cols();
OpticalFlowDense.java,float xVelocity = in.get();,if (in != null ) float xVelocity = in.get();
OpticalFlowDense.java,float yVelocity = in.get();,if (in != null ) float yVelocity = in.get();
JavaCVCL.java,GLDrawableFactory factory = GLDrawableFactory.getFactory(caps.getGLProfile());,if (GLDrawableFactory != null ) GLDrawableFactory factory = GLDrawableFactory.getFactory(caps.getGLProfile());
FaceRecognition.java,confidence = pConfidence.get();,if (pConfidence != null ) confidence = pConfidence.get();
FaceRecognition.java,final String line = imgListFile.readLine();,if (imgListFile != null ) final String line = imgListFile.readLine();
FaceRecognition.java,final String line = imgListFile.readLine();,if (imgListFile != null ) final String line = imgListFile.readLine();
FaceRecognition.java,final int type = cvMat.type();,if (cvMat != null ) final int type = cvMat.type();
ObjectFinder.java,int total = objectKeypoints.limit();,if (objectKeypoints != null ) int total = objectKeypoints.limit();
ObjectFinder.java,int total = imageKeypoints.limit();,if (imageKeypoints != null ) int total = imageKeypoints.limit();
ObjectFinder.java,int total = descriptors.total();,if (descriptors != null ) int total = descriptors.total();
ObjectFinder.java,private CvMemStorage tempStorage = CvMemStorage.create();,if (CvMemStorage != null ) private CvMemStorage tempStorage = CvMemStorage.create();
ObjectFinder.java,int total = descriptors.total();,if (descriptors != null ) int total = descriptors.total();
ObjectFinder.java,int imageRows = imageMat.rows();,if (imageMat != null ) int imageRows = imageMat.rows();
ObjectFinder.java,FloatBuffer objectBuf = objectMat.getFloatBuffer();,if (objectMat != null ) FloatBuffer objectBuf = objectMat.getFloatBuffer();
ObjectFinder.java,FloatBuffer imageBuf = imageMat.getFloatBuffer();,if (imageMat != null ) FloatBuffer imageBuf = imageMat.getFloatBuffer();
ObjectFinder.java,IntBuffer indicesBuf = indicesMat.getIntBuffer();,if (indicesMat != null ) IntBuffer indicesBuf = indicesMat.getIntBuffer();
ObjectFinder.java,FloatBuffer distsBuf = distsMat.getFloatBuffer();,if (distsMat != null ) FloatBuffer distsBuf = distsMat.getFloatBuffer();
WebcamAndMicrophoneCapture.java,int sampleRate = (int) audioFormat.getSampleRate();,if (audioFormat != null ) int sampleRate = (int) audioFormat.getSampleRate();
WebcamAndMicrophoneCapture.java,int numChannels = audioFormat.getChannels();,if (audioFormat != null ) int numChannels = audioFormat.getChannels();
WebcamAndMicrophoneCapture.java,startTime = System.currentTimeMillis();,if (System != null ) startTime = System.currentTimeMillis();
WebcamAndMicrophoneCapture.java,OpenCVFrameConverter.ToIplImage converter = new OpenCVFrameConverter.ToIplImage();,if (OpenCVFrameConverter != null ) OpenCVFrameConverter.ToIplImage converter = new OpenCVFrameConverter.ToIplImage();
WebcamAndMicrophoneCapture.java,IplImage grabbedImage = converter.convert(grabber.grab());,if (converter != null ) IplImage grabbedImage = converter.convert(grabber.grab());
WebcamAndMicrophoneCapture.java,startTime = System.currentTimeMillis();,if (System != null ) startTime = System.currentTimeMillis();
ColoredObjectTrack.java,img = grabber.grab();,if (grabber != null ) img = grabber.grab();
FaceApplet.java,grabbedImage = grabber.grab();,if (grabber != null ) grabbedImage = grabber.grab();
FaceApplet.java,grabbedImage = grabber.grab();,if (grabber != null ) grabbedImage = grabber.grab();
MotionDetector.java,IplImage frame = grabber.grab();,if (grabber != null ) IplImage frame = grabber.grab();
FFmpegFrameRecorder.java,int width = image.width();,if (image != null ) int width = image.width();
FFmpegFrameRecorder.java,int height = image.height();,if (image != null ) int height = image.height();
FFmpegFrameRecorder.java,int step = image.widthStep();,if (image != null ) int step = image.widthStep();
FFmpegFrameRecorder.java,BytePointer data = image.imageData();,if (image != null ) BytePointer data = image.imageData();
FFmpegFrameRecorder.java,int depth = image.depth();,if (image != null ) int depth = image.depth();
FFmpegFrameRecorder.java,int channels = image.nChannels();,if (image != null ) int channels = image.nChannels();
FrameGrabber.java,grabbedImages[i] = frameGrabbers[i].grab();,if (frameGrabbers[i] != null ) grabbedImages[i] = frameGrabbers[i].grab();
FrameGrabber.java,grabbedImages[i] = frameGrabbers[i].grab();,if (frameGrabbers[i] != null ) grabbedImages[i] = frameGrabbers[i].grab();
GLCanvasFrame.java,this.width  = image.arrayWidth();,if (image != null ) this.width  = image.arrayWidth();
GLCanvasFrame.java,this.height = image.arrayHeight();,if (image != null ) this.height = image.arrayHeight();
GLCanvasFrame.java,this.buffer = image.getByteBuffer();,if (image != null ) this.buffer = image.getByteBuffer();
