Filename,Buggy/Deleted,Fixed/Added
EntityStringer.java,final var fqType =GeciReflectionTools.getGenericTypeName(field.getType());,if (=GeciReflectionTools != null ) final var fqType =GeciReflectionTools.getGenericTypeName(field.getType());
Selector.java,final var superClass = toClass(m).getSuperclass();,if (toClass(m) != null ) final var superClass = toClass(m).getSuperclass();
Selector.java,final var interfaces = collectInterfaces(m.getDeclaringClass());,if (collectInterfaces(m != null ) final var interfaces = collectInterfaces(m.getDeclaringClass());
Selector.java,Class[] interfaces = klass.getInterfaces();,if (klass != null ) Class[] interfaces = klass.getInterfaces();
Selector.java,Class[] interfaces = klass.getInterfaces();,if (klass != null ) Class[] interfaces = klass.getInterfaces();
Selector.java,final var elements = exception.getStackTrace();,if (exception != null ) final var elements = exception.getStackTrace();
SelectorCompiler.java,final var topNode = it.expression();,if (it != null ) final var topNode = it.expression();
SelectorCompiler.java,var rest = lexer.rest();,if (lexer != null ) var rest = lexer.rest();
SelectorCompiler.java,final var orNode = new SelectorNode.Or();,if (SelectorNode != null ) final var orNode = new SelectorNode.Or();
SelectorCompiler.java,final var andNode = new SelectorNode.And();,if (SelectorNode != null ) final var andNode = new SelectorNode.And();
SelectorCompiler.java,final var regex = lexer.get();,if (lexer != null ) final var regex = lexer.get();
GeciReflectionTools.java,final var klass = (Class) t.getRawType();,if (t != null ) final var klass = (Class) t.getRawType();
TestSelector.java,final var f = this.getClass();,if (this != null ) final var f = this.getClass();
TestSelector.java,final var f = this.getClass();,if (this != null ) final var f = this.getClass();
TestSelector.java,final var f = this.getClass();,if (this != null ) final var f = this.getClass();
Source.java,Path parent = path.getParent();,if (path != null ) Path parent = path.getParent();
LoggerJDK9.java,this.LOGGER = System.getLogger(forClass.getName());,if (System != null ) this.LOGGER = System.getLogger(forClass.getName());
LoggerJVM8.java,this.LOGGER = Logger.getLogger(forClass.getName());,if (Logger != null ) this.LOGGER = Logger.getLogger(forClass.getName());
Untabber.java,final var stripped = stripLeading(line).length();,if (stripLeading(line) != null ) final var stripped = stripLeading(line).length();
EntityStringer.java,final var className = field.getDeclaringClass().getCanonicalName();,if (field != null ) final var className = field.getDeclaringClass().getCanonicalName();
EntityStringer.java,final var type = GeciReflectionTools.getGenericTypeName(field.getType());,if (GeciReflectionTools != null ) final var type = GeciReflectionTools.getGenericTypeName(field.getType());
EntityStringer.java,final var className = method.getDeclaringClass().getCanonicalName();,if (method != null ) final var className = method.getDeclaringClass().getCanonicalName();
EntityStringer.java,final var type = GeciReflectionTools.getGenericTypeName(method.getReturnType());,if (GeciReflectionTools != null ) final var type = GeciReflectionTools.getGenericTypeName(method.getReturnType());
TestDocumentation.java,final var rootDir = ConsistencyTestUtils.getDirectory();,if (ConsistencyTestUtils != null ) final var rootDir = ConsistencyTestUtils.getDirectory();
Engine.java,maven = maven.module(moduleOpt.get());,if (maven != null ) maven = maven.module(moduleOpt.get());
Engine.java,mavenSourceSet = maven.testSource();,if (maven != null ) mavenSourceSet = maven.testSource();
Engine.java,mavenSourceSet = maven.mainResources();,if (maven != null ) mavenSourceSet = maven.mainResources();
Engine.java,mavenSourceSet = maven.testResources();,if (maven != null ) mavenSourceSet = maven.testResources();
Engine.java,mavenSourceSet = maven.mainSource();,if (maven != null ) mavenSourceSet = maven.mainSource();
Engine.java,mavenSourceSet = maven.mainSource();,if (maven != null ) mavenSourceSet = maven.mainSource();
ClassMacro.java,final var className = in.toString().trim();,if (in != null ) final var className = in.toString().trim();
TestGenerateArticle.java,rootDirFile = new File(rootDir.toString());,if (File(rootDir != null ) rootDirFile = new File(rootDir.toString());
TestGenerateArticle.java,final var parent = rootDirFile.getParentFile();,if (rootDirFile != null ) final var parent = rootDirFile.getParentFile();
TestGenerateArticle.java,"return parent == null ? ""."" : parent.getCanonicalPath();","if (parent != null ) return parent == null ? ""."" : parent.getCanonicalPath();"
AbstractSnippeter.java,final var sourceParams = segment.sourceParams();,if (segment != null ) final var sourceParams = segment.sourceParams();
AbstractSnippeter.java,fileNamePattern = Pattern.compile(config.files.toString());,if (Pattern != null ) fileNamePattern = Pattern.compile(config.files.toString());
FragmentCollector.java,final var absFileName = source.getAbsoluteFile();,if (source != null ) final var absFileName = source.getAbsoluteFile();
FragmentCollector.java,snippetToResolv = builder.build();,if (builder != null ) snippetToResolv = builder.build();
MarkdownCodeInserter.java,final var originalLines = segment.originalLines();,if (segment != null ) final var originalLines = segment.originalLines();
SnippetAppender.java,final var segmentName = segment.sourceParams().id();,if (segment != null ) final var segmentName = segment.sourceParams().id();
SnippetBuilder.java,params = new CompoundParamsBuilder(s).build();,if (CompoundParamsBuilder(s) != null ) params = new CompoundParamsBuilder(s).build();
SnippetTrim.java,final var stripped = stripLeading(line).length();,if (stripLeading(line) != null ) final var stripped = stripLeading(line).length();
TestRegister.java,final var generator = generatorBuilder.build();,if (generatorBuilder != null ) final var generator = generatorBuilder.build();
TestRegister.java,final var generator = generatorBuilder.build();,if (generatorBuilder != null ) final var generator = generatorBuilder.build();
TestRegister.java,final var generator = generatorBuilder.build();,if (generatorBuilder != null ) final var generator = generatorBuilder.build();
TestRegister.java,final var generator = generatorBuilder.build();,if (generatorBuilder != null ) final var generator = generatorBuilder.build();
TestSnippetBuilder.java,final var snippet = sut.build();,if (sut != null ) final var snippet = sut.build();
ConsistencyTestUtils.java,readmeFile = new File(readme.toString());,if (File(readme != null ) readmeFile = new File(readme.toString());
ConsistencyTestUtils.java,final var parent =  readmeFile.getParentFile();,if (readmeFile != null ) final var parent =  readmeFile.getParentFile();
Modifiers.java,final var fingerPrint = in.toString().trim();,if (in != null ) final var fingerPrint = in.toString().trim();
Modifiers.java,modifiers = field.getModifiers();,if (field != null ) modifiers = field.getModifiers();
Modifiers.java,modifiers = method.getModifiers();,if (method != null ) modifiers = method.getModifiers();
Name.java,final var fingerPrint = in.toString().trim();,if (in != null ) final var fingerPrint = in.toString().trim();
Type.java,final var fingerPrint = in.toString().trim();,if (in != null ) final var fingerPrint = in.toString().trim();
Type.java,type = field.getType();,if (field != null ) type = field.getType();
Type.java,type = method.getReturnType();,if (method != null ) type = method.getReturnType();
FileCollector.java,final var locator = entry.getValue();,if (entry != null ) final var locator = entry.getValue();
Jdocify.java,state.file = source.getAbsoluteFile();,if (source != null ) state.file = source.getAbsoluteFile();
JavaLexed.java,var lexeme = lex.getFullLexeme();,if (lex != null ) var lexeme = lex.getFullLexeme();
Jdocify.java,final String file = source.getAbsoluteFile();,if (source != null ) final String file = source.getAbsoluteFile();
Jdocify.java,state.lenCODEStart = config.commentCODEStart.length();,if (config != null ) state.lenCODEStart = config.commentCODEStart.length();
