Filename,Buggy/Deleted,Fixed/Added
SignatureAttribute.java,newgenericParam = genericParamBufCurrent.toString(); //empty string,if (string != null ) newgenericParam = genericParamBufCurrent.toString(); //empty string
SignatureAttribute.java,newGenericParam = genericParamBufCurrent.toString(); //empty string,if (string != null ) newGenericParam = genericParamBufCurrent.toString(); //empty string
SignatureAttribute.java,newgenericParam = genericParamBufCurrent.toString(); //empty string,if (string != null ) newgenericParam = genericParamBufCurrent.toString(); //empty string
CtClass.java,StringBuffer buf = new StringBuffer(getClass().getName());,if (StringBuffer(getClass() != null ) StringBuffer buf = new StringBuffer(getClass().getName());
CtMember.java,StringBuffer buffer = new StringBuffer(getClass().getName());,if (StringBuffer(getClass() != null ) StringBuffer buffer = new StringBuffer(getClass().getName());
SignatureAttribute.java,StringBuffer sbuf = new StringBuffer(componentType.toString());,if (StringBuffer(componentType != null ) StringBuffer sbuf = new StringBuffer(componentType.toString());
Type.java,interfaces = intf.getInterfaces();,if (intf != null ) interfaces = intf.getInterfaces();
SignatureAttribute.java,String name = nameBuf.toString();,if (nameBuf != null ) String name = nameBuf.toString();
MemberCodeGen.java,int s = init.length();,if (init != null ) int s = init.length();
MemberCodeGen.java,int s = init.length();,if (init != null ) int s = init.length();
SignatureAttribute.java,String name = nameBuf.toString();,if (nameBuf != null ) String name = nameBuf.toString();
CtBehavior.java,handlerPos = iterator.append(b.get());,if (iterator != null ) handlerPos = iterator.append(b.get());
ConstPool.java,bootstrap = in.readUnsignedShort();,if (in != null ) bootstrap = in.readUnsignedShort();
ConstPool.java,nameAndType = in.readUnsignedShort();,if (in != null ) nameAndType = in.readUnsignedShort();
MemberCodeGen.java,CtClass[] nestedClasses = declClass.getNestedClasses();,if (declClass != null ) CtClass[] nestedClasses = declClass.getNestedClasses();
JvstTest2.java,Class c = cc.toClass();,if (cc != null ) Class c = cc.toClass();
JvstTest3.java,Class clazz = cc.toClass();,if (cc != null ) Class clazz = cc.toClass();
JvstTest5.java,Class clazzz = badClass.toClass();,if (badClass != null ) Class clazzz = badClass.toClass();
SetterTest.java,pool = ClassPool.getDefault();,if (ClassPool != null ) pool = ClassPool.getDefault();
InsertGap0.java,Class c = cc.toClass();,if (cc != null ) Class c = cc.toClass();
InsertGap0.java,Class c = cc.toClass();,if (cc != null ) Class c = cc.toClass();
TestSecuredPrivileged.java,public ExpectedException thrown = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException thrown = ExpectedException.none();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,DefineClassHelper inst = con.newInstance();,if (con != null ) DefineClassHelper inst = con.newInstance();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,DefineClassHelper inst = con.newInstance();,if (con != null ) DefineClassHelper inst = con.newInstance();
TestSecuredPrivileged.java,ClassPool cp = ClassPool.getDefault();,if (ClassPool != null ) ClassPool cp = ClassPool.getDefault();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,DefineClassHelper inst = con.newInstance();,if (con != null ) DefineClassHelper inst = con.newInstance();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,DefineClassHelper inst = con.newInstance();,if (con != null ) DefineClassHelper inst = con.newInstance();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,DefineClassHelper inst = con.newInstance();,if (con != null ) DefineClassHelper inst = con.newInstance();
TestSecuredPrivileged.java,ClassPool cp = ClassPool.getDefault();,if (ClassPool != null ) ClassPool cp = ClassPool.getDefault();
TestSecuredPrivileged.java,Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();,if (DefineClassHelper != null ) Constructor<DefineClassHelper> con = DefineClassHelper.class.getDeclaredConstructor();
TestSecuredPrivileged.java,DefineClassHelper inst = con.newInstance();,if (con != null ) DefineClassHelper inst = con.newInstance();
TestSecuredPrivileged.java,ClassPool cp = ClassPool.getDefault();,if (ClassPool != null ) ClassPool cp = ClassPool.getDefault();
TestSecuredPrivileged.java,ClassPool cp = ClassPool.getDefault();,if (ClassPool != null ) ClassPool cp = ClassPool.getDefault();
DefineClassHelper.java,SecurityActions.TheUnsafe usf = SecurityActions.getSunMiscUnsafeAnonymously();,if (SecurityActions != null ) SecurityActions.TheUnsafe usf = SecurityActions.getSunMiscUnsafeAnonymously();
ScopedClassPool.java,Map registeredCLs = repository.getRegisteredCLs();,if (repository != null ) Map registeredCLs = repository.getRegisteredCLs();
ScopedClassPool.java,Iterator it = registeredCLs.values().iterator();,if (registeredCLs != null ) Iterator it = registeredCLs.values().iterator();
ScopedClassPool.java,ScopedClassPool pool = (ScopedClassPool)it.next();,if ((ScopedClassPool)it != null ) ScopedClassPool pool = (ScopedClassPool)it.next();
ScopedClassPoolRepositoryImpl.java,Iterator it = registeredCLs.values().iterator();,if (registeredCLs != null ) Iterator it = registeredCLs.values().iterator();
ScopedClassPoolRepositoryImpl.java,ScopedClassPool pool = (ScopedClassPool)it.next();,if ((ScopedClassPool)it != null ) ScopedClassPool pool = (ScopedClassPool)it.next();
ScopedClassPoolRepositoryImpl.java,ClassLoader cl = pool.getClassLoader();,if (pool != null ) ClassLoader cl = pool.getClassLoader();
DefineClassHelper.java,Object usf = SecurityActions.getSunMiscUnsafeAnonymously();,if (SecurityActions != null ) Object usf = SecurityActions.getSunMiscUnsafeAnonymously();
ClassPoolTail.java,ClassLoader cl = Thread.currentThread().getContextClassLoader();,if (Thread != null ) ClassLoader cl = Thread.currentThread().getContextClassLoader();
CtArray.java,Class[] intfs = Object[].class.getInterfaces();,if (Object[] != null ) Class[] intfs = Object[].class.getInterfaces();
CtClassType.java,CtClass enc = classPool.get(ema.className());,if (classPool != null ) CtClass enc = classPool.get(ema.className());
CtClassType.java,String name = ema.methodName();,if (ema != null ) String name = ema.methodName();
CtClassType.java,int n = list.size();,if (list != null ) int n = list.size();
CtClassType.java,int n = list.size();,if (list != null ) int n = list.size();
CtClassType.java,List list = cf.getMethods();,if (cf != null ) List list = cf.getMethods();
CtClassType.java,int n = list.size();,if (list != null ) int n = list.size();
CtClassType.java,List list = cf.getMethods();,if (cf != null ) List list = cf.getMethods();
CtClassType.java,int n = list.size();,if (list != null ) int n = list.size();
CtClassType.java,List list = cf.getMethods();,if (cf != null ) List list = cf.getMethods();
CtClassType.java,int n = list.size();,if (list != null ) int n = list.size();
CtClassType.java,Set keys = table.keySet();,if (table != null ) Set keys = table.keySet();
CtClassType.java,int n = list.size();,if (list != null ) int n = list.size();
CtClassType.java,n = list.size();,if (list != null ) n = list.size();
CtField.java,AttributeInfo ainfo = (AttributeInfo)iterator.next();,if ((AttributeInfo)iterator != null ) AttributeInfo ainfo = (AttributeInfo)iterator.next();
CtNewWrappedMethod.java,Hashtable bodies = clazz.getHiddenMethods();,if (clazz != null ) Hashtable bodies = clazz.getHiddenMethods();
Loader.java,int n = notDefinedPackages.size();,if (notDefinedPackages != null ) int n = notDefinedPackages.size();
LoaderClassPath.java,cl = clref.get();,if (clref != null ) cl = clref.get();
LoaderClassPath.java,ClassLoader cl = (ClassLoader)clref.get();,if ((ClassLoader)clref != null ) ClassLoader cl = (ClassLoader)clref.get();
LoaderClassPath.java,ClassLoader cl = (ClassLoader)clref.get();,if ((ClassLoader)clref != null ) ClassLoader cl = (ClassLoader)clref.get();
AttributeInfo.java,int n = list.size();,if (list != null ) int n = list.size();
AttributeInfo.java,ListIterator iterator = list.listIterator();,if (list != null ) ListIterator iterator = list.listIterator();
AttributeInfo.java,AttributeInfo ai = (AttributeInfo)iterator.next();,if ((AttributeInfo)iterator != null ) AttributeInfo ai = (AttributeInfo)iterator.next();
AttributeInfo.java,ListIterator iterator = list.listIterator();,if (list != null ) ListIterator iterator = list.listIterator();
AttributeInfo.java,AttributeInfo ai = (AttributeInfo)iterator.next();,if ((AttributeInfo)iterator != null ) AttributeInfo ai = (AttributeInfo)iterator.next();
AttributeInfo.java,int n = list.size();,if (list != null ) int n = list.size();
AttributeInfo.java,int n = list.size();,if (list != null ) int n = list.size();
AttributeInfo.java,Iterator iterator = attributes.iterator();,if (attributes != null ) Iterator iterator = attributes.iterator();
AttributeInfo.java,AttributeInfo ai = (AttributeInfo)iterator.next();,if ((AttributeInfo)iterator != null ) AttributeInfo ai = (AttributeInfo)iterator.next();
AttributeInfo.java,Iterator iterator = attributes.iterator();,if (attributes != null ) Iterator iterator = attributes.iterator();
AttributeInfo.java,AttributeInfo ai = (AttributeInfo)iterator.next();,if ((AttributeInfo)iterator != null ) AttributeInfo ai = (AttributeInfo)iterator.next();
AttributeInfo.java,Iterator iterator = attributes.iterator();,if (attributes != null ) Iterator iterator = attributes.iterator();
AttributeInfo.java,AttributeInfo ai = (AttributeInfo)iterator.next();,if ((AttributeInfo)iterator != null ) AttributeInfo ai = (AttributeInfo)iterator.next();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,FieldInfo minfo = (FieldInfo)it.next();,if ((FieldInfo)it != null ) FieldInfo minfo = (FieldInfo)it.next();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,int n = list.size();,if (list != null ) int n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFile.java,n = list.size();,if (list != null ) n = list.size();
ClassFilePrinter.java,list = cf.getFields();,if (cf != null ) list = cf.getFields();
ClassFilePrinter.java,n = list.size();,if (list != null ) n = list.size();
ClassFilePrinter.java,list = cf.getMethods();,if (cf != null ) list = cf.getMethods();
ClassFilePrinter.java,n = list.size();,if (list != null ) n = list.size();
ClassFilePrinter.java,int n = list.size();,if (list != null ) int n = list.size();
CodeIterator.java,int n = jumps.size();,if (jumps != null ) int n = jumps.size();
Descriptor.java,int len = desc.length();,if (desc != null ) int len = desc.length();
Descriptor.java,int len = desc.length();,if (desc != null ) int len = desc.length();
Descriptor.java,name = type.getName();,if (type != null ) name = type.getName();
SignatureAttribute.java,Map map = new java.util.HashMap();,if (java != null ) Map map = new java.util.HashMap();
SignatureAttribute.java,int len = desc.length();,if (desc != null ) int len = desc.length();
