Filename,Buggy/Deleted,Fixed/Added
SourceElement.java,String descriptionKey = typeElement.getDescriptionKey();,if (typeElement != null ) String descriptionKey = typeElement.getDescriptionKey();
SourceElement.java,boolean skipGeneratingParseOrExitMethod = typeElement.isSkipGeneratingParseOrExitMethod();,if (typeElement != null ) boolean skipGeneratingParseOrExitMethod = typeElement.isSkipGeneratingParseOrExitMethod();
SourceElement.java,List<String> description = List.of(typeElement.getDescription());,if (List != null ) List<String> description = List.of(typeElement.getDescription());
SourceElement.java,boolean superCommand = typeElement.isSuperCommand();,if (typeElement != null ) boolean superCommand = typeElement.isSuperCommand();
ConverterStore.java,StringConverter<T> newInstance = converterSupplier.get();,if (converterSupplier != null ) StringConverter<T> newInstance = converterSupplier.get();
ImplClass.java,this.sourceElement = commandRepresentation.sourceElement();,if (commandRepresentation != null ) this.sourceElement = commandRepresentation.sourceElement();
ImplClass.java,this.allMappings = commandRepresentation.allMappings();,if (commandRepresentation != null ) this.allMappings = commandRepresentation.allMappings();
ExtractMethod.java,ParameterSpec parser = parserTypeFactory.get().asParam();,if (parserTypeFactory != null ) ParameterSpec parser = parserTypeFactory.get().asParam();
ExtractMethod.java,ParameterSpec parser = parserTypeFactory.get().asParam();,if (parserTypeFactory != null ) ParameterSpec parser = parserTypeFactory.get().asParam();
ExtractMethod.java,ParameterSpec parser = parserTypeFactory.get().asParam();,if (parserTypeFactory != null ) ParameterSpec parser = parserTypeFactory.get().asParam();
ParseMethod.java,ParameterSpec parser = parserType.asParam();,if (parserType != null ) ParameterSpec parser = parserType.asParam();
ExtractMethod.java,String name = mapping.sourceMethod().methodName();,if (mapping != null ) String name = mapping.sourceMethod().methodName();
ImplClass.java,MethodSpec.Builder spec = MethodSpec.constructorBuilder();,if (MethodSpec != null ) MethodSpec.Builder spec = MethodSpec.constructorBuilder();
ImplClass.java,String fieldName = mapping.sourceMethod().methodName();,if (mapping != null ) String fieldName = mapping.sourceMethod().methodName();
FileConverter.java,File file = Paths.get(token).toFile();,if (Paths != null ) File file = Paths.get(token).toFile();
StandardConverters.java,String canonicalName = clazz.getCanonicalName();,if (clazz != null ) String canonicalName = clazz.getCanonicalName();
StandardConverters.java,StringConverter<T> newInstance = converterSupplier.get();,if (converterSupplier != null ) StringConverter<T> newInstance = converterSupplier.get();
StandardConverters.java,String canonicalName = clazz.getCanonicalName();,if (clazz != null ) String canonicalName = clazz.getCanonicalName();
StandardConverters.java,StringConverter<T> newInstance = converterSupplier.get();,if (converterSupplier != null ) StringConverter<T> newInstance = converterSupplier.get();
StandardConverters.java,StringConverter<T> result = (StringConverter<T>) stringConverter.get();,if (stringConverter != null ) StringConverter<T> result = (StringConverter<T>) stringConverter.get();
ConverterType.java,TypeMirror type = converter.asType();,if (converter != null ) TypeMirror type = converter.asType();
Util.java,Element enclosingElement = result.getLast().getEnclosingElement();,if (result != null ) Element enclosingElement = result.getLast().getEnclosingElement();
AnnotatedMethodsFactory.java,Set<String> enumNames = new HashSet<>(methods.size());,if (HashSet<>(methods != null ) Set<String> enumNames = new HashSet<>(methods.size());
AnnotatedMethodsFactory.java,String enumName = enumNames.enumNameFor(sourceMethod.simpleName());,if (enumNames != null ) String enumName = enumNames.enumNameFor(sourceMethod.simpleName());
AnnotatedMethodsFactory.java,ExecutableElement method = sourceMethod.method();,if (sourceMethod != null ) ExecutableElement method = sourceMethod.method();
ParameterValidator.java,int index = sourceParameter.index();,if (sourceParameter != null ) int index = sourceParameter.index();
Executable.java,String canonicalName = annotation.annotationType().getCanonicalName();,if (annotation != null ) String canonicalName = annotation.annotationType().getCanonicalName();
Suppliers.java,value = delegate.get();,if (delegate != null ) value = delegate.get();
Suppliers.java,value = delegate.getAsInt();,if (delegate != null ) value = delegate.getAsInt();
