Filename,Buggy/Deleted,Fixed/Added
GraphAPITest.java,Record r = resultSet.iterator().next();,if (resultSet != null ) Record r = resultSet.iterator().next();
GraphAPITest.java,Record rRo = resultSetRo.iterator().next();,if (resultSetRo != null ) Record rRo = resultSetRo.iterator().next();
ResultSetBuilder.java,List<Object> parsedRow = new ArrayList<>(row.size());,if (ArrayList<>(row != null ) List<Object> parsedRow = new ArrayList<>(row.size());
JedisSentinelPoolTest.java,HostAndPort oldMaster = pool.getCurrentHostMaster();,if (pool != null ) HostAndPort oldMaster = pool.getCurrentHostMaster();
JedisSentinelPoolTest.java,Jedis beforeFailoverJedis = pool.getResource();,if (pool != null ) Jedis beforeFailoverJedis = pool.getResource();
JedisSentinelPoolTest.java,Jedis afterFailoverJedis = pool.getResource();,if (pool != null ) Jedis afterFailoverJedis = pool.getResource();
JedisSentinelPoolTest.java,HostAndPort currentHostMaster = pool.getCurrentHostMaster();,if (pool != null ) HostAndPort currentHostMaster = pool.getCurrentHostMaster();
TimeSeriesTest.java,List<TSElement> rangeValues = range.getElements();,if (range != null ) List<TSElement> rangeValues = range.getElements();
JedisClusterInfoCache.java,j = jp.getResource();,if (jp != null ) j = jp.getResource();
TransactionBase.java,List<Object> unformatted = connection.getObjectMultiBulkReply();,if (connection != null ) List<Object> unformatted = connection.getObjectMultiBulkReply();
TransactionBase.java,List<Object> formatted = new ArrayList<>(unformatted.size());,if (ArrayList<>(unformatted != null ) List<Object> formatted = new ArrayList<>(unformatted.size());
TransactionBase.java,String status = connection.getStatusCodeReply(); // OK,if (OK != null ) String status = connection.getStatusCodeReply(); // OK
ClusterPipelineTest.java,byte[] firstMapKey = iterMap.next();,if (iterMap != null ) byte[] firstMapKey = iterMap.next();
ClusterPipelineTest.java,byte[] secondMapKey = iterMap.next();,if (iterMap != null ) byte[] secondMapKey = iterMap.next();
ClusterPipelineTest.java,byte[] firstKey = iter.next();,if (iter != null ) byte[] firstKey = iter.next();
ClusterPipelineTest.java,byte[] secondKey = iter.next();,if (iter != null ) byte[] secondKey = iter.next();
ClusterAllKindOfValuesCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterBinaryValuesCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterBitCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterGeoCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterHashesCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterHyperLogLogCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterListCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterSetCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterSortedSetCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
ClusterStringValuesCommandsTest.java,jedis = ClusterCommandsTestHelper.initAndGetCluster();,if (ClusterCommandsTestHelper != null ) jedis = ClusterCommandsTestHelper.initAndGetCluster();
PooledHashesCommandsTest.java,jedis = PooledCommandsTestHelper.getPooled();,if (PooledCommandsTestHelper != null ) jedis = PooledCommandsTestHelper.getPooled();
ModuleTest.java,Long out = jedis.getClient().getIntegerReply();,if (jedis != null ) Long out = jedis.getClient().getIntegerReply();
JedisClusterTest.java,protected Logger log = LoggerFactory.getLogger(getClass().getName());,if (LoggerFactory != null ) protected Logger log = LoggerFactory.getLogger(getClass().getName());
StreamCommands.java,XReadGroupParams params = XReadGroupParams.xReadGroupParams();,if (XReadGroupParams != null ) XReadGroupParams params = XReadGroupParams.xReadGroupParams();
StreamPipelineCommands.java,XReadGroupParams params = XReadGroupParams.xReadGroupParams();,if (XReadGroupParams != null ) XReadGroupParams params = XReadGroupParams.xReadGroupParams();
JedisClusterPipelineTest.java,byte[] firstMapKey = iterMap.next();,if (iterMap != null ) byte[] firstMapKey = iterMap.next();
JedisClusterPipelineTest.java,byte[] secondMapKey = iterMap.next();,if (iterMap != null ) byte[] secondMapKey = iterMap.next();
JedisClusterPipelineTest.java,byte[] firstKey = iter.next();,if (iter != null ) byte[] firstKey = iter.next();
JedisClusterPipelineTest.java,byte[] secondKey = iter.next();,if (iter != null ) byte[] secondKey = iter.next();
BinaryClient.java,GeoCoordinate coordinate = entry.getValue();,if (entry != null ) GeoCoordinate coordinate = entry.getValue();
BinaryClient.java,int idsIndex = streamsIndex + streams.size();,if (streams != null ) int idsIndex = streamsIndex + streams.size();
BinaryClient.java,args[paramLength] = Keyword.STREAMS.getRaw();,if (Keyword != null ) args[paramLength] = Keyword.STREAMS.getRaw();
BinaryClient.java,int idsIndex = streamsIndex + streams.size();,if (streams != null ) int idsIndex = streamsIndex + streams.size();
BinaryJedis.java,String password = config.getPassword();,if (config != null ) String password = config.getPassword();
BinaryJedis.java,String user = config.getUser();,if (config != null ) String user = config.getUser();
BinaryJedis.java,int dbIndex = config.getDatabase();,if (config != null ) int dbIndex = config.getDatabase();
BinaryJedis.java,String clientName = config.getClientName();,if (config != null ) String clientName = config.getClientName();
BinaryJedis.java,String quitReturn = client.getStatusCodeReply();,if (client != null ) String quitReturn = client.getStatusCodeReply();
BinaryJedis.java,String statusCodeReply = client.getStatusCodeReply();,if (client != null ) String statusCodeReply = client.getStatusCodeReply();
BinaryJedis.java,status = client.getStatusCodeReply();,if (client != null ) status = client.getStatusCodeReply();
BinaryJedis.java,final int keyCount = keys.size();,if (keys != null ) final int keyCount = keys.size();
BinaryJedis.java,final int argCount = args.size();,if (args != null ) final int argCount = args.size();
BinaryJedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
BinaryJedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
BinaryJedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
BinaryJedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
BinaryJedisCluster.java,keys[i] = entries[i].getKey();,if (entries[i] != null ) keys[i] = entries[i].getKey();
Client.java,args[paramLength] = Protocol.Keyword.STREAMS.getRaw();,if (Protocol != null ) args[paramLength] = Protocol.Keyword.STREAMS.getRaw();
Client.java,int idsIndex = keyIndex + streams.size();,if (streams != null ) int idsIndex = keyIndex + streams.size();
Client.java,int idsIndex = keyIndex + streams.size();,if (streams != null ) int idsIndex = keyIndex + streams.size();
Connection.java,this.soTimeout = jedisSocketFactory.getSoTimeout();,if (jedisSocketFactory != null ) this.soTimeout = jedisSocketFactory.getSoTimeout();
DefaultJedisSocketFactory.java,sslSocketFactory = (SSLSocketFactory) SSLSocketFactory.getDefault();,if (SSLSocketFactory != null ) sslSocketFactory = (SSLSocketFactory) SSLSocketFactory.getDefault();
HostAndPort.java,localAddress = InetAddress.getLocalHost().getHostAddress();,if (InetAddress != null ) localAddress = InetAddress.getLocalHost().getHostAddress();
Jedis.java,int keyCount = keys.size();,if (keys != null ) int keyCount = keys.size();
Jedis.java,int argCount = args.size();,if (args != null ) int argCount = args.size();
Jedis.java,List<Long> result = client.getIntegerMultiBulkReply();,if (client != null ) List<Long> result = client.getIntegerMultiBulkReply();
Jedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
Jedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
Jedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
Jedis.java,List<Object> result = client.getObjectMultiBulkReply();,if (client != null ) List<Object> result = client.getObjectMultiBulkReply();
Jedis.java,String result = client.getBulkReply();,if (client != null ) String result = client.getBulkReply();
Jedis.java,List<Object> streamsEntries = client.getObjectMultiBulkReply();,if (client != null ) List<Object> streamsEntries = client.getObjectMultiBulkReply();
JedisCluster.java,keys[i] = streams[i].getKey();,if (streams[i] != null ) keys[i] = streams[i].getKey();
JedisCluster.java,keys[i] = streams[i].getKey();,if (streams[i] != null ) keys[i] = streams[i].getKey();
JedisClusterCommand.java,connection = connectionHandler.getConnection();,if (connectionHandler != null ) connection = connectionHandler.getConnection();
JedisClusterCommand.java,connection = connectionHandler.getConnectionFromNode(redirect.getTargetNode());,if (connectionHandler != null ) connection = connectionHandler.getConnectionFromNode(redirect.getTargetNode());
JedisClusterInfoCache.java,List<Object> slots = jedis.clusterSlots();,if (jedis != null ) List<Object> slots = jedis.clusterSlots();
