Filename,Buggy/Deleted,Fixed/Added
SystemHighlighter.java,List<String> words = parsedLine.words();,if (parsedLine != null ) List<String> words = parsedLine.words();
SystemHighlighter.java,List<String> words = parsedLine.words();,if (parsedLine != null ) List<String> words = parsedLine.words();
SyntaxHighlighter.java,line = line.trim();,if (line != null ) line = line.trim();
Commands.java,Path currentTheme = sh.getCurrentTheme();,if (sh != null ) Path currentTheme = sh.getCurrentTheme();
Commands.java,themeFile = currentTheme.toFile();,if (currentTheme != null ) themeFile = currentTheme.toFile();
Commands.java,line = line.trim();,if (line != null ) line = line.trim();
Commands.java,Path ct = sh.getCurrentTheme();,if (sh != null ) Path ct = sh.getCurrentTheme();
Nano.java,line = line.trim();,if (line != null ) line = line.trim();
Nano.java,line = line.trim();,if (line != null ) line = line.trim();
Nano.java,line = line.trim();,if (line != null ) line = line.trim();
Nano.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Nano.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
Nano.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Nano.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
SystemRegistryImpl.java,"Options opt = parseOptions(usage, input.args());","if (input != null ) Options opt = parseOptions(usage, input.args());"
Less.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Less.java,line = line.trim();,if (line != null ) line = line.trim();
Less.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
Nano.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Nano.java,line = line.trim();,if (line != null ) line = line.trim();
Nano.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
Nano.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Nano.java,line = line.trim();,if (line != null ) line = line.trim();
Nano.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
CompletionWithCustomMatcherTest.java,Candidate c = new Candidate(line.word());,if (Candidate(line != null ) Candidate c = new Candidate(line.word());
JrtJavaBasePackages.java,out = fv.getClasses();,if (fv != null ) out = fv.getClasses();
PackageHelper.java,connection = url.openConnection();,if (url != null ) connection = url.openConnection();
GroovyEngine.java,Object involvedObject = inspector.getInvolvedObject();,if (inspector != null ) Object involvedObject = inspector.getInvolvedObject();
GroovyEngine.java,out = involvedObject.getClass();,if (involvedObject != null ) out = involvedObject.getClass();
GroovyEngine.java,clazz = clazz.getSuperclass();,if (clazz != null ) clazz = clazz.getSuperclass();
PackageHelper.java,final JarFile jarFile = connection.getJarFile();,if (connection != null ) final JarFile jarFile = connection.getJarFile();
PackageHelper.java,final ClassLoader cld = Thread.currentThread().getContextClassLoader();,if (Thread != null ) final ClassLoader cld = Thread.currentThread().getContextClassLoader();
GroovyEngine.java,out = shell.evaluate(e.toString());,if (shell != null ) out = shell.evaluate(e.toString());
GroovyEngine.java,out = shell.evaluate(e.toString());,if (shell != null ) out = shell.evaluate(e.toString());
SystemHighlighter.java,out = asb.toAttributedString();,if (asb != null ) out = asb.toAttributedString();
CompletionMatcherImpl.java,String wd = line.word();,if (line != null ) String wd = line.word();
CompletionMatcherImpl.java,String wd = line.word();,if (line != null ) String wd = line.word();
CompletionMatcherImpl.java,String ws = wdi.substring(line.wordCursor());,if (wdi != null ) String ws = wdi.substring(line.wordCursor());
CompletionMatcherImpl.java,String wd = line.word();,if (line != null ) String wd = line.word();
Commands.java,line = line.trim();,if (line != null ) line = line.trim();
Repl.java,"Options opt = parseOptions(usage, input.xargs());","if (input != null ) Options opt = parseOptions(usage, input.xargs());"
Repl.java,List<Object> xargs = opt.argObjects();,if (opt != null ) List<Object> xargs = opt.argObjects();
Repl.java,"Options opt = parseOptions(usage, input.args());","if (input != null ) Options opt = parseOptions(usage, input.args());"
Nano.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Nano.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
Nano.java,out = style.blink();,if (style != null ) out = style.blink();
Nano.java,out = style.bold();,if (style != null ) out = style.bold();
Nano.java,out = style.conceal();,if (style != null ) out = style.conceal();
Nano.java,out = style.faint();,if (style != null ) out = style.faint();
Nano.java,out = style.hidden();,if (style != null ) out = style.hidden();
Nano.java,out = style.inverse();,if (style != null ) out = style.inverse();
Nano.java,out = style.italic();,if (style != null ) out = style.italic();
Nano.java,out = style.underline();,if (style != null ) out = style.underline();
Commands.java,String line = reader.readLine();,if (reader != null ) String line = reader.readLine();
Commands.java,line = reader.readLine();,if (reader != null ) line = reader.readLine();
TerminalBuilder.java,consoleOutput = support.isConsoleOutput();,if (support != null ) consoleOutput = support.isConsoleOutput();
TerminalBuilder.java,consoleOutput = support.isConsoleOutput();,if (support != null ) consoleOutput = support.isConsoleOutput();
TerminalBuilder.java,Pty pty = ExecPty.current();,if (ExecPty != null ) Pty pty = ExecPty.current();
TerminalBuilder.java,Pty pty = support.current();,if (support != null ) Pty pty = support.current();
TerminalBuilder.java,Pty pty = support.current();,if (support != null ) Pty pty = support.current();
TerminalBuilder.java,Pty pty = ExecPty.current();,if (ExecPty != null ) Pty pty = ExecPty.current();
LineReaderImpl.java,String wd = line.word();,if (line != null ) String wd = line.word();
LineReaderImpl.java,String wd = line.word();,if (line != null ) String wd = line.word();
LineReaderImpl.java,String ws = wdi.substring(line.wordCursor());,if (wdi != null ) String ws = wdi.substring(line.wordCursor());
LineReaderImpl.java,String wd = line.word();,if (line != null ) String wd = line.word();
AttributedString.java,int[] newstyle = this.style.clone();,if (this != null ) int[] newstyle = this.style.clone();
Nano.java,style = style.blink();,if (style != null ) style = style.blink();
Nano.java,style = style.bold();,if (style != null ) style = style.bold();
Nano.java,style = style.conceal();,if (style != null ) style = style.conceal();
Nano.java,style = style.faint();,if (style != null ) style = style.faint();
Nano.java,style = style.hidden();,if (style != null ) style = style.hidden();
Nano.java,style = style.inverse();,if (style != null ) style = style.inverse();
Nano.java,style = style.italic();,if (style != null ) style = style.italic();
Nano.java,style = style.underline();,if (style != null ) style = style.underline();
