Filename,Buggy/Deleted,Fixed/Added
XmlHandler.java,clazz = clazz.getDeclaringClass();,if (clazz != null ) clazz = clazz.getDeclaringClass();
ResourceLoader.java,resource = resource.trim();,if (resource != null ) resource = resource.trim();
AGeneralOperation.java,MappedField field = nestedMappedField.getField();,if (nestedMappedField != null ) MappedField field = nestedMappedField.getField();
MapperConstructor.java,String Destination = destination.getName();,if (destination != null ) String Destination = destination.getName();
Attribute.java,xmlAttribute.value = value.toXStream();,if (value != null ) xmlAttribute.value = value.toXStream();
Global.java,global.value = value.toXStream();,if (value != null ) global.value = value.toXStream();
XmlGlobalValue.java,name = attribute.getName();,if (attribute != null ) name = attribute.getName();
XmlGlobalValue.java,get = attribute.getGet();,if (attribute != null ) get = attribute.getGet();
XmlGlobalValue.java,set = attribute.getSet();,if (attribute != null ) set = attribute.getSet();
ConversionAnalyzer.java,destinationName = destination.getName();,if (destination != null ) destinationName = destination.getName();
ConversionAnalyzer.java,sourceName = source.getName();,if (source != null ) sourceName = source.getName();
ConversionHandler.java,body += methodDefined.getContent();,if (methodDefined != null ) body += methodDefined.getContent();
ConversionHandler.java,String resource = xml.getXmlPath();,if (xml != null ) String resource = xml.getXmlPath();
ConversionHandler.java,this.methodDefined = analyzer.getMethod();,if (analyzer != null ) this.methodDefined = analyzer.getMethod();
ConversionHandler.java,this.membership = analyzer.getMembership();,if (analyzer != null ) this.membership = analyzer.getMembership();
ConversionHandler.java,this.configurationType = analyzer.getConfigurationType();,if (analyzer != null ) this.configurationType = analyzer.getConfigurationType();
ConversionHandler.java,this.sourceField = sourceMappedField.getValue();,if (sourceMappedField != null ) this.sourceField = sourceMappedField.getValue();
ConversionHandler.java,this.destinationField = destinationMappedField.getValue();,if (destinationMappedField != null ) this.destinationField = destinationMappedField.getValue();
OperationFactory.java,OperationType operationType = info.getOperationType();,if (info != null ) OperationType operationType = info.getOperationType();
OperationAnalyzer.java,OperationType operationType = info.getInstructionType();,if (info != null ) OperationType operationType = info.getInstructionType();
OperationFactory.java,OperationType operationType = info.getInstructionType();,if (info != null ) OperationType operationType = info.getInstructionType();
OperationHandler.java,boolean isConversion = info.getInstructionType().isAConversion();,if (info != null ) boolean isConversion = info.getInstructionType().isAConversion();
ClassesManager.java,superclass = superclass.getSuperclass();,if (superclass != null ) superclass = superclass.getSuperclass();
OperationAnalyzerTest.java,OperationType operationType = operationAnalyzer.getInfo().getInstructionType();,if (operationAnalyzer != null ) OperationType operationType = operationAnalyzer.getInfo().getInstructionType();
Annotation.java,"accessor = getFieldAccessors(configuredClass,mappedField.getValue());","if (getFieldAccessors(configuredClass,mappedField != null ) accessor = getFieldAccessors(configuredClass,mappedField.getValue());"
ConfigReader.java,String mappedClassName = configuredClass.getSimpleName();,if (configuredClass != null ) String mappedClassName = configuredClass.getSimpleName();
ConfigReader.java,String targetClassName = targetClass.getSimpleName();,if (targetClass != null ) String targetClassName = targetClass.getSimpleName();
ConfigReader.java,String value = global.getValue();,if (global != null ) String value = global.getValue();
ConfigReader.java,value = attribute.getValue().getName();,if (attribute != null ) value = attribute.getValue().getName();
ConfigReader.java,String value = jglobalMap.value();,if (jglobalMap != null ) String value = jglobalMap.value();
ConfigReader.java,List<String> attributes = toList(jmap.attributes());,if (toList(jmap != null ) List<String> attributes = toList(jmap.attributes());
ConfigReader.java,String value = jmap.value();,if (jmap != null ) String value = jmap.value();
Error.java,String originalName = method.getOriginalName();,if (method != null ) String originalName = method.getOriginalName();
Error.java,String completeName = clazz.getCanonicalName();,if (clazz != null ) String completeName = clazz.getCanonicalName();
Error.java,String packageName = clazz.getPackage().getName();,if (clazz != null ) String packageName = clazz.getPackage().getName();
Error.java,String completeName = clazz.getCanonicalName();,if (clazz != null ) String completeName = clazz.getCanonicalName();
Error.java,String packageName = clazz.getPackage().getName();,if (clazz != null ) String packageName = clazz.getPackage().getName();
ResourceLoader.java,resource = resource.trim();,if (resource != null ) resource = resource.trim();
ResourceLoader.java,ClassLoader classLoader = ResourceLoader.class.getClassLoader();,if (ResourceLoader != null ) ClassLoader classLoader = ResourceLoader.class.getClassLoader();
JavassistGenerator.java,ClassPool cp = ClassPool.getDefault();,if (ClassPool != null ) ClassPool cp = ClassPool.getDefault();
JavassistGenerator.java,ClassPool cp = ClassPool.getDefault();,if (ClassPool != null ) ClassPool cp = ClassPool.getDefault();
