Filename,Buggy/Deleted,Fixed/Added
Borders.java,char neighbour = neighbourCharacter.getCharacter();,if (neighbourCharacter != null ) char neighbour = neighbourCharacter.getCharacter();
Borders.java,char neighbour = neighbourCharacter.getCharacter();,if (neighbourCharacter != null ) char neighbour = neighbourCharacter.getCharacter();
Borders.java,char neighbour = neighbourCharacter.getCharacter();,if (neighbourCharacter != null ) char neighbour = neighbourCharacter.getCharacter();
Borders.java,char neighbour = neighbourCharacter.getCharacter();,if (neighbourCharacter != null ) char neighbour = neighbourCharacter.getCharacter();
WindowShadowRenderer.java,characterToDraw = tc.getCharacter();,if (tc != null ) characterToDraw = tc.getCharacter();
WindowShadowRenderer.java,characterToDraw = tc.getCharacter();,if (tc != null ) characterToDraw = tc.getCharacter();
WindowShadowRenderer.java,characterToDraw = tc.getCharacter();,if (tc != null ) characterToDraw = tc.getCharacter();
AWTTerminalFontConfiguration.java,Font normalFont = getFontForCharacter(character.getCharacter());,if (getFontForCharacter(character != null ) Font normalFont = getFontForCharacter(character.getCharacter());
DefaultVirtualTerminal.java,boolean doubleWidth = TerminalTextUtils.isCharDoubleWidth(terminalCharacter.getCharacter());,if (TerminalTextUtils != null ) boolean doubleWidth = TerminalTextUtils.isCharDoubleWidth(terminalCharacter.getCharacter());
MultiWindowTextGUI.java,TerminalPosition local = window.fromDecoratedGlobal(mouse.getPosition());,if (window != null ) TerminalPosition local = window.fromDecoratedGlobal(mouse.getPosition());
AbstractListBox.java,MouseActionType actionType = mouseAction.getActionType();,if (mouseAction != null ) MouseActionType actionType = mouseAction.getActionType();
Issue452Test.java,Terminal terminal = terminalFactory.createTerminal();,if (terminalFactory != null ) Terminal terminal = terminalFactory.createTerminal();
Issue452Test.java,Terminal terminal = terminalFactory.createTerminal();,if (terminalFactory != null ) Terminal terminal = terminalFactory.createTerminal();
TextBox.java,line = lines.get(caretPosition.getRow());,if (lines != null ) line = lines.get(caretPosition.getRow());
TextBox.java,caretPosition = caretPosition.withColumn(line.length());,if (caretPosition != null ) caretPosition = caretPosition.withColumn(line.length());
TextBox.java,line = lines.get(caretPosition.getRow());,if (lines != null ) line = lines.get(caretPosition.getRow());
TextBox.java,caretPosition = caretPosition.withColumn(line.length());,if (caretPosition != null ) caretPosition = caretPosition.withColumn(line.length());
TextBox.java,int maxPositionAttempt = newActiveLine.length();,if (newActiveLine != null ) int maxPositionAttempt = newActiveLine.length();
