Filename,Buggy/Deleted,Fixed/Added
XmlElementDeclSelector.java,String name = xmlElementDecl.name().get();,if (xmlElementDecl != null ) String name = xmlElementDecl.name().get();
XmlElementDeclSelector.java,TypeMirror scope = xmlElementDecl.scope().getValue();,if (xmlElementDecl != null ) TypeMirror scope = xmlElementDecl.scope().getValue();
MethodMatcher.java,typeArgs[i] = matchingType.getTypeMirror();,if (matchingType != null ) typeArgs[i] = matchingType.getTypeMirror();
MethodRetrievalProcessor.java,Element lElement = annotationMirror.getAnnotationType().asElement();,if (annotationMirror != null ) Element lElement = annotationMirror.getAnnotationType().asElement();
NestedPropertyMappingMethod.java,Accessor presenceChecker = entry.getPresenceChecker();,if (entry != null ) Accessor presenceChecker = entry.getPresenceChecker();
ValueProvider.java,String value = accessor.getSimpleName();,if (accessor != null ) String value = accessor.getSimpleName();
BeanMappingMethod.java,List<Type> typeParameters = sourceParameter.getType().getTypeParameters();,if (sourceParameter != null ) List<Type> typeParameters = sourceParameter.getType().getTypeParameters();
SourceReference.java,Type parameterType = parameter.getType();,if (parameter != null ) Type parameterType = parameter.getType();
SourceReference.java,TypeElement typeElement = parameterType.getTypeElement();,if (parameterType != null ) TypeElement typeElement = parameterType.getTypeElement();
SourceReference.java,TypeMirror typeMirror = valueType.getTypeMirror();,if (valueType != null ) TypeMirror typeMirror = valueType.getTypeMirror();
SourceReference.java,List<Type> typeParameters = type.getTypeParameters();,if (type != null ) List<Type> typeParameters = type.getTypeParameters();
GeneratedType.java,this.suppressGeneratorTimestamp = options.isSuppressGeneratorTimestamp();,if (options != null ) this.suppressGeneratorTimestamp = options.isSuppressGeneratorTimestamp();
DefaultCollectionImplementationTest.java,assertThat( target == result ).isTrue();,if () != null ) assertThat( target == result ).isTrue();
PropertyMapping.java,targetType = targetType.withoutBounds();,if (targetType != null ) targetType = targetType.withoutBounds();
PropertyMapping.java,BeanMappingMethod.Builder builder = new BeanMappingMethod.Builder();,if (BeanMappingMethod != null ) BeanMappingMethod.Builder builder = new BeanMappingMethod.Builder();
MapperCreationProcessor.java,this.messager = context.getMessager();,if (context != null ) this.messager = context.getMessager();
MethodRetrievalProcessor.java,Element lElement = annotationMirror.getAnnotationType().asElement();,if (annotationMirror != null ) Element lElement = annotationMirror.getAnnotationType().asElement();
ClassUtils.java,cl = Thread.currentThread().getContextClassLoader();,if (Thread != null ) cl = Thread.currentThread().getContextClassLoader();
ClassUtils.java,cl = ClassUtils.class.getClassLoader();,if (ClassUtils != null ) cl = ClassUtils.class.getClassLoader();
StringsTest.java,defaultLocale = Locale.getDefault();,if (Locale != null ) defaultLocale = Locale.getDefault();
BuiltInTest.java,originalTimeZone = TimeZone.getDefault();,if (TimeZone != null ) originalTimeZone = TimeZone.getDefault();
DatatypeFactoryTest.java,originalTimeZone = TimeZone.getDefault();,if (TimeZone != null ) originalTimeZone = TimeZone.getDefault();
DateConversionTest.java,originalLocale = Locale.getDefault();,if (Locale != null ) originalLocale = Locale.getDefault();
Java8TimeConversionTest.java,originalTimeZone = TimeZone.getDefault();,if (TimeZone != null ) originalTimeZone = TimeZone.getDefault();
JodaConversionTest.java,originalLocale = Locale.getDefault();,if (Locale != null ) originalLocale = Locale.getDefault();
NumberFormatConversionTest.java,originalLocale = Locale.getDefault();,if (Locale != null ) originalLocale = Locale.getDefault();
SpringCompileOptionConstructorMapperTest.java,originalTimeZone = TimeZone.getDefault();,if (TimeZone != null ) originalTimeZone = TimeZone.getDefault();
SpringConstructorMapperTest.java,originalTimeZone = TimeZone.getDefault();,if (TimeZone != null ) originalTimeZone = TimeZone.getDefault();
NestedMappingMethodInvocationTest.java,originalLocale = Locale.getDefault();,if (Locale != null ) originalLocale = Locale.getDefault();
SupportingMappingMethod.java,String name = ref.getVariableName();,if (ref != null ) String name = ref.getVariableName();
