Filename,Buggy/Deleted,Fixed/Added
BaseModel.java,Iterator<URL> availableIt = versionningScripts.iterator();,if (versionningScripts != null ) Iterator<URL> availableIt = versionningScripts.iterator();
Transaction.java,changed += statement.executeUpdate();,if (statement != null ) changed += statement.executeUpdate();
BaseModel.java,Object obj = clazz.newInstance();,if (clazz != null ) Object obj = clazz.newInstance();
ConfigHelper.java,ret = file.exists();,if (file != null ) ret = file.exists();
Transaction.java,int paramCount = statement.getParameterMetaData().getParameterCount();,if (statement != null ) int paramCount = statement.getParameterMetaData().getParameterCount();
Transaction.java,changed += statement.executeUpdate();,if (statement != null ) changed += statement.executeUpdate();
Transaction.java,savepoint = connection.setSavepoint();,if (connection != null ) savepoint = connection.setSavepoint();
Transaction.java,connection = getModel().getTransactionConnection();,if (getModel() != null ) connection = getModel().getTransactionConnection();
BasicModelToolTests.java,Calendar cal = GregorianCalendar.getInstance();,if (GregorianCalendar != null ) Calendar cal = GregorianCalendar.getInstance();
BasicModelToolTests.java,long books = countBooks.getLong();,if (countBooks != null ) long books = countBooks.getLong();
BasicModelToolTests.java,long count = authors.getCount();,if (authors != null ) long count = authors.getCount();
BasicModelToolTests.java,Calendar cal = GregorianCalendar.getInstance();,if (GregorianCalendar != null ) Calendar cal = GregorianCalendar.getInstance();
BasicModelToolTests.java,Calendar cal = GregorianCalendar.getInstance();,if (GregorianCalendar != null ) Calendar cal = GregorianCalendar.getInstance();
BasicModelToolTests.java,Instance oneAuthor = author.newInstance();,if (author != null ) Instance oneAuthor = author.newInstance();
BasicModelToolTests.java,Instance blob = blobEntity.newInstance();,if (blobEntity != null ) Instance blob = blobEntity.newInstance();
BasicModelToolTests.java,Instance book = related.next();,if (related != null ) Instance book = related.next();
BasicModelToolTests.java,book = related.next();,if (related != null ) book = related.next();
BasicModelToolTests.java,Instance similarBook = it.next();,if (it != null ) Instance similarBook = it.next();
ApiClient.java,String paramsUrl = url + paramsString.toString();,if (paramsString != null ) String paramsUrl = url + paramsString.toString();
ApiClient.java,StatusLine statusLine = resp.getStatusLine();,if (resp != null ) StatusLine statusLine = resp.getStatusLine();
ApiClient.java,int status = statusLine.getStatusCode();,if (statusLine != null ) int status = statusLine.getStatusCode();
ApiClient.java,HttpEntity entity = resp.getEntity();,if (resp != null ) HttpEntity entity = resp.getEntity();
ApiClient.java,HttpEntity entity = resp.getEntity();,if (resp != null ) HttpEntity entity = resp.getEntity();
Transaction.java,connection = getModel().getTransactionConnection();,if (getModel() != null ) connection = getModel().getTransactionConnection();
SqlUtils.java,String nextQuery = currentQuery.toString().trim();,if (currentQuery != null ) String nextQuery = currentQuery.toString().trim();
StatementPool.java,ConnectionWrapper connection = currentTransactionConnection.get();,if (currentTransactionConnection != null ) ConnectionWrapper connection = currentTransactionConnection.get();
ApiClientTests.java,String content = contents.get(key).toJson();,if (contents != null ) String content = contents.get(key).toJson();
BaseModel.java,List<String> sqlTables = reverseEngineer.getTables();,if (reverseEngineer != null ) List<String> sqlTables = reverseEngineer.getTables();
BaseModel.java,String fkTable = join.getLeft();,if (join != null ) String fkTable = join.getLeft();
BaseModel.java,List<String> fkColumns = join.getRight();,if (join != null ) List<String> fkColumns = join.getRight();
BaseModel.java,Entity fkEntity = entry.getKey();,if (entry != null ) Entity fkEntity = entry.getKey();
Instance.java,Filter<Serializable> filter = readFilters.getTypeEntry(value.getClass());,if (readFilters != null ) Filter<Serializable> filter = readFilters.getTypeEntry(value.getClass());
ColumnMapper.java,ret = entry.getLeaf();,if (entry != null ) ret = entry.getLeaf();
ColumnMapper.java,ret = entry.getLeaf();,if (entry != null ) ret = entry.getLeaf();
Mapper.java,Object obj = leafClass.newInstance();,if (leafClass != null ) Object obj = leafClass.newInstance();
Mapper.java,String key = (String)entry.getKey();,if ((String)entry != null ) String key = (String)entry.getKey();
Mapper.java,Filter<T> leaf = valueToLeaf(entry.getValue());,if (valueToLeaf(entry != null ) Filter<T> leaf = valueToLeaf(entry.getValue());
TableMapper.java,ret = mappingEntry.getLeaf();,if (mappingEntry != null ) ret = mappingEntry.getLeaf();
TypeMapper.java,clazz = clazz.getSuperclass();,if (clazz != null ) clazz = clazz.getSuperclass();
ReverseEngineer.java,Identifiers identifiers = entity.getModel().getIdentifiers();,if (entity != null ) Identifiers identifiers = entity.getModel().getIdentifiers();
Mapper.java,T leaf = valueToLeaf(entry.getValue());,if (valueToLeaf(entry != null ) T leaf = valueToLeaf(entry.getValue());
StatementPool.java,for(Iterator it = available.iterator(); it.hasNext(); ),if () != null ) for(Iterator it = available.iterator(); it.hasNext(); )
StatementPool.java,statement = (PooledStatement)it.next();,if ((PooledStatement)it != null ) statement = (PooledStatement)it.next();
StatementPool.java,connection = connectionPool.getConnection();,if (connectionPool != null ) connection = connectionPool.getConnection();
DriverInfos.java,ResultSet rs = statement.getGeneratedKeys();,if (statement != null ) ResultSet rs = statement.getGeneratedKeys();
DriverInfos.java,ResultSetMetaData rsmd = rs.getMetaData();,if (rs != null ) ResultSetMetaData rsmd = rs.getMetaData();
DriverInfos.java,int numberOfColumns = rsmd.getColumnCount();,if (rsmd != null ) int numberOfColumns = rsmd.getColumnCount();
WebappModelProvider.java,modelId = model.getModelId();,if (model != null ) modelId = model.getModelId();
