Filename,Buggy/Deleted,Fixed/Added
CollectionFirstElementTest.java,dItem.value = context.getSource().value.toUpperCase();,if (context != null ) dItem.value = context.getSource().value.toUpperCase();
EnumSetMappingTest.java,Object source = context.getSource();,if (context != null ) Object source = context.getSource();
MappingEngineImpl.java,sourceType = source.getClass();,if (source != null ) sourceType = source.getClass();
IterableConverter.java,S source = context.getSource();,if (context != null ) S source = context.getSource();
IterableConverter.java,Object sourceElement = iterator.next();,if (iterator != null ) Object sourceElement = iterator.next();
ArrayNodeToCollectionConverter.java,int sourceLength = source.size();,if (source != null ) int sourceLength = source.size();
MappingEngineImpl.java,converter = typeMap.getPreConverter();,if (typeMap != null ) converter = typeMap.getPreConverter();
MappingEngineImpl.java,Object destination = context.getDestination();,if (context != null ) Object destination = context.getDestination();
MappingEngineImpl.java,List<Mutator> mutatorChain = (List<Mutator>) mapping.getDestinationProperties();,if (mapping != null ) List<Mutator> mutatorChain = (List<Mutator>) mapping.getDestinationProperties();
MappingEngineImpl.java,String destPath = destPathBuilder.toString();,if (destPathBuilder != null ) String destPath = destPathBuilder.toString();
MappingEngineImpl.java,provider = context.getTypeMap().getProvider();,if (context != null ) provider = context.getTypeMap().getProvider();
MappingEngineImpl.java,provider = (Provider<D>) configuration.getProvider();,if (configuration != null ) provider = (Provider<D>) configuration.getProvider();
PropertyInfoSetResolver.java,NameTransformer nameTransformer = configuration.getSourceNameTransformer();,if (configuration != null ) NameTransformer nameTransformer = configuration.getSourceNameTransformer();
PropertyInfoSetResolver.java,resolveRequest.namingConvention = configuration.getSourceNamingConvention();,if (configuration != null ) resolveRequest.namingConvention = configuration.getSourceNamingConvention();
PropertyInfoSetResolver.java,resolveRequest.nameTransformer = configuration.getSourceNameTransformer();,if (configuration != null ) resolveRequest.nameTransformer = configuration.getSourceNameTransformer();
PropertyInfoSetResolver.java,resolveRequest.namingConvention = configuration.getDestinationNamingConvention();,if (configuration != null ) resolveRequest.namingConvention = configuration.getDestinationNamingConvention();
PropertyInfoSetResolver.java,resolveRequest.nameTransformer = configuration.getDestinationNameTransformer();,if (configuration != null ) resolveRequest.nameTransformer = configuration.getDestinationNameTransformer();
