Filename,Buggy/Deleted,Fixed/Added
JavassistCompilerStrategy.java,compiledClass = byteCodeClass.toClass(sourceCode.getPackageNeighbour());,if (byteCodeClass != null ) compiledClass = byteCodeClass.toClass(sourceCode.getPackageNeighbour());
CloneableConverterNoSetAccessibleTestCase.java,final SecurityManager initialSm = System.getSecurityManager();,if (System != null ) final SecurityManager initialSm = System.getSecurityManager();
CloneableConverterNoSetAccessibleTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
CloneableConverterNoSetAccessibleTestCase.java,clone = (SampleCloneable) super.clone();,if (super != null ) clone = (SampleCloneable) super.clone();
CloneableConverterTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
CloneableConverterTestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
CloneableConverterTestCase.java,MapperFacade facade = factory.getMapperFacade();,if (factory != null ) MapperFacade facade = factory.getMapperFacade();
CloneableConverterTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
CloneableConverterTestCase.java,clone = (SampleCloneable) super.clone();,if (super != null ) clone = (SampleCloneable) super.clone();
ClassMap.java,Package typePackage = type.getRawType().getPackage();,if (type != null ) Package typePackage = type.getRawType().getPackage();
ClassMap.java,"return type == null ? """" : typePackage.getName();","if (typePackage != null ) return type == null ? """" : typePackage.getName();"
TypeUtil.java,currentReference = currentReference.getSuperType();,if (currentReference != null ) currentReference = currentReference.getSuperType();
TypeUtil.java,final ClassLoader cl = Thread.currentThread().getContextClassLoader();,if (Thread != null ) final ClassLoader cl = Thread.currentThread().getContextClassLoader();
TypeUtil.java,String[] subDescriptors = splitTypeArguments(descriptor.toString());,if (splitTypeArguments(descriptor != null ) String[] subDescriptors = splitTypeArguments(descriptor.toString());
InterfaceDefaultMethodTest.java,DefaultMapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) DefaultMapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
JavaDateApiTest.java,DefaultMapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) DefaultMapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
JavaDateApiTest.java,DefaultMapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) DefaultMapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
DefaultPackageTestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
DefaultPackageTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
Example1TestCase.java,MapperFacade mapper = mapperFactory.getMapperFacade();,if (mapperFactory != null ) MapperFacade mapper = mapperFactory.getMapperFacade();
Example1TestCase.java,this.birthDate = (Date) birthDate.clone();,if (birthDate != null ) this.birthDate = (Date) birthDate.clone();
Example2TestCase.java,MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory mapperFactory = new DefaultMapperFactory.Builder().build();
Example2TestCase.java,MapperFacade mapper = mapperFactory.getMapperFacade();,if (mapperFactory != null ) MapperFacade mapper = mapperFactory.getMapperFacade();
BrokenTest.java,MapperFacade mapperFacade = mapperFactory.getMapperFacade();,if (mapperFactory != null ) MapperFacade mapperFacade = mapperFactory.getMapperFacade();
DynamicSuite.java,ClassLoader loader = theClass.getClassLoader();,if (theClass != null ) ClassLoader loader = theClass.getClassLoader();
DynamicSuite.java,ClassLoader tccl = Thread.currentThread().getContextClassLoader();,if (Thread != null ) ClassLoader tccl = Thread.currentThread().getContextClassLoader();
DynamicSuite.java,int classFolderPathLength = classFolder.getAbsolutePath().length();,if (classFolder != null ) int classFolderPathLength = classFolder.getAbsolutePath().length();
DynamicSuite.java,File file = stack.removeFirst();,if (stack != null ) File file = stack.removeFirst();
DynamicSuite.java,currentDirectory = file.getParentFile();,if (file != null ) currentDirectory = file.getParentFile();
DynamicSuite.java,pattern = annotation.value();,if (annotation != null ) pattern = annotation.value();
DynamicSuite.java,this.name = klass.getName();,if (klass != null ) this.name = klass.getName();
DynamicSuite.java,this.fRunners = new ArrayList<>(runners.size());,if (ArrayList<>(runners != null ) this.fRunners = new ArrayList<>(runners.size());
MavenProjectUtil.java,classFolder = classFolder.getParentFile();,if (classFolder != null ) classFolder = classFolder.getParentFile();
MavenProjectUtil.java,classFolder = classFolder.getParentFile();,if (classFolder != null ) classFolder = classFolder.getParentFile();
ArrayTestCase.java,ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();
ArrayTestCase.java,MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();,if (MappingUtil != null ) MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();
ArrayTestCase.java,ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();
ArrayTestCase.java,MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();,if (MappingUtil != null ) MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();
ArrayTestCase.java,MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();,if (MappingUtil != null ) MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();
ArrayTestCase.java,ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();
ArrayTestCase.java,MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();,if (MappingUtil != null ) MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();
ArrayTestCase.java,ArrayTestCaseClasses.C source =  new ArrayTestCaseClasses.C();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.C source =  new ArrayTestCaseClasses.C();
ArrayTestCase.java,MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();,if (MappingUtil != null ) MapperFacade mapperFacade = MappingUtil.getMapperFactory().getMapperFacade();
ArrayTestCase.java,ArrayTestCaseClasses.D source =  new ArrayTestCaseClasses.D();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.D source =  new ArrayTestCaseClasses.D();
ArrayTestCase.java,ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();
ArrayTestCase.java,ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();
ArrayTestCase.java,ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();,if (ArrayTestCaseClasses != null ) ArrayTestCaseClasses.A source =  new ArrayTestCaseClasses.A();
BidirectionalMappingTestCase.java,Assert.assertTrue(dto == dto.getAuthor().getBook());,if (dto != null ) Assert.assertTrue(dto == dto.getAuthor().getBook());
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,long diff = end.getTime() - start.getTime();,if (start != null ) long diff = end.getTime() - start.getTime();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,Calendar c = Calendar.getInstance();,if (Calendar != null ) Calendar c = Calendar.getInstance();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
ConstructorMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ConstructorMappingTestCase.java,List<Book> sortedBooks = library.getBooks();,if (library != null ) List<Book> sortedBooks = library.getBooks();
ConstructorMappingTestCase.java,List<BookDTO> sortedDTOs = dto.getBooks();,if (dto != null ) List<BookDTO> sortedDTOs = dto.getBooks();
ConstructorMappingTestCase.java,List<BookNested> sortedBooks = library.getBooks();,if (library != null ) List<BookNested> sortedBooks = library.getBooks();
ConstructorMappingTestCase.java,List<BookDTO> sortedDTOs = dto.getBooks();,if (dto != null ) List<BookDTO> sortedDTOs = dto.getBooks();
GenericCollectionsTestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
GenericCollectionsTestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
InverseMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
InverseMappingTestCase.java,Assert.assertTrue(person == person.getAddress().getPerson());,if (person != null ) Assert.assertTrue(person == person.getAddress().getPerson());
InverseMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
InverseMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
InverseMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
MapGenerationTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
NestedInheritanceTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ObjectCollectionTestCase.java,DefaultMapperFactory.Builder builder = new DefaultMapperFactory.Builder();,if (DefaultMapperFactory != null ) DefaultMapperFactory.Builder builder = new DefaultMapperFactory.Builder();
ObjectCollectionTestCase.java,MapperFactory factory = builder.build();,if (builder != null ) MapperFactory factory = builder.build();
PolicyElementsTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
ReuseMappersTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
SortedMapSetTestCase.java,bSetIterator = integerSortedSetResult.iterator();,if (integerSortedSetResult != null ) bSetIterator = integerSortedSetResult.iterator();
SortedMapSetTestCase.java,Integer aInteger = aSetIterator.next();,if (aSetIterator != null ) Integer aInteger = aSetIterator.next();
SortedMapSetTestCase.java,Integer bInteger = bSetIterator.next();,if (bSetIterator != null ) Integer bInteger = bSetIterator.next();
SortedMapSetTestCase.java,bMapIterator = stringStringSortedMapResult.keySet().iterator();,if (stringStringSortedMapResult != null ) bMapIterator = stringStringSortedMapResult.keySet().iterator();
SortedMapSetTestCase.java,String aString = aMapIterator.next();,if (aMapIterator != null ) String aString = aMapIterator.next();
SortedMapSetTestCase.java,String bString = bMapIterator.next();,if (bMapIterator != null ) String bString = bMapIterator.next();
SuperTypeForGeneratedTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
SuperTypeMappingTestCase.java,Author author = type.newInstance();,if (type != null ) Author author = type.newInstance();
SuperTypeMappingTestCase.java,Book book = type.newInstance();,if (type != null ) Book book = type.newInstance();
SuperTypeMappingTestCase.java,Library lib = type.newInstance();,if (type != null ) Library lib = type.newInstance();
SuperTypeMappingTestCase.java,MapperFacade mapper = MappingUtil.getMapperFactory().getMapperFacade();,if (MappingUtil != null ) MapperFacade mapper = MappingUtil.getMapperFactory().getMapperFacade();
SuperTypeMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
SuperTypeMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
SuperTypeMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
SuperTypeMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
SuperTypeMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
SuperTypeMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
SuperTypeMappingTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
SuperTypeMappingTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
UsedMappersTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
UsedMappersTestCase.java,MapperFactory factory = MappingUtil.getMapperFactory();,if (MappingUtil != null ) MapperFactory factory = MappingUtil.getMapperFactory();
UserProvidedInheritanceTestCase.java,MapperFactory factory = new DefaultMapperFactory.Builder().build();,if (DefaultMapperFactory != null ) MapperFactory factory = new DefaultMapperFactory.Builder().build();
FieldContextWithFiltersTestCase.java,MapperFacade mapper = factory.getMapperFacade();,if (factory != null ) MapperFacade mapper = factory.getMapperFacade();
