Filename,Buggy/Deleted,Fixed/Added
Issue268.java,String name = cfg.firstName();,if (cfg != null ) String name = cfg.firstName();
Issue268.java,String lastName = cfg.lastName();,if (cfg != null ) String lastName = cfg.lastName();
XMLLoader.java,factory = SAXParserFactory.newInstance();,if (SAXParserFactory != null ) factory = SAXParserFactory.newInstance();
PropertiesFileCreator.java,long startTime = System.currentTimeMillis();,if (System != null ) long startTime = System.currentTimeMillis();
PropertiesFileCreator.java,long finishTime = System.currentTimeMillis();,if (System != null ) long finishTime = System.currentTimeMillis();
PropertiesFileCreator.java,prop.name = val.value();,if (val != null ) prop.name = val.value();
PropertiesFileCreator.java,prop.name = method.getName();,if (method != null ) prop.name = method.getName();
PropertiesFileCreator.java,prop.defaultValue = val.value();,if (val != null ) prop.defaultValue = val.value();
PropertiesFileCreatorMojo.java,File jar = new File(ele.toString());,if (File(ele != null ) File jar = new File(ele.toString());
PropertiesFileCreator.java,long startTime = System.currentTimeMillis();,if (System != null ) long startTime = System.currentTimeMillis();
PropertiesFileCreator.java,long finishTime = System.currentTimeMillis();,if (System != null ) long finishTime = System.currentTimeMillis();
PropertiesFileCreator.java,groupsOrder = order.value();,if (order != null ) groupsOrder = order.value();
PropertiesFileCreator.java,prop.name = val.value();,if (val != null ) prop.name = val.value();
PropertiesFileCreator.java,prop.name = method.getName();,if (method != null ) prop.name = method.getName();
PropertiesFileCreator.java,prop.defaultValue = val.value();,if (val != null ) prop.defaultValue = val.value();
PropertiesFileCreator.java,prop.valorizedAs = val.value();,if (val != null ) prop.valorizedAs = val.value();
PropertiesFileCreator.java,prop.description = val.value();,if (val != null ) prop.description = val.value();
PropertiesFileCreator.java,Graphics g = image.getGraphics();,if (image != null ) Graphics g = image.getGraphics();
SystemLoader.java,String path = uri.toString();,if (uri != null ) String path = uri.toString();
SystemLoader.java,String path = uri.toString();,if (uri != null ) String path = uri.toString();
ZooKeeperLoader.java,InputStream input = uri.toURL().openStream();,if (uri != null ) InputStream input = uri.toURL().openStream();
ZooKeeperConnection.java,String host = url.getHost();,if (url != null ) String host = url.getHost();
ZooKeeperConnection.java,int port = url.getPort();,if (url != null ) int port = url.getPort();
ZooKeeperConnection.java,basePath = url.getPath();,if (url != null ) basePath = url.getPath();
Converters.java,converter = converterClass.newInstance();,if (converterClass != null ) converter = converterClass.newInstance();
DurationConverter.java,String s = input.trim();,if (input != null ) String s = input.trim();
PropertiesManager.java,decrypterClazz = decrypterManager.value();,if (decrypterManager != null ) decrypterClazz = decrypterManager.value();
FirstLoadStrategyTest.java,defaultProps = new Properties(System.getProperties());,if (Properties(System != null ) defaultProps = new Properties(System.getProperties());
MergeLoadStrategyTest.java,defaultProps = new Properties(System.getProperties());,if (Properties(System != null ) defaultProps = new Properties(System.getProperties());
LoadersManager.java,InputStream stream = url.openStream();,if (url != null ) InputStream stream = url.openStream();
PropertiesManager.java,String prefix = urlFactory.toClasspathURLSpec(clazz.getName());,if (urlFactory != null ) String prefix = urlFactory.toClasspathURLSpec(clazz.getName());
Util.java,String path = url.getPath();,if (url != null ) String path = url.getPath();
Util.java,String path = url.getPath();,if (url != null ) String path = url.getPath();
UtilTest.java,File parent = target.getParentFile();,if (target != null ) File parent = target.getParentFile();
UtilTest.java,File parent = target.getParentFile();,if (target != null ) File parent = target.getParentFile();
InvalidJMXBeanTest.java,MBeanServer mbs = ManagementFactory.getPlatformMBeanServer();,if (ManagementFactory != null ) MBeanServer mbs = ManagementFactory.getPlatformMBeanServer();
PropertiesInvocationHandler.java,Method[] methods = PropertiesManager.class.getMethods();,if (PropertiesManager != null ) Method[] methods = PropertiesManager.class.getMethods();
PropertiesManager.java,String key = (String) propertyEnum.nextElement();,if (propertyEnum != null ) String key = (String) propertyEnum.nextElement();
JMXMBeanTest.java,MBeanServer mbs = ManagementFactory.getPlatformMBeanServer();,if (ManagementFactory != null ) MBeanServer mbs = ManagementFactory.getPlatformMBeanServer();
