Filename,Buggy/Deleted,Fixed/Added
ApexQualifiedName.java,String ns = trigger.getNamespace();,if (trigger != null ) String ns = trigger.getNamespace();
ApexQualifiedName.java,String targetObj = trigger.getTargetName();,if (trigger != null ) String targetObj = trigger.getTargetName();
ApexQualifiedName.java,ApexQualifiedName baseName = parent.getQualifiedName();,if (parent != null ) ApexQualifiedName baseName = parent.getQualifiedName();
CycloMetric.java,BooleanOp op = sub.getOperator();,if (sub != null ) BooleanOp op = sub.getOperator();
CognitiveComplexityVisitor.java,BooleanOp op = node.getOperator();,if (node != null ) BooleanOp op = node.getOperator();
CognitiveComplexityVisitor.java,PrefixOp op = node.getOperator();,if (node != null ) PrefixOp op = node.getOperator();
LanguageVersionDiscoverer.java,fileName = file.toRealPath().toString();,if (file != null ) fileName = file.toRealPath().toString();
LanguageVersionDiscoverer.java,fileName = file.toAbsolutePath().toString();,if (file != null ) fileName = file.toAbsolutePath().toString();
TestDescriptor.java,this.isFocused = td.isFocused();,if (td != null ) this.isFocused = td.isFocused();
TestDescriptor.java,this.isRegressionTest = !td.isIgnored();,if (!td != null ) this.isRegressionTest = !td.isIgnored();
XMLRenderer.java,match = matches.next();,if (matches != null ) match = matches.next();
CPDConfiguration.java,Renderer renderer = clazz.getDeclaredConstructor().newInstance();,if (clazz != null ) Renderer renderer = clazz.getDeclaredConstructor().newInstance();
CPDConfiguration.java,CPDRenderer renderer = clazz.getDeclaredConstructor().newInstance();,if (clazz != null ) CPDRenderer renderer = clazz.getDeclaredConstructor().newInstance();
XMLRendererTest.java,final NamedNodeMap attributes = file.getAttributes();,if (file != null ) final NamedNodeMap attributes = file.getAttributes();
GUI.java,numberOfTokensPerFile = cpd.getNumberOfTokensPerFile();,if (cpd != null ) numberOfTokensPerFile = cpd.getNumberOfTokensPerFile();
GherkinTokenizerTest.java,public ExpectedException ex = ExpectedException.none();,if (ExpectedException != null ) public ExpectedException ex = ExpectedException.none();
ImmutableFieldRule.java,Collection<String> defaultValues = new ArrayList<>(super.defaultSuppressionAnnotations());,if (ArrayList<>(super != null ) Collection<String> defaultValues = new ArrayList<>(super.defaultSuppressionAnnotations());
AvoidFieldNameMatchingMethodNameRule.java,int n = node.getNumChildren();,if (node != null ) int n = node.getNumChildren();
AvoidFieldNameMatchingMethodNameRule.java,int n = node.getNumChildren();,if (node != null ) int n = node.getNumChildren();
EmptyControlStatementRule.java,String name = resource.getName();,if (resource != null ) String name = resource.getName();
EmptyControlStatementRule.java,String name = resource.getVariableDeclaratorId().getName();,if (resource != null ) String name = resource.getVariableDeclaratorId().getName();
RuleTst.java,DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance();,if (DocumentBuilderFactory != null ) DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance();
RuleTst.java,DocumentBuilder builder = dbf.newDocumentBuilder();,if (dbf != null ) DocumentBuilder builder = dbf.newDocumentBuilder();
RuleTst.java,Element root = doc.getDocumentElement();,if (doc != null ) Element root = doc.getDocumentElement();
RuleTst.java,String reinitializeRuleValue = reinitializeRuleAttribute.getNodeValue();,if (reinitializeRuleAttribute != null ) String reinitializeRuleValue = reinitializeRuleAttribute.getNodeValue();
RuleTst.java,String reinitializeRuleValue = regressionTestAttribute.getNodeValue();,if (regressionTestAttribute != null ) String reinitializeRuleValue = regressionTestAttribute.getNodeValue();
RuleTst.java,String useAuxClasspathValue = useAuxClasspathAttribute.getNodeValue();,if (useAuxClasspathAttribute != null ) String useAuxClasspathValue = useAuxClasspathAttribute.getNodeValue();
RuleTst.java,String numbers = item.getTextContent();,if (item != null ) String numbers = item.getTextContent();
BaseTestParserImpl.java,"TestDescriptor descriptor = new TestDescriptor(i, rule.deepCopy());","if (rule != null ) TestDescriptor descriptor = new TestDescriptor(i, rule.deepCopy());"
BaseTestParserImpl.java,PmdXmlReporter errScope = err.newScope();,if (err != null ) PmdXmlReporter errScope = err.newScope();
SourceCodeProcessor.java,LanguageVersion languageVersion = configuration.getLanguageVersionOfFile(ctx.getSourceCodeFilename());,if (configuration != null ) LanguageVersion languageVersion = configuration.getLanguageVersionOfFile(ctx.getSourceCodeFilename());
AntIT.java,File projectFolder = folder.newFolder();,if (folder != null ) File projectFolder = folder.newFolder();
AbstractAnalysisCache.java,String extension = FilenameUtils.getExtension(file.toString());,if (FilenameUtils != null ) String extension = FilenameUtils.getExtension(file.toString());
