Filename,Buggy/Deleted,Fixed/Added
ProtoCaliperBenchmark.java,ExtensionRegistry extensions = ExtensionRegistry.newInstance();,if (ExtensionRegistry != null ) ExtensionRegistry extensions = ExtensionRegistry.newInstance();
ProtoCaliperBenchmark.java,ExtensionRegistry extensions = ExtensionRegistry.newInstance();,if (ExtensionRegistry != null ) ExtensionRegistry extensions = ExtensionRegistry.newInstance();
ProtoCaliperBenchmark.java,defaultMessage = benchmarkMessageType.getDefaultInstance();,if (benchmarkMessageType != null ) defaultMessage = benchmarkMessageType.getDefaultInstance();
ProtoCaliperBenchmark.java,extensions = benchmarkMessageType.getExtensionRegistry();,if (benchmarkMessageType != null ) extensions = benchmarkMessageType.getExtensionRegistry();
ProtoCaliperBenchmark.java,byte[] singleInputData = benchmarkDataset.getPayload(i).toByteArray();,if (benchmarkDataset != null ) byte[] singleInputData = benchmarkDataset.getPayload(i).toByteArray();
ProtoCaliperBenchmark.java,ExtensionRegistry extensions = ExtensionRegistry.newInstance();,if (ExtensionRegistry != null ) ExtensionRegistry extensions = ExtensionRegistry.newInstance();
ProtoCaliperBenchmark.java,ExtensionRegistry extensions = ExtensionRegistry.newInstance();,if (ExtensionRegistry != null ) ExtensionRegistry extensions = ExtensionRegistry.newInstance();
ProtoCaliperBenchmark.java,defaultMessage = benchmarkMessageType.getDefaultInstance();,if (benchmarkMessageType != null ) defaultMessage = benchmarkMessageType.getDefaultInstance();
ProtoCaliperBenchmark.java,extensions = benchmarkMessageType.getExtensionRegistry();,if (benchmarkMessageType != null ) extensions = benchmarkMessageType.getExtensionRegistry();
ProtoCaliperBenchmark.java,byte[] singleInputData = benchmarkDataset.getPayload(i).toByteArray();,if (benchmarkDataset != null ) byte[] singleInputData = benchmarkDataset.getPayload(i).toByteArray();
RubyDescriptor.java,"RubyClass klass = RubyClass.newClass(runtime, runtime.getObject());","if (runtime != null ) RubyClass klass = RubyClass.newClass(runtime, runtime.getObject());"
RubyDescriptorPool.java,byte[] bin = data.convertToString().getBytes();,if (data != null ) byte[] bin = data.convertToString().getBytes();
RubyDescriptorPool.java,String packageName = fd.getPackage();,if (fd != null ) String packageName = fd.getPackage();
RubyDescriptorPool.java,String fullName = parentPath + descriptor.getName();,if (descriptor != null ) String fullName = parentPath + descriptor.getName();
RubyEnumDescriptor.java,enumValue = descriptor.findValueByName(value.asJavaString());,if (descriptor != null ) enumValue = descriptor.findValueByName(value.asJavaString());
RubyEnumDescriptor.java,EnumValueDescriptor value = descriptor.findValueByName(name.asJavaString());,if (descriptor != null ) EnumValueDescriptor value = descriptor.findValueByName(name.asJavaString());
RubyEnumDescriptor.java,String name = value.getName();,if (value != null ) String name = value.getName();
RubyFieldDescriptor.java,this.name = context.runtime.newString(descriptor.getName());,if (context != null ) this.name = context.runtime.newString(descriptor.getName());
RubyFieldDescriptor.java,FieldDescriptor.Type fdType = descriptor.getType();,if (descriptor != null ) FieldDescriptor.Type fdType = descriptor.getType();
RubyFileDescriptor.java,rfd.fileDescriptor = descriptor.getFile();,if (descriptor != null ) rfd.fileDescriptor = descriptor.getFile();
RubyFileDescriptor.java,String name = fileDescriptor.getName();,if (fileDescriptor != null ) String name = fileDescriptor.getName();
RubyMap.java,this.valueTypeClass = context.runtime.getNilClass();,if (context != null ) this.valueTypeClass = context.runtime.getNilClass();
RubyMessage.java,OneofDescriptor oneof = fieldDescriptor.getContainingOneof();,if (fieldDescriptor != null ) OneofDescriptor oneof = fieldDescriptor.getContainingOneof();
RubyMessage.java,ThreadContext context = getRuntime().getCurrentContext();,if (getRuntime() != null ) ThreadContext context = getRuntime().getCurrentContext();
RubyMessage.java,String cname = metaClass.getName();,if (metaClass != null ) String cname = metaClass.getName();
RubyMessage.java,OneofDescriptor ood = rubyOneofDescriptor.getDescriptor();,if (rubyOneofDescriptor != null ) OneofDescriptor ood = rubyOneofDescriptor.getDescriptor();
RubyMessage.java,EnumDescriptor enumDescriptor = fieldDescriptor.getEnumType();,if (fieldDescriptor != null ) EnumDescriptor enumDescriptor = fieldDescriptor.getEnumType();
