Filename,Buggy/Deleted,Fixed/Added
HttpConnectionContext.java,this.recvBufferSize = configuration.getRecvBufferSize();,if (configuration != null ) this.recvBufferSize = configuration.getRecvBufferSize();
HttpConnectionContext.java,totalBytesSent += responseSink.getTotalBytesSent();,if (responseSink != null ) totalBytesSent += responseSink.getTotalBytesSent();
LineTcpReceiver.java,this.metrics = engine.getMetrics();,if (engine != null ) this.metrics = engine.getMetrics();
WorkerPool.java,this.workerAffinity = configuration.getWorkerAffinity();,if (configuration != null ) this.workerAffinity = configuration.getWorkerAffinity();
TestUtils.java,"WorkerPool pool = new WorkerPool(config, Metrics.disabled());","if (Metrics != null ) WorkerPool pool = new WorkerPool(config, Metrics.disabled());"
HttpFlushQueryCacheTest.java,long memInitial = Unsafe.getMemUsed();,if (Unsafe != null ) long memInitial = Unsafe.getMemUsed();
HttpFlushQueryCacheTest.java,long memAfterJoin = Unsafe.getMemUsed();,if (Unsafe != null ) long memAfterJoin = Unsafe.getMemUsed();
HttpFlushQueryCacheTest.java,long memAfterFlush = Unsafe.getMemUsed();,if (Unsafe != null ) long memAfterFlush = Unsafe.getMemUsed();
PGFlushQueryCacheTest.java,long memInitial = Unsafe.getMemUsed();,if (Unsafe != null ) long memInitial = Unsafe.getMemUsed();
PGFlushQueryCacheTest.java,long memAfterJoin = Unsafe.getMemUsed();,if (Unsafe != null ) long memAfterJoin = Unsafe.getMemUsed();
PGFlushQueryCacheTest.java,long memInitial = Unsafe.getMemUsed();,if (Unsafe != null ) long memInitial = Unsafe.getMemUsed();
PGFlushQueryCacheTest.java,long memAfterJoin = Unsafe.getMemUsed();,if (Unsafe != null ) long memAfterJoin = Unsafe.getMemUsed();
TableWriteBenchmark.java,TableWriter.Row r = writer.newRow();,if (writer != null ) TableWriter.Row r = writer.newRow();
TableWriteBenchmark.java,TableWriter.Row r = writer.newRow();,if (writer != null ) TableWriter.Row r = writer.newRow();
TableWriteBenchmark.java,TableWriter.Row r = writer.newRow();,if (writer != null ) TableWriter.Row r = writer.newRow();
TableWriteBenchmark.java,TableWriter.Row r = writer.newRow();,if (writer != null ) TableWriter.Row r = writer.newRow();
SqlCodeGenerator.java,ExpressionNode filter = slaveModel.getPostJoinWhereClause();,if (slaveModel != null ) ExpressionNode filter = slaveModel.getPostJoinWhereClause();
AsyncFilteredRecordCursorFactory.java,final boolean current = executionContext.getCloneSymbolTables();,if (executionContext != null ) final boolean current = executionContext.getCloneSymbolTables();
AsyncJitFilteredRecordCursorFactory.java,final boolean current = executionContext.getCloneSymbolTables();,if (executionContext != null ) final boolean current = executionContext.getCloneSymbolTables();
ReplaceStrFunctionFactory.java,int maxSize = configuration.getReplaceFunctionMaxBufferLength();,if (configuration != null ) int maxSize = configuration.getReplaceFunctionMaxBufferLength();
GroupByRecordCursorFactory.java,final Record baseRecord = baseCursor.getRecord();,if (baseCursor != null ) final Record baseRecord = baseCursor.getRecord();
GroupByRecordCursorFactory.java,final int n = groupByFunctions.size();,if (groupByFunctions != null ) final int n = groupByFunctions.size();
GroupByRecordCursorFactory.java,final MapKey key = dataMap.withKey();,if (dataMap != null ) final MapKey key = dataMap.withKey();
GroupByRecordCursorFactory.java,MapValue value = key.createValue();,if (key != null ) MapValue value = key.createValue();
SampleByInterpolateRecordCursorFactory.java,final MapKey key = recordKeyMap.withKey();,if (recordKeyMap != null ) final MapKey key = recordKeyMap.withKey();
SampleByInterpolateRecordCursorFactory.java,MapKey key = dataMap.withKey();,if (dataMap != null ) MapKey key = dataMap.withKey();
SampleByInterpolateRecordCursorFactory.java,final RecordCursor mapCursor = recordKeyMap.getCursor();,if (recordKeyMap != null ) final RecordCursor mapCursor = recordKeyMap.getCursor();
SampleByInterpolateRecordCursorFactory.java,final RecordCursor mapCursor = recordKeyMap.getCursor();,if (recordKeyMap != null ) final RecordCursor mapCursor = recordKeyMap.getCursor();
SampleByInterpolateRecordCursorFactory.java,final RecordCursor keyCursor = recordKeyMap.getCursor();,if (recordKeyMap != null ) final RecordCursor keyCursor = recordKeyMap.getCursor();
SampleByInterpolateRecordCursorFactory.java,MapKey key = dataMap.withKey();,if (dataMap != null ) MapKey key = dataMap.withKey();
SampleByInterpolateRecordCursorFactory.java,final MapKey key = dataMap.withKey();,if (dataMap != null ) final MapKey key = dataMap.withKey();
SampleByInterpolateRecordCursorFactory.java,final MapKey key = dataMap.withKey();,if (dataMap != null ) final MapKey key = dataMap.withKey();
SampleByInterpolateRecordCursorFactory.java,final MapKey key = dataMap.withKey();,if (dataMap != null ) final MapKey key = dataMap.withKey();
SampleByInterpolateRecordCursorFactory.java,final MapKey key = dataMap.withKey();,if (dataMap != null ) final MapKey key = dataMap.withKey();
HashJoinLightRecordCursorFactory.java,final Record record = slaveCursor.getRecord();,if (slaveCursor != null ) final Record record = slaveCursor.getRecord();
HashJoinLightRecordCursorFactory.java,MapKey key = joinKeyMap.withKey();,if (joinKeyMap != null ) MapKey key = joinKeyMap.withKey();
HashJoinLightRecordCursorFactory.java,MapValue value = key.createValue();,if (key != null ) MapValue value = key.createValue();
HashJoinLightRecordCursorFactory.java,this.masterRecord = masterCursor.getRecord();,if (masterCursor != null ) this.masterRecord = masterCursor.getRecord();
HashJoinLightRecordCursorFactory.java,this.slaveRecord = slaveCursor.getRecordB();,if (slaveCursor != null ) this.slaveRecord = slaveCursor.getRecordB();
HashJoinRecordCursorFactory.java,this.masterRecord = masterCursor.getRecord();,if (masterCursor != null ) this.masterRecord = masterCursor.getRecord();
HashJoinRecordCursorFactory.java,Record slaveRecord = slaveChain.getRecord();,if (slaveChain != null ) Record slaveRecord = slaveChain.getRecord();
HashOuterJoinLightRecordCursorFactory.java,final Record record = slaveCursor.getRecord();,if (slaveCursor != null ) final Record record = slaveCursor.getRecord();
HashOuterJoinLightRecordCursorFactory.java,MapKey key = joinKeyMap.withKey();,if (joinKeyMap != null ) MapKey key = joinKeyMap.withKey();
HashOuterJoinLightRecordCursorFactory.java,MapValue value = key.createValue();,if (key != null ) MapValue value = key.createValue();
HashOuterJoinRecordCursorFactory.java,this.masterRecord = masterCursor.getRecord();,if (masterCursor != null ) this.masterRecord = masterCursor.getRecord();
HashOuterJoinRecordCursorFactory.java,Record slaveRecord = slaveChain.getRecord();,if (slaveChain != null ) Record slaveRecord = slaveChain.getRecord();
LatestByLightRecordCursorFactory.java,final MapKey key = latestByMap.withKey();,if (latestByMap != null ) final MapKey key = latestByMap.withKey();
LatestByLightRecordCursorFactory.java,final MapKey key = latestByMap.withKey();,if (latestByMap != null ) final MapKey key = latestByMap.withKey();
LatestByLightRecordCursorFactory.java,this.mapCursor = map.getCursor();,if (map != null ) this.mapCursor = map.getCursor();
LatestByRecordCursorFactory.java,final MapKey key = latestByMap.withKey();,if (latestByMap != null ) final MapKey key = latestByMap.withKey();
SqlCodeGenerator.java,final boolean optimize = factory.supportPageFrameCursor() && JitUtil.isJitSupported();,if (JitUtil != null ) final boolean optimize = factory.supportPageFrameCursor() && JitUtil.isJitSupported();
SqlCodeGenerator.java,final int fillCount = sampleByFill.size();,if (sampleByFill != null ) final int fillCount = sampleByFill.size();
FullFwdDataFrameCursorFactoryTest.java,count += frame.getRowHi() - frame.getRowLo();,if (frame != null ) count += frame.getRowHi() - frame.getRowLo();
DataFrameRecordCursorFactoryTest.java,Record record = cursor.getRecord();,if (cursor != null ) Record record = cursor.getRecord();
DataFrameRecordCursorFactoryTest.java,long len = frame.getPartitionHi() - frame.getPartitionLo();,if (frame != null ) long len = frame.getPartitionHi() - frame.getPartitionLo();
DataFrameRecordCursorFactoryTest.java,long len = frame.getPartitionHi() - frame.getPartitionLo();,if (frame != null ) long len = frame.getPartitionHi() - frame.getPartitionLo();
TableUtils.java,int plen = path.chop$().length();,if (path != null ) int plen = path.chop$().length();
TableWriter.java,"long nextMinTimestamp = Math.min(minPartitionTimestamp, txWriter.getMinTimestamp());","if (txWriter != null ) long nextMinTimestamp = Math.min(minPartitionTimestamp, txWriter.getMinTimestamp());"
TableWriter.java,"long nextMaxTimestamp = Math.max(maxPartitionTimestamp, txWriter.getMaxTimestamp());","if (txWriter != null ) long nextMaxTimestamp = Math.max(maxPartitionTimestamp, txWriter.getMaxTimestamp());"
TableWriter.java,long minTimestamp = txWriter.getMinTimestamp();,if (txWriter != null ) long minTimestamp = txWriter.getMinTimestamp();
TableWriter.java,long maxTimestamp = txWriter.getMaxTimestamp();,if (txWriter != null ) long maxTimestamp = txWriter.getMaxTimestamp();
TableWriter.java,int rootLen = path.length();,if (path != null ) int rootLen = path.length();
TableWriter.java,int pathLen = path.length();,if (path != null ) int pathLen = path.length();
TableWriter.java,int pathLen = path.length();,if (path != null ) int pathLen = path.length();
TxReader.java,int tableRootLen = path.length();,if (path != null ) int tableRootLen = path.length();
TxReader.java,int pathLen = path.length();,if (path != null ) int pathLen = path.length();
TxWriter.java,int pathLen = path.length();,if (path != null ) int pathLen = path.length();
FilesTest.java,final String EOL = System.lineSeparator();,if (System != null ) final String EOL = System.lineSeparator();
FilesTest.java,File f = temporaryFolder.newFile();,if (temporaryFolder != null ) File f = temporaryFolder.newFile();
SymbolCacheTest.java,final int initialCapacity = cache.getCacheCapacity();,if (cache != null ) final int initialCapacity = cache.getCacheCapacity();
SymbolCacheTest.java,TableWriter.Row r = writer.newRow();,if (writer != null ) TableWriter.Row r = writer.newRow();
SymbolCacheTest.java,int colCount = writer.getMetadata().getColumnCount();,if (writer != null ) int colCount = writer.getMetadata().getColumnCount();
