Filename,Buggy/Deleted,Fixed/Added
SyncObjectServerFacade.java,BsonValue partitionValue = syncConfig.getPartitionValue();,if (syncConfig != null ) BsonValue partitionValue = syncConfig.getPartitionValue();
OsSharedRealm.java,this.context = osRealmConfig.getContext();,if (osRealmConfig != null ) this.context = osRealmConfig.getContext();
SyncSession.java,this.clientResetHandler = configuration.getClientResetHandler();,if (configuration != null ) this.clientResetHandler = configuration.getClientResetHandler();
App.java,syncDir = context.getFilesDir().getPath();,if (context != null ) syncDir = context.getFilesDir().getPath();
JsonExampleActivity.java,realm = Realm.getDefaultInstance();,if (Realm != null ) realm = Realm.getDefaultInstance();
ComputerIdentifierGenerator.java,byte[] hardwareAddress = networkInterface.getHardwareAddress();,if (networkInterface != null ) byte[] hardwareAddress = networkInterface.getHardwareAddress();
ComputerIdentifierGenerator.java,Runtime runtime = Runtime.getRuntime();,if (Runtime != null ) Runtime runtime = Runtime.getRuntime();
ComputerIdentifierGenerator.java,InputStream is = process.getInputStream();,if (process != null ) InputStream is = process.getInputStream();
ComputerIdentifierGenerator.java,Scanner sc = new Scanner(process.getInputStream());,if (Scanner(process != null ) Scanner sc = new Scanner(process.getInputStream());
ComputerIdentifierGenerator.java,String next = sc.next();,if (sc != null ) String next = sc.next();
ComputerIdentifierGenerator.java,result = sc.next().trim();,if (sc != null ) result = sc.next().trim();
RealmAnalytics.java,byte[] packagesBytes = stringBuilder.toString().getBytes();,if (stringBuilder != null ) byte[] packagesBytes = stringBuilder.toString().getBytes();
UrlEncodedAnalytics.java,HttpURLConnection connection = (HttpURLConnection) url.openConnection();,if (url != null ) HttpURLConnection connection = (HttpURLConnection) url.openConnection();
OsApp.java,this.networkTransport = new OkHttpNetworkTransport(config.getHttpLogObfuscator());,if (OkHttpNetworkTransport(config != null ) this.networkTransport = new OkHttpNetworkTransport(config.getHttpLogObfuscator());
RealmNotifierTests.java,OsSharedRealm sharedRealm = getSharedRealm(looperThread.getConfiguration());,if (getSharedRealm(looperThread != null ) OsSharedRealm sharedRealm = getSharedRealm(looperThread.getConfiguration());
RealmNotifierTests.java,OsSharedRealm sharedRealm = getSharedRealm(looperThread.getConfiguration());,if (getSharedRealm(looperThread != null ) OsSharedRealm sharedRealm = getSharedRealm(looperThread.getConfiguration());
RealmNotifierTests.java,int commits = commitCounter.get();,if (commitCounter != null ) int commits = commitCounter.get();
RealmNotifierTests.java,OsSharedRealm sharedRealm = getSharedRealm(looperThread.getConfiguration());,if (getSharedRealm(looperThread != null ) OsSharedRealm sharedRealm = getSharedRealm(looperThread.getConfiguration());
ThreadStressTests.java,task = readObjects(random.nextBoolean());,if (readObjects(random != null ) task = readObjects(random.nextBoolean());
ThreadStressTests.java,"task = updateObjects(random.nextBoolean(), random.nextBoolean());","if (random != null ) task = updateObjects(random.nextBoolean(), random.nextBoolean());"
ThreadStressTests.java,"task = deleteObjects(random.nextBoolean(), random.nextBoolean());","if (random != null ) task = deleteObjects(random.nextBoolean(), random.nextBoolean());"
RealmTests.java,final Realm realm = looperThread.getRealm();,if (looperThread != null ) final Realm realm = looperThread.getRealm();
RealmTests.java,final Realm realm = looperThread.getRealm();,if (looperThread != null ) final Realm realm = looperThread.getRealm();
RealmTests.java,final Realm realm = looperThread.getRealm();,if (looperThread != null ) final Realm realm = looperThread.getRealm();
RealmTests.java,final Realm realm = looperThread.getRealm();,if (looperThread != null ) final Realm realm = looperThread.getRealm();
RealmTests.java,final Realm realm = looperThread.getRealm();,if (looperThread != null ) final Realm realm = looperThread.getRealm();
RealmTests.java,final Realm realm = looperThread.getRealm();,if (looperThread != null ) final Realm realm = looperThread.getRealm();
RealmTests.java,Realm realm = looperThread.getRealm();,if (looperThread != null ) Realm realm = looperThread.getRealm();
RealmTests.java,Realm realm = Realm.getInstance(looperThread.getConfiguration());,if (Realm != null ) Realm realm = Realm.getInstance(looperThread.getConfiguration());
RealmTests.java,Realm realm = looperThread.getRealm();,if (looperThread != null ) Realm realm = looperThread.getRealm();
RealmTests.java,Realm realm = Realm.getInstance(looperThread.getConfiguration());,if (Realm != null ) Realm realm = Realm.getInstance(looperThread.getConfiguration());
RealmTests.java,long seed = System.nanoTime();,if (System != null ) long seed = System.nanoTime();
RealmTests.java,AllJavaTypes obj = new AllJavaTypes(id.incrementAndGet());,if (AllJavaTypes(id != null ) AllJavaTypes obj = new AllJavaTypes(id.incrementAndGet());
RealmTests.java,String s = obj.getFieldString();,if (obj != null ) String s = obj.getFieldString();
RealmCache.java,boolean realmFileIsBeingCreated = !configuration.realmExists();,if (!configuration != null ) boolean realmFileIsBeingCreated = !configuration.realmExists();
some_test_AllTypesRealmProxy.java,int objects = columnRealmListList.size();,if (columnRealmListList != null ) int objects = columnRealmListList.size();
some_test_AllTypesRealmProxy.java,int objects = columnRealmListNoPkList.size();,if (columnRealmListNoPkList != null ) int objects = columnRealmListNoPkList.size();
some_test_AllTypesRealmProxy.java,int objects = columnRealmFinalListList.size();,if (columnRealmFinalListList != null ) int objects = columnRealmFinalListList.size();
