Filename,Buggy/Deleted,Fixed/Added
MappedResult.java,return MapOp.VALUE == this.getOperation();,if (this != null ) return MapOp.VALUE == this.getOperation();
ReassignTransformation.java,GenericParameterContext sourceCtx = new GenericParameterContext(sourceProperty.getReadMethod());,if (GenericParameterContext(sourceProperty != null ) GenericParameterContext sourceCtx = new GenericParameterContext(sourceProperty.getReadMethod());
ReassignTransformation.java,GenericParameterContext destinationCtx = new GenericParameterContext(destinationProperty.getReadMethod());,if (GenericParameterContext(destinationProperty != null ) GenericParameterContext destinationCtx = new GenericParameterContext(destinationProperty.getReadMethod());
GenericParameterContext.java,ParameterizedType parameterizedType = (ParameterizedType) method.getGenericReturnType();,if (method != null ) ParameterizedType parameterizedType = (ParameterizedType) method.getGenericReturnType();
GenericParameterContext.java,this.currentType = (Class<?>) method.getGenericReturnType();,if (method != null ) this.currentType = (Class<?>) method.getGenericReturnType();
AssertMapping.java,SkipWhenNullTransformation assertedReplaceTransformation = sameTransformation.get();,if (sameTransformation != null ) SkipWhenNullTransformation assertedReplaceTransformation = sameTransformation.get();
AssertMapping.java,Set<Transformation> mappings = getMapping().getMappings();,if (getMapping() != null ) Set<Transformation> mappings = getMapping().getMappings();
AssertMapping.java,Stream<Transformation> tranformationStream = mappings.stream();,if (mappings != null ) Stream<Transformation> tranformationStream = mappings.stream();
AssertMapping.java,Set<Transformation> unexpectedTransformations = tranformationStream.collect(Collectors.toSet());,if (tranformationStream != null ) Set<Transformation> unexpectedTransformations = tranformationStream.collect(Collectors.toSet());
Mapping.java,T sensor = invocationSensor.getSensor();,if (invocationSensor != null ) T sensor = invocationSensor.getSensor();
Mapping.java,List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();,if (invocationSensor != null ) List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();
Mapping.java,T sensor = invocationSensor.getSensor();,if (invocationSensor != null ) T sensor = invocationSensor.getSensor();
Mapping.java,List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();,if (invocationSensor != null ) List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();
ReassignTransformation.java,ParameterizedType parameterizedType = (ParameterizedType) method.getGenericReturnType();,if (method != null ) ParameterizedType parameterizedType = (ParameterizedType) method.getGenericReturnType();
PropertyPathTest.java,String string = mapper.toString();,if (mapper != null ) String string = mapper.toString();
InvocationSensor.java,proxyObject = superType.cast(enhancer.create());,if (superType != null ) proxyObject = superType.cast(enhancer.create());
Mapping.java,T sensor = invocationSensor.getSensor();,if (invocationSensor != null ) T sensor = invocationSensor.getSensor();
Mapping.java,List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();,if (invocationSensor != null ) List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();
Mapping.java,T sensor = invocationSensor.getSensor();,if (invocationSensor != null ) T sensor = invocationSensor.getSensor();
Mapping.java,List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();,if (invocationSensor != null ) List<String> trackedPropertyNames = invocationSensor.getTrackedPropertyNames();
Properties.java,Method writeMethod = pd.getWriteMethod();,if (pd != null ) Method writeMethod = pd.getWriteMethod();
Properties.java,PropertyDescriptor[] propertyDescriptors = beanInfo.getPropertyDescriptors();,if (beanInfo != null ) PropertyDescriptor[] propertyDescriptors = beanInfo.getPropertyDescriptors();
ReassignTransformation.java,ParameterizedType parameterizedType = (ParameterizedType) method.getGenericReturnType();,if (method != null ) ParameterizedType parameterizedType = (ParameterizedType) method.getGenericReturnType();
Transformation.java,Method readMethod = property.getReadMethod();,if (property != null ) Method readMethod = property.getReadMethod();
Transformation.java,Method writeMethod = property.getWriteMethod();,if (property != null ) Method writeMethod = property.getWriteMethod();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
MapperTest.java,Iterator<A> as = aList.iterator();,if (aList != null ) Iterator<A> as = aList.iterator();
MapperTest.java,Iterator<AResource> ars = arCollection.iterator();,if (arCollection != null ) Iterator<AResource> ars = arCollection.iterator();
MapperTest.java,A a = as.next();,if (as != null ) A a = as.next();
MapperTest.java,AResource ar = ars.next();,if (ars != null ) AResource ar = ars.next();
MapperTest.java,BResource br = ar.getB();,if (ar != null ) BResource br = ar.getB();
CollectionsTest.java,List<BResource> brs = ar.getBs();,if (ar != null ) List<BResource> brs = ar.getBs();
CollectionsTest.java,List<BResource> brs = ar.getBs();,if (ar != null ) List<BResource> brs = ar.getBs();
