Filename,Buggy/Deleted,Fixed/Added
DatabaseSource.java,configuration = builder.build();,if (builder != null ) configuration = builder.build();
DatabaseSource.java,long pageSize = db.getPageSize();,if (db != null ) long pageSize = db.getPageSize();
SchemaUpdater.java,String tableName = type.getName();,if (type != null ) String tableName = type.getName();
EntityProcessor.java,TypeElement element = annotations.iterator().next();,if (annotations != null ) TypeElement element = annotations.iterator().next();
SourceLanguage.java,Elements elements = environment.getElementUtils();,if (environment != null ) Elements elements = environment.getElementUtils();
SqlitePreparedStatement.java,String string = value.toString();,if (value != null ) String string = value.toString();
SqlitePreparedStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlitePreparedStatement.java,updateCount = statement.executeUpdateDelete();,if (statement != null ) updateCount = statement.executeUpdateDelete();
SqliteStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqliteStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqliteStatement.java,updateCount = statement.executeUpdateDelete();,if (statement != null ) updateCount = statement.executeUpdateDelete();
SqlitexDatabaseSource.java,configuration = builder.build();,if (builder != null ) configuration = builder.build();
SqlitexPreparedStatement.java,String string = value.toString();,if (value != null ) String string = value.toString();
SqlitexPreparedStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlitexPreparedStatement.java,updateCount = statement.executeUpdateDelete();,if (statement != null ) updateCount = statement.executeUpdateDelete();
SqlitexStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlitexStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlitexStatement.java,updateCount = statement.executeUpdateDelete();,if (statement != null ) updateCount = statement.executeUpdateDelete();
SqlCipherDatabaseSource.java,configuration = builder.build();,if (builder != null ) configuration = builder.build();
SqlCipherPreparedStatement.java,String string = value.toString();,if (value != null ) String string = value.toString();
SqlCipherPreparedStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlCipherPreparedStatement.java,updateCount = statement.executeUpdateDelete();,if (statement != null ) updateCount = statement.executeUpdateDelete();
SqlCipherStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlCipherStatement.java,long rowId = statement.executeInsert();,if (statement != null ) long rowId = statement.executeInsert();
SqlCipherStatement.java,return updateCount = statement.executeUpdateDelete();,if (statement != null ) return updateCount = statement.executeUpdateDelete();
QueryAdapter.java,this.executor = Executors.newSingleThreadExecutor();,if (Executors != null ) this.executor = Executors.newSingleThreadExecutor();
QueryAdapter.java,key = proxy.key();,if (proxy != null ) key = proxy.key();
QueryRecyclerAdapter.java,this.executor = Executors.newSingleThreadExecutor();,if (Executors != null ) this.executor = Executors.newSingleThreadExecutor();
QueryRecyclerAdapter.java,key = proxy.key();,if (proxy != null ) key = proxy.key();
RxTest.java,CachingProvider provider = Caching.getCachingProvider();,if (Caching != null ) CachingProvider provider = Caching.getCachingProvider();
RxTest.java,CacheManager cacheManager = provider.getCacheManager();,if (provider != null ) CacheManager cacheManager = provider.getCacheManager();
ImmutableAttribute.java,builderProperty = builder.getBuilderProperty();,if (builder != null ) builderProperty = builder.getBuilderProperty();
ImmutableAttribute.java,cardinality = builder.getCardinality();,if (builder != null ) cardinality = builder.getCardinality();
ImmutableAttribute.java,cascadeActions = builder.getCascadeActions();,if (builder != null ) cascadeActions = builder.getCascadeActions();
ImmutableAttribute.java,classType = builder.getClassType();,if (builder != null ) classType = builder.getClassType();
ImmutableAttribute.java,collate = builder.getCollate();,if (builder != null ) collate = builder.getCollate();
ImmutableAttribute.java,converter = builder.getConverter();,if (builder != null ) converter = builder.getConverter();
ImmutableAttribute.java,defaultValue = builder.getDefaultValue();,if (builder != null ) defaultValue = builder.getDefaultValue();
ImmutableAttribute.java,definition = builder.getDefinition();,if (builder != null ) definition = builder.getDefinition();
ImmutableAttribute.java,deleteAction = builder.getDeleteAction();,if (builder != null ) deleteAction = builder.getDeleteAction();
ImmutableAttribute.java,elementClass = builder.getElementClass();,if (builder != null ) elementClass = builder.getElementClass();
ImmutableAttribute.java,indexNames = builder.getIndexNames();,if (builder != null ) indexNames = builder.getIndexNames();
ImmutableAttribute.java,initializer = builder.getInitializer();,if (builder != null ) initializer = builder.getInitializer();
ImmutableAttribute.java,isForeignKey = builder.isForeignKey();,if (builder != null ) isForeignKey = builder.isForeignKey();
ImmutableAttribute.java,isGenerated = builder.isGenerated();,if (builder != null ) isGenerated = builder.isGenerated();
ImmutableAttribute.java,isIndex = builder.isIndexed();,if (builder != null ) isIndex = builder.isIndexed();
ImmutableAttribute.java,isKey = builder.isKey();,if (builder != null ) isKey = builder.isKey();
ImmutableAttribute.java,isLazy = builder.isLazy();,if (builder != null ) isLazy = builder.isLazy();
ImmutableAttribute.java,isNullable = builder.isNullable();,if (builder != null ) isNullable = builder.isNullable();
ImmutableAttribute.java,isReadOnly = builder.isReadOnly();,if (builder != null ) isReadOnly = builder.isReadOnly();
ImmutableAttribute.java,isUnique = builder.isUnique();,if (builder != null ) isUnique = builder.isUnique();
ImmutableAttribute.java,isVersion = builder.isVersion();,if (builder != null ) isVersion = builder.isVersion();
ImmutableAttribute.java,length = builder.getLength();,if (builder != null ) length = builder.getLength();
ImmutableAttribute.java,mapKeyClass = builder.getMapKeyClass();,if (builder != null ) mapKeyClass = builder.getMapKeyClass();
ImmutableAttribute.java,mappedAttribute = builder.getMappedAttribute();,if (builder != null ) mappedAttribute = builder.getMappedAttribute();
ImmutableAttribute.java,name = builder.getName();,if (builder != null ) name = builder.getName();
ImmutableAttribute.java,orderByAttribute = builder.getOrderByAttribute();,if (builder != null ) orderByAttribute = builder.getOrderByAttribute();
ImmutableAttribute.java,orderByDirection = builder.getOrderByDirection();,if (builder != null ) orderByDirection = builder.getOrderByDirection();
ImmutableAttribute.java,primitiveKind = builder.getPrimitiveKind();,if (builder != null ) primitiveKind = builder.getPrimitiveKind();
ImmutableAttribute.java,property = builder.getProperty();,if (builder != null ) property = builder.getProperty();
ImmutableAttribute.java,propertyName = builder.getPropertyName();,if (builder != null ) propertyName = builder.getPropertyName();
ImmutableAttribute.java,propertyState = builder.getPropertyState();,if (builder != null ) propertyState = builder.getPropertyState();
ImmutableAttribute.java,referencedAttribute = builder.getReferencedAttribute();,if (builder != null ) referencedAttribute = builder.getReferencedAttribute();
ImmutableAttribute.java,referencedClass = builder.getReferencedClass();,if (builder != null ) referencedClass = builder.getReferencedClass();
ImmutableAttribute.java,updateAction = builder.getUpdateAction();,if (builder != null ) updateAction = builder.getUpdateAction();
EntityDataStore.java,mapping = configuration.getMapping();,if (configuration != null ) mapping = configuration.getMapping();
EntityDataStore.java,DatabaseMetaData metadata = connection.getMetaData();,if (connection != null ) DatabaseMetaData metadata = connection.getMetaData();
EntityDataStore.java,supportsBatchUpdates = metadata.supportsBatchUpdates();,if (metadata != null ) supportsBatchUpdates = metadata.supportsBatchUpdates();
EntityDataStore.java,String quoteIdentifier = metadata.getIdentifierQuoteString();,if (metadata != null ) String quoteIdentifier = metadata.getIdentifierQuoteString();
ParcelConverter.java,Parcel parcel = Parcel.obtain();,if (Parcel != null ) Parcel parcel = Parcel.obtain();
ParcelConverter.java,Parcel parcel = Parcel.obtain();,if (Parcel != null ) Parcel parcel = Parcel.obtain();
InsertReturningOperation.java,TransactionProvider transactionProvider = configuration.getTransactionProvider();,if (configuration != null ) TransactionProvider transactionProvider = configuration.getTransactionProvider();
EntityDataStore.java,Transaction transaction = transactionProvider.get();,if (transactionProvider != null ) Transaction transaction = transactionProvider.get();
EntityDataStore.java,V result = callable.call();,if (callable != null ) V result = callable.call();
EntityType.java,Element element = entry.element();,if (entry != null ) Element element = entry.element();
EntityGenerator.java,Element element = entry.getKey();,if (entry != null ) Element element = entry.getKey();
EntityGenerator.java,AttributeDescriptor attribute = entry.getValue();,if (entry != null ) AttributeDescriptor attribute = entry.getValue();
EntityGraphValidator.java,AttributeDescriptor attribute = entry.getValue();,if (entry != null ) AttributeDescriptor attribute = entry.getValue();
EntityType.java,Element element = entry.getValue().element();,if (entry != null ) Element element = entry.getValue().element();
WrappedEntityStore.java,current = current.concatWith(single.toObservable());,if (current != null ) current = current.concatWith(single.toObservable());
SingleEntityStoreFromBlocking.java,current = current.concatWith(single.toObservable());,if (current != null ) current = current.concatWith(single.toObservable());
SingleOnSubscribeFromSupplier.java,E value = supplier.get();,if (supplier != null ) E value = supplier.get();
DefaultOutput.java,String key = inner.getName();,if (inner != null ) String key = inner.getName();
DefaultOutput.java,key = attribute.getDeclaringType().getName();,if (attribute != null ) key = attribute.getDeclaringType().getName();
DefaultOutput.java,Object value = condition.getRightOperand();,if (condition != null ) Object value = condition.getRightOperand();
EntityAnnotationIntrospector.java,String name = attribute.getPropertyName();,if (attribute != null ) String name = attribute.getPropertyName();
