Filename,Buggy/Deleted,Fixed/Added
MapperProcessor.java,String type = element.asType().toString();,if (element != null ) String type = element.asType().toString();
ToStringMapperIT.java,EnumToStringMapper.EnumContainer enumContainer = new EnumToStringMapper.EnumContainer();,if (EnumToStringMapper != null ) EnumToStringMapper.EnumContainer enumContainer = new EnumToStringMapper.EnumContainer();
ToStringMapperIT.java,EnumToStringMapper.EnumContainer enumContainer = new EnumToStringMapper.EnumContainer();,if (EnumToStringMapper != null ) EnumToStringMapper.EnumContainer enumContainer = new EnumToStringMapper.EnumContainer();
MappingBuilder.java,res = inOutType.inIsPrimitive();,if (inOutType != null ) res = inOutType.inIsPrimitive();
MappingBuilder.java,final PackageElement typePackage = context.elements.getPackageOf(declaredType.asElement());,if (context != null ) final PackageElement typePackage = context.elements.getPackageOf(declaredType.asElement());
MapsWrapper.java,ignoreMissingProperties = mapperWrapper.isIgnoreMissingProperties();,if (mapperWrapper != null ) ignoreMissingProperties = mapperWrapper.isIgnoreMissingProperties();
CustomMapperWrapper.java,InOutType inOutType = method.inOutArgs();,if (method != null ) InOutType inOutType = method.inOutArgs();
MapperMethodGenerator.java,out = inOutType.out().toString();,if (inOutType != null ) out = inOutType.out().toString();
MapperMethodGenerator.java,isPrimitiveOrImmutable = !inOutType.differs() && mappingBuilder.isNullSafe();,if (mappingBuilder != null ) isPrimitiveOrImmutable = !inOutType.differs() && mappingBuilder.isNullSafe();
MapperMethodGenerator.java,"final BeanWrapper outBeanWrapper = getBeanWrapperOrNew(context, inOutType.out());","if (inOutType != null ) final BeanWrapper outBeanWrapper = getBeanWrapperOrNew(context, inOutType.out());"
MapperMethodGenerator.java,isPrimitiveOrImmutable = isPrimitiveOrImmutable || inOutType.inIsPrimitive();,if (inOutType != null ) isPrimitiveOrImmutable = isPrimitiveOrImmutable || inOutType.inIsPrimitive();
MapperMethodGenerator.java,Set<String> outFields = outBean.getSetterFields();,if (outBean != null ) Set<String> outFields = outBean.getSetterFields();
MapperClassGenerator.java,declaredType = (DeclaredType) element.asType();,if (element != null ) declaredType = (DeclaredType) element.asType();
MapperClassGenerator.java,InOutType inOutType = methodWrapper.inOutType();,if (methodWrapper != null ) InOutType inOutType = methodWrapper.inOutType();
