Filename,Buggy/Deleted,Fixed/Added
SbeTool.java,ir = new IrDecoder(fileName).decode();,if (IrDecoder(fileName) != null ) ir = new IrDecoder(fileName).decode();
RustGenerator.java,final String name = fieldToken.name();,if (fieldToken != null ) final String name = fieldToken.name();
RustGenerator.java,final String name = fieldToken.name();,if (fieldToken != null ) final String name = fieldToken.name();
RustGenerator.java,final Encoding encoding = typeToken.encoding();,if (typeToken != null ) final Encoding encoding = typeToken.encoding();
JavaGenerator.java,final Encoding encoding = token.encoding();,if (token != null ) final Encoding encoding = token.encoding();
EnumType.java,nullValue = encodedDataType.nullValue();,if (encodedDataType != null ) nullValue = encodedDataType.nullValue();
XmlSchemaParser.java,final XPath xPath = XPathFactory.newInstance().newXPath();,if (XPathFactory != null ) final XPath xPath = XPathFactory.newInstance().newXPath();
LibRsDef.java,final String mod = entry.getKey();,if (entry != null ) final String mod = entry.getKey();
RustGenerator.java,final String setType = formatStructName(beginToken.applicableTypeName());,if (formatStructName(beginToken != null ) final String setType = formatStructName(beginToken.applicableTypeName());
SubGroup.java,final int headerSize = blockLengthPrimitiveType.size() + numInGroupPrimitiveType.size();,if (numInGroupPrimitiveType != null ) final int headerSize = blockLengthPrimitiveType.size() + numInGroupPrimitiveType.size();
RewindTest.java,final OptionalExtrasDecoder extras = carDecoder.extras();,if (carDecoder != null ) final OptionalExtrasDecoder extras = carDecoder.extras();
RewindTest.java,final EngineDecoder engine = carDecoder.engine();,if (carDecoder != null ) final EngineDecoder engine = carDecoder.engine();
RewindTest.java,final OptionalExtrasDecoder extras = carDecoder.extras();,if (carDecoder != null ) final OptionalExtrasDecoder extras = carDecoder.extras();
RewindTest.java,final EngineDecoder engine = carDecoder.engine();,if (carDecoder != null ) final EngineDecoder engine = carDecoder.engine();
JsonPrinter.java,final int messageOffset = bufferOffset + headerDecoder.encodedLength();,if (headerDecoder != null ) final int messageOffset = bufferOffset + headerDecoder.encodedLength();
CppGenerator.java,final String enumName = formatClassName(token.applicableTypeName());,if (formatClassName(token != null ) final String enumName = formatClassName(token.applicableTypeName());
CppGenerator.java,final String typeName = cppTypeName(token.encoding().primitiveType());,if (cppTypeName(token != null ) final String typeName = cppTypeName(token.encoding().primitiveType());
CppGenerator.java,final int offset = token.offset();,if (token != null ) final int offset = token.offset();
CppGenerator.java,final String typeName = cppTypeName(token.encoding().primitiveType());,if (cppTypeName(token != null ) final String typeName = cppTypeName(token.encoding().primitiveType());
JavaUtil.java,final String name = optionToken.name();,if (optionToken != null ) final String name = optionToken.name();
JavaGenerator.java,final String enumName = formatClassName(typeToken.applicableTypeName());,if (formatClassName(typeToken != null ) final String enumName = formatClassName(typeToken.applicableTypeName());
JavaGenerator.java,final Encoding encoding = typeToken.encoding();,if (typeToken != null ) final Encoding encoding = typeToken.encoding();
JavaGenerator.java,final int offset = typeToken.offset();,if (typeToken != null ) final int offset = typeToken.offset();
JavaGenerator.java,final String groupName = groupToken.name();,if (groupToken != null ) final String groupName = groupToken.name();
JsonTokenListener.java,final int elementSize = encoding.primitiveType().size();,if (encoding != null ) final int elementSize = encoding.primitiveType().size();
JsonTokenListener.java,final int size = typeToken.arrayLength();,if (typeToken != null ) final int size = typeToken.arrayLength();
JsonTokenListener.java,final Encoding encoding = token.encoding();,if (token != null ) final Encoding encoding = token.encoding();
CppGenerator.java,final String propertyName = toUpperFirstChar(varDataToken.name());,if (toUpperFirstChar(varDataToken != null ) final String propertyName = toUpperFirstChar(varDataToken.name());
CSharpGenerator.java,final String schemaIdType = cSharpTypeName(ir.headerStructure().schemaIdType());,if (cSharpTypeName(ir != null ) final String schemaIdType = cSharpTypeName(ir.headerStructure().schemaIdType());
CSharpGenerator.java,final String schemaVersionType = cSharpTypeName(ir.headerStructure().schemaVersionType());,if (cSharpTypeName(ir != null ) final String schemaVersionType = cSharpTypeName(ir.headerStructure().schemaVersionType());
RustFlatFileOutputManager.java,final boolean outputDirAvailable = outputDir.exists() || outputDir.mkdirs();,if (outputDir != null ) final boolean outputDirAvailable = outputDir.exists() || outputDir.mkdirs();
RustGenerator.java,final int headerSize = totalByteSize(ir.headerStructure());,if (totalByteSize(ir != null ) final int headerSize = totalByteSize(ir.headerStructure());
RustGenerator.java,final String messageTypeName = formatTypeName(components.messageToken.name());,if (formatTypeName(components != null ) final String messageTypeName = formatTypeName(components.messageToken.name());
RustGenerator.java,final String setType = formatTypeName(beginToken.applicableTypeName());,if (formatTypeName(beginToken != null ) final String setType = formatTypeName(beginToken.applicableTypeName());
RustGenerator.java,final String rustPrimitiveType = rustTypeName(beginToken.encoding().primitiveType());,if (rustTypeName(beginToken != null ) final String rustPrimitiveType = rustTypeName(beginToken.encoding().primitiveType());
RustGenerator.java,final String choiceName = formatMethodName(token.name());,if (formatMethodName(token != null ) final String choiceName = formatMethodName(token.name());
RustGenerator.java,final Encoding encoding = token.encoding();,if (token != null ) final Encoding encoding = token.encoding();
RustGenerator.java,final String choiceBitIndex = encoding.constValue().toString();,if (encoding != null ) final String choiceBitIndex = encoding.constValue().toString();
RustGenerator.java,final String choiceName = formatMethodName(token.name());,if (formatMethodName(token != null ) final String choiceName = formatMethodName(token.name());
