Filename,Buggy/Deleted,Fixed/Added
HardCodedCredentialsShouldNotBeUsedCheck.java,char[] secretReassignedAsCharsVariable = secretReassginedVariable.toCharArray();,if (secretReassginedVariable != null ) char[] secretReassignedAsCharsVariable = secretReassginedVariable.toCharArray();
HardCodedCredentialsShouldNotBeUsedCheck.java,Symbol symbol = identifier.symbol();,if (identifier != null ) Symbol symbol = identifier.symbol();
HardCodedCredentialsShouldNotBeUsedCheck.java,VariableTree variable = (VariableTree) symbol.declaration();,if (symbol != null ) VariableTree variable = (VariableTree) symbol.declaration();
HardCodedCredentialsShouldNotBeUsedCheck.java,Symbol symbol = variable.symbol();,if (variable != null ) Symbol symbol = variable.symbol();
HardCodedCredentialsShouldNotBeUsedCheck.java,ExpressionTree expressionTree = tree.methodSelect();,if (tree != null ) ExpressionTree expressionTree = tree.methodSelect();
HardCodedCredentialsShouldNotBeUsedCheck.java,ExpressionTree expression = ExpressionUtils.skipParentheses(tree.expression());,if (ExpressionUtils != null ) ExpressionTree expression = ExpressionUtils.skipParentheses(tree.expression());
HardCodedCredentialsShouldNotBeUsedCheck.java,Symbol symbol = identifier.symbol();,if (identifier != null ) Symbol symbol = identifier.symbol();
HardCodedCredentialsShouldNotBeUsedCheck.java,VariableTree variable = (VariableTree) symbol.declaration();,if (symbol != null ) VariableTree variable = (VariableTree) symbol.declaration();
HardCodedCredentialsShouldNotBeUsedCheck.java,ExpressionTree initializer = variable.initializer();,if (variable != null ) ExpressionTree initializer = variable.initializer();
AbstractPatternTreeTest.java,PatternTree nestedPattern = guardedPattern.pattern();,if (guardedPattern != null ) PatternTree nestedPattern = guardedPattern.pattern();
Expectations.java,ruleKey = rspecKeyAnnotation.value();,if (rspecKeyAnnotation != null ) ruleKey = rspecKeyAnnotation.value();
Expectations.java,ruleKey = ruleAnnotation.key();,if (ruleAnnotation != null ) ruleKey = ruleAnnotation.key();
CheckListTest.java,String key = ruleAnnotation.key();,if (ruleAnnotation != null ) String key = ruleAnnotation.key();
JavaRulesDefinition.java,JavaSonarWayProfile.Profile profile = JavaSonarWayProfile.readProfile();,if (JavaSonarWayProfile != null ) JavaSonarWayProfile.Profile profile = JavaSonarWayProfile.readProfile();
JavaRulesDefinition.java,String ruleKey = ruleAnnotation.key();,if (ruleAnnotation != null ) String ruleKey = ruleAnnotation.key();
JavaRulesDefinition.java,String rspecKey = rspecKeyAnnotation.value();,if (rspecKeyAnnotation != null ) String rspecKey = rspecKeyAnnotation.value();
JavaSonarWayProfile.java,String key = ruleAnnotation.key();,if (ruleAnnotation != null ) String key = ruleAnnotation.key();
JavaSonarWayProfile.java,rspecKey = rspecKeyAnnotation.value();,if (rspecKeyAnnotation != null ) rspecKey = rspecKeyAnnotation.value();
JavaRulesDefinitionTest.java,RulesDefinition.Context context = new RulesDefinition.Context();,if (RulesDefinition != null ) RulesDefinition.Context context = new RulesDefinition.Context();
JavaRulesDefinitionTest.java,JavaSonarWayProfile.Profile profile = new JavaSonarWayProfile.Profile();,if (JavaSonarWayProfile != null ) JavaSonarWayProfile.Profile profile = new JavaSonarWayProfile.Profile();
OptionalGetBeforeIsPresentCheck.java,SymbolicValue peek = programState.peekValue();,if (programState != null ) SymbolicValue peek = programState.peekValue();
OptionalGetBeforeIsPresentCheck.java,String identifier = getIdentifierPart(mit.methodSelect());,if (getIdentifierPart(mit != null ) String identifier = getIdentifierPart(mit.methodSelect());
AwsRegionShouldBeSetExplicitlyCheck.java,VariableTree actualDeclaration = declaration.get();,if (declaration != null ) VariableTree actualDeclaration = declaration.get();
AwsRegionShouldBeSetExplicitlyCheck.java,ExpressionTree initializer = actualDeclaration.initializer();,if (actualDeclaration != null ) ExpressionTree initializer = actualDeclaration.initializer();
AwsRegionShouldBeSetExplicitlyCheck.java,ExpressionTree expression = terminalCall.methodSelect();,if (terminalCall != null ) ExpressionTree expression = terminalCall.methodSelect();
AwsRegionShouldBeSetExplicitlyCheck.java,ExpressionTree currentExpression = memberSelectExpressionTree.expression();,if (memberSelectExpressionTree != null ) ExpressionTree currentExpression = memberSelectExpressionTree.expression();
