Filename,Buggy/Deleted,Fixed/Added
ImportScannerTest.java,PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());,if (DefaultJavaPrettyPrinter(spoon != null ) PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());
ImportScannerTest.java,Factory aFactory = spoon.getFactory();,if (spoon != null ) Factory aFactory = spoon.getFactory();
ImportTest.java,PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());,if (DefaultJavaPrettyPrinter(spoon != null ) PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());
InitializerTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
CUFilterTest.java,final CtModel model = launcher.getModel();,if (launcher != null ) final CtModel model = launcher.getModel();
FieldTest.java,CtModel ctModel = launcher.buildModel();,if (launcher != null ) CtModel ctModel = launcher.buildModel();
PackageTest.java,PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());,if (DefaultJavaPrettyPrinter(spoon != null ) PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());
PackageTest.java,PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());,if (DefaultJavaPrettyPrinter(spoon != null ) PrettyPrinter prettyPrinter = new DefaultJavaPrettyPrinter(spoon.getEnvironment());
InterfaceTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
InterfaceTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
JavaDocTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
JavaDocTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
TryCatchTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
AssignmentsEqualsTest.java,Factory factory = launcher.getFactory();,if (launcher != null ) Factory factory = launcher.getFactory();
JavaReflectionVisitorImpl.java,int nrEnclosingClasses = getNumberOfEnclosingClasses(constructor.getDeclaringClass());,if (getNumberOfEnclosingClasses(constructor != null ) int nrEnclosingClasses = getNumberOfEnclosingClasses(constructor.getDeclaringClass());
CommentTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
CommentTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
CommentTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
CommentTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
CommentTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
CommentTest.java,CtModel model = launcher.buildModel();,if (launcher != null ) CtModel model = launcher.buildModel();
PackageTest.java,JavaOutputProcessor outputProcessor = spoon.createOutputWriter();,if (spoon != null ) JavaOutputProcessor outputProcessor = spoon.createOutputWriter();
JavaReflectionTreeBuilder.java,ctEnclosingClass = scan(clazz.getEnclosingClass());,if (scan(clazz != null ) ctEnclosingClass = scan(clazz.getEnclosingClass());
MMMethod.java,this.method = (CtMethod<?>) mtc.getAdaptationScope();,if (mtc != null ) this.method = (CtMethod<?>) mtc.getAdaptationScope();
OverriddenMethodFilter.java,context = new ClassTypingContext(method.getDeclaringType());,if (ClassTypingContext(method != null ) context = new ClassTypingContext(method.getDeclaringType());
CtMethodImpl.java,ClassTypingContext context = new ClassTypingContext(this.getDeclaringType());,if (ClassTypingContext(this != null ) ClassTypingContext context = new ClassTypingContext(this.getDeclaringType());
GenericsTest.java,ClassTypingContext ctc = new ClassTypingContext(ctClass.getReference());,if (ClassTypingContext(ctClass != null ) ClassTypingContext ctc = new ClassTypingContext(ctClass.getReference());
GenericsTest.java,ClassTypingContext ctcSub = new ClassTypingContext(ctClass.getReference());,if (ClassTypingContext(ctClass != null ) ClassTypingContext ctcSub = new ClassTypingContext(ctClass.getReference());
GenericsTest.java,ClassTypingContext ctcSub = new ClassTypingContext(ctClass.getReference());,if (ClassTypingContext(ctClass != null ) ClassTypingContext ctcSub = new ClassTypingContext(ctClass.getReference());
JDTBasedSpoonCompiler.java,outputDirectory = outputDirectory.getCanonicalFile();,if (outputDirectory != null ) outputDirectory = outputDirectory.getCanonicalFile();
JDTBasedSpoonCompiler.java,packageDir = new File(outputDirectory.getAbsolutePath());,if (File(outputDirectory != null ) packageDir = new File(outputDirectory.getAbsolutePath());
UnresolvedBugTest.java,Class testClass = unresolvedTest.getDeclaringType().getActualClass();,if (unresolvedTest != null ) Class testClass = unresolvedTest.getDeclaringType().getActualClass();
UnresolvedBugTest.java,String testMethod = unresolvedTest.getSimpleName();,if (unresolvedTest != null ) String testMethod = unresolvedTest.getSimpleName();
OneCanCallSetterWithNullParameterizedTest.java,final Factory factory = launcher.getFactory();,if (launcher != null ) final Factory factory = launcher.getFactory();
TextBlockTest.java,CtReturn ret = factory.createReturn();,if (factory != null ) CtReturn ret = factory.createReturn();
CloneHelper.java,Set<T> others = new HashSet<>(elements.size());,if (HashSet<>(elements != null ) Set<T> others = new HashSet<>(elements.size());
TestSniperPrinter.java,SourcePosition pos = element.getPosition();,if (element != null ) SourcePosition pos = element.getPosition();
EnumsTest.java,CtMethod name = factory.Core().createMethod();,if (factory != null ) CtMethod name = factory.Core().createMethod();
EnumsTest.java,CtExpression defaultExpression = ctEnumValue.getDefaultExpression();,if (ctEnumValue != null ) CtExpression defaultExpression = ctEnumValue.getDefaultExpression();
Metamodel.java,value = valueCreator.get();,if (valueCreator != null ) value = valueCreator.get();
PackageFactory.java,CtPackage current = module.getRootPackage();,if (module != null ) CtPackage current = module.getRootPackage();
PackageFactory.java,current = current.getPackage(token.nextToken());,if (current != null ) current = current.getPackage(token.nextToken());
AstCheckerTest.java,CtExecutable declaration = potentialDelegate.getExecutable().getDeclaration();,if (potentialDelegate != null ) CtExecutable declaration = potentialDelegate.getExecutable().getDeclaration();
MapUtils.java,value = valueCreator.get();,if (valueCreator != null ) value = valueCreator.get();
ImportCleaner.java,CtImport newImport = (CtImport) iter.next();,if (iter != null ) CtImport newImport = (CtImport) iter.next();
CtStatementListTest.java,Factory factory = new Launcher().getFactory();,if (Launcher() != null ) Factory factory = new Launcher().getFactory();
JDTBatchCompiler.java,compilationUnit.module = this.module.name();,if (this != null ) compilationUnit.module = this.module.name();
TemplateTest.java,Factory factory = spoon.getFactory();,if (spoon != null ) Factory factory = spoon.getFactory();
TemplateTest.java,Factory factory = launcher.getFactory();,if (launcher != null ) Factory factory = launcher.getFactory();
SubstitutionTest.java,Factory factory = spoon.getFactory();,if (spoon != null ) Factory factory = spoon.getFactory();
SubstitutionTest.java,Factory factory = spoon.getFactory();,if (spoon != null ) Factory factory = spoon.getFactory();
SubstitutionTest.java,Factory factory = spoon.getFactory();,if (spoon != null ) Factory factory = spoon.getFactory();
ReferenceBuilder.java,ReferenceBinding[] superInterfaces = typeParamBinding.superInterfaces();,if (typeParamBinding != null ) ReferenceBinding[] superInterfaces = typeParamBinding.superInterfaces();
ReferenceBuilder.java,ref = refSuperClass.clone();,if (refSuperClass != null ) ref = refSuperClass.clone();
ReferenceBuilder.java,final CtReference declaring = this.getDeclaringReferenceFromImports(binding.sourceName());,if (this != null ) final CtReference declaring = this.getDeclaringReferenceFromImports(binding.sourceName());
ReferenceBuilder.java,CtPackageReference packageReference = getPackageReference(binding.getPackage());,if (getPackageReference(binding != null ) CtPackageReference packageReference = getPackageReference(binding.getPackage());
ReferenceBuilder.java,String name = new String(binding.sourceName());,if (String(binding != null ) String name = new String(binding.sourceName());
ReferenceBuilder.java,String readableName = String.valueOf(binding.readableName());,if (String != null ) String readableName = String.valueOf(binding.readableName());
ReferenceBuilder.java,final CtReference declaring = this.getDeclaringReferenceFromImports(binding.sourceName());,if (this != null ) final CtReference declaring = this.getDeclaringReferenceFromImports(binding.sourceName());
ReferenceBuilder.java,char[] readableName = binding.readableName();,if (binding != null ) char[] readableName = binding.readableName();
ReferenceBuilder.java,ref = getTypeReference(binding.actualType());,if (getTypeReference(binding != null ) ref = getTypeReference(binding.actualType());
ReferenceBuilder.java,ref = getTypeReference(binding.actualType());,if (getTypeReference(binding != null ) ref = getTypeReference(binding.actualType());
FileCompilerConfig.java,Environment env = jdtCompiler.getEnvironment();,if (jdtCompiler != null ) Environment env = jdtCompiler.getEnvironment();
StandardEnvironment.java,SourcePosition sp = element.getPosition();,if (element != null ) SourcePosition sp = element.getPosition();
CtCatchVariableReferenceImpl.java,var = catchBlock.getParameter();,if (catchBlock != null ) var = catchBlock.getParameter();
CtTypeParameterReferenceImpl.java,e = typeReference.getTypeDeclaration();,if (typeReference != null ) e = typeReference.getTypeDeclaration();
PackageFactory.java,CtPackage current = factory.getModel().getRootPackage();,if (factory != null ) CtPackage current = factory.getModel().getRootPackage();
