Filename,Buggy/Deleted,Fixed/Added
ThrowingExceptions.java,String[] exceptionNames = exceptionTable.getExceptionNames();,if (exceptionTable != null ) String[] exceptionNames = exceptionTable.getExceptionNames();
PluginLoader.java,"pluginLoader.classLoader = new URLClassLoader(loaderURLs, parent.getClassLoader());","if (parent != null ) pluginLoader.classLoader = new URLClassLoader(loaderURLs, parent.getClassLoader());"
ValidationSecurityManagerTest.java,SecurityManager old = System.getSecurityManager();,if (System != null ) SecurityManager old = System.getSecurityManager();
ValidationSecurityManagerTest.java,TypeQualifierValidator<SlashedClassName> goodValidator = new SlashedClassName.Checker();,if (SlashedClassName != null ) TypeQualifierValidator<SlashedClassName> goodValidator = new SlashedClassName.Checker();
TypeQualifierValue.java,SecurityManager m = System.getSecurityManager();,if (System != null ) SecurityManager m = System.getSecurityManager();
TypeQualifierValue.java,SecurityManager m = System.getSecurityManager();,if (System != null ) SecurityManager m = System.getSecurityManager();
CheckValidatorSandboxing.java,"String[] rootList = new File(""/"").list();","if (File(""/"") != null ) String[] rootList = new File(""/"").list();"
MarkerUtil.java,Set<IMarker> markers = getMarkers(classFile.getType());,if (getMarkers(classFile != null ) Set<IMarker> markers = getMarkers(classFile.getType());
Bug3152881.java,createStmt = connection.createStatement();,if (connection != null ) createStmt = connection.createStatement();
Bug3152881.java,createStmt = connection.createStatement();,if (connection != null ) createStmt = connection.createStatement();
Bug3160693.java,srcChannel = new FileInputStream(srcFile).getChannel();,if (FileInputStream(srcFile) != null ) srcChannel = new FileInputStream(srcFile).getChannel();
Bug3160693.java,dstChannel = new FileOutputStream(dstFile).getChannel();,if (FileOutputStream(dstFile) != null ) dstChannel = new FileOutputStream(dstFile).getChannel();
Bug3185865.java,double i = Math.random();,if (Math != null ) double i = Math.random();
Bug3185865.java,double j = Math.random();,if (Math != null ) double j = Math.random();
Bug3185865.java,double k = Math.random();,if (Math != null ) double k = Math.random();
Bug3368029.java,total += thing.length();,if (thing != null ) total += thing.length();
