Filename,Buggy/Deleted,Fixed/Added
SwingTextTerminal.java,String styleName = String.valueOf(styleData.hashCode());,if (String != null ) String styleName = String.valueOf(styleData.hashCode());
SwingTextTerminal.java,int maskedLen = unmaskedInput.length();,if (unmaskedInput != null ) int maskedLen = unmaskedInput.length();
JLineTextTerminal.java,CursorBuffer buf = textTerminal.reader.getCursorBuffer();,if (textTerminal != null ) CursorBuffer buf = textTerminal.reader.getCursorBuffer();
JLineTextTerminal.java,String partialInput = buf.buffer.toString();,if (buf != null ) String partialInput = buf.buffer.toString();
SwingTextTerminal.java,startLineOffset = document.getLength();,if (document != null ) startLineOffset = document.getLength();
Cuboid.java,TextTerminal terminal = textIO.getTextTerminal();,if (textIO != null ) TextTerminal terminal = textIO.getTextTerminal();
Cuboid.java,TerminalProperties props = terminal.getProperties();,if (terminal != null ) TerminalProperties props = terminal.getProperties();
ECommerce.java,TextTerminal terminal = textIO.getTextTerminal();,if (textIO != null ) TextTerminal terminal = textIO.getTextTerminal();
ECommerce.java,TerminalProperties props = terminal.getProperties();,if (terminal != null ) TerminalProperties props = terminal.getProperties();
UserDataCollector.java,TextTerminal terminal = textIO.getTextTerminal();,if (textIO != null ) TextTerminal terminal = textIO.getTextTerminal();
WebTextTerminal.java,TerminalProperties props = copy.getProperties();,if (copy != null ) TerminalProperties props = copy.getProperties();
InputReader.java,TextTerminal textTerminal = textTerminalSupplier.get();,if (textTerminalSupplier != null ) TextTerminal textTerminal = textTerminalSupplier.get();
InputReader.java,TextTerminal textTerminal = textTerminalSupplier.get();,if (textTerminalSupplier != null ) TextTerminal textTerminal = textTerminalSupplier.get();
TextIoFactory.java,TextTerminal t = it.next().getTextTerminal();,if (it != null ) TextTerminal t = it.next().getTextTerminal();
TextIoFactory.java,TextTerminal terminal = new JLineTextTerminalProvider().getTextTerminal();,if (JLineTextTerminalProvider() != null ) TextTerminal terminal = new JLineTextTerminalProvider().getTextTerminal();
Shopping.java,TextIO textIO = TextIoFactory.getTextIO();,if (TextIoFactory != null ) TextIO textIO = TextIoFactory.getTextIO();
