Filename,Buggy/Deleted,Fixed/Added
AbstractParser.java,this.commentLineCheck = settings.isCommentLineCheckEnabled();,if (settings != null ) this.commentLineCheck = settings.isCommentLineCheckEnabled();
FixedWidthParser.java,ch = input.nextChar();,if (input != null ) ch = input.nextChar();
FixedWidthParser.java,ch = input.nextChar();,if (input != null ) ch = input.nextChar();
ParserOutput.java,this.headers = NormalizedString.toIdentifierGroupArray(parser.settings.getHeaders());,if (NormalizedString != null ) this.headers = NormalizedString.toIdentifierGroupArray(parser.settings.getHeaders());
AbstractWriter.java,this.headers = settings.getHeaders();,if (settings != null ) this.headers = settings.getHeaders();
ArgumentUtils.java,LinkedHashSet<String> normalized = new LinkedHashSet<String>(strings.size());,if (LinkedHashSet<String>(strings != null ) LinkedHashSet<String> normalized = new LinkedHashSet<String>(strings.size());
ColumnMap.java,String[] headers = context.headers();,if (context != null ) String[] headers = context.headers();
ColumnMap.java,normalizedColumnMap = Collections.emptyMap();,if (Collections != null ) normalizedColumnMap = Collections.emptyMap();
ColumnMap.java,String[] headers = context.headers();,if (context != null ) String[] headers = context.headers();
ParserOutput.java,this.headers = settings.getHeaders();,if (settings != null ) this.headers = settings.getHeaders();
ParserOutput.java,headers = parsedHeaders.clone();,if (parsedHeaders != null ) headers = parsedHeaders.clone();
ParserOutput.java,this.headers = parser.settings.getHeaders();,if (parser != null ) this.headers = parser.settings.getHeaders();
ExcludeFieldNameSelector.java,Set<String> chosenFields = new HashSet<String>(this.get());,if (HashSet<String>(this != null ) Set<String> chosenFields = new HashSet<String>(this.get());
FieldNameSelector.java,List<String> selection = this.get();,if (this != null ) List<String> selection = this.get();
AbstractInputValueSwitch.java,String[] headers = context.headers();,if (context != null ) String[] headers = context.headers();
BeanConversionProcessor.java,String name = mapping.getFieldName();,if (mapping != null ) String name = mapping.getFieldName();
BeanConversionProcessor.java,headers[i] = mapping.getFieldName();,if (mapping != null ) headers[i] = mapping.getFieldName();
RecordMetaDataImpl.java,String[] headers = context.headers();,if (context != null ) String[] headers = context.headers();
RecordMetaDataImpl.java,String[] headers = context.headers();,if (context != null ) String[] headers = context.headers();
CsvParser.java,ignoreTrailingWhitespace = settings.getIgnoreTrailingWhitespaces();,if (settings != null ) ignoreTrailingWhitespace = settings.getIgnoreTrailingWhitespaces();
CsvParser.java,ignoreLeadingWhitespace = settings.getIgnoreLeadingWhitespaces();,if (settings != null ) ignoreLeadingWhitespace = settings.getIgnoreLeadingWhitespaces();
CsvWriter.java,this.ignoreLeading = settings.getIgnoreLeadingWhitespaces();,if (settings != null ) this.ignoreLeading = settings.getIgnoreLeadingWhitespaces();
CsvWriter.java,this.ignoreTrailing = settings.getIgnoreTrailingWhitespaces();,if (settings != null ) this.ignoreTrailing = settings.getIgnoreTrailingWhitespaces();
FixedWidthFields.java,String[] headers = fieldLengths.getFieldNames();,if (fieldLengths != null ) String[] headers = fieldLengths.getFieldNames();
FixedWidthParser.java,ignoreLeadingWhitespace = settings.getIgnoreLeadingWhitespaces();,if (settings != null ) ignoreLeadingWhitespace = settings.getIgnoreLeadingWhitespaces();
FixedWidthParser.java,ignoreTrailingWhitespace = settings.getIgnoreTrailingWhitespaces();,if (settings != null ) ignoreTrailingWhitespace = settings.getIgnoreTrailingWhitespaces();
FixedWidthParserSettings.java,String[] names = fieldLengths.getFieldNames();,if (fieldLengths != null ) String[] names = fieldLengths.getFieldNames();
FixedWidthWriter.java,this.ignoreLeading = settings.getIgnoreLeadingWhitespaces();,if (settings != null ) this.ignoreLeading = settings.getIgnoreLeadingWhitespaces();
FixedWidthWriter.java,this.ignoreTrailing = settings.getIgnoreTrailingWhitespaces();,if (settings != null ) this.ignoreTrailing = settings.getIgnoreTrailingWhitespaces();
FixedWidthWriterSettings.java,String[] names = fieldLengths.getFieldNames();,if (fieldLengths != null ) String[] names = fieldLengths.getFieldNames();
TsvParser.java,ignoreTrailingWhitespace = settings.getIgnoreTrailingWhitespaces();,if (settings != null ) ignoreTrailingWhitespace = settings.getIgnoreTrailingWhitespaces();
TsvParser.java,ignoreLeadingWhitespace = settings.getIgnoreLeadingWhitespaces();,if (settings != null ) ignoreLeadingWhitespace = settings.getIgnoreLeadingWhitespaces();
TsvWriter.java,this.ignoreLeading = settings.getIgnoreLeadingWhitespaces();,if (settings != null ) this.ignoreLeading = settings.getIgnoreLeadingWhitespaces();
TsvWriter.java,this.ignoreTrailing = settings.getIgnoreTrailingWhitespaces();,if (settings != null ) this.ignoreTrailing = settings.getIgnoreTrailingWhitespaces();
BeanConversionProcessor.java,this.columnMapper = (ColumnMapping) columnMapper.clone();,if (columnMapper != null ) this.columnMapper = (ColumnMapping) columnMapper.clone();
MethodDescriptor.java,int result = name.hashCode();,if (name != null ) int result = name.hashCode();
AnnotationHelper.java,Annotation[] annotations = method.getDeclaredAnnotations();,if (method != null ) Annotation[] annotations = method.getDeclaredAnnotations();
Github_287.java,ColumnMapper mapper = processor.getColumnMapper();,if (processor != null ) ColumnMapper mapper = processor.getColumnMapper();
AnnotationHelper.java,languageCode = appender.getAndReset();,if (appender != null ) languageCode = appender.getAndReset();
AnnotationHelper.java,countryCode = appender.getAndReset();,if (appender != null ) countryCode = appender.getAndReset();
AnnotationHelper.java,variant = appender.getAndReset();,if (appender != null ) variant = appender.getAndReset();
Lookup.java,this.lengths = config.getFieldLengths();,if (config != null ) this.lengths = config.getFieldLengths();
CsvWriter.java,this.separator = format.getDelimiter();,if (format != null ) this.separator = format.getDelimiter();
CsvFormatDetector.java,suggestedDelimiter = settings.getFormat().getDelimiter();,if (settings != null ) suggestedDelimiter = settings.getFormat().getDelimiter();
CsvParser.java,delimiter = format.getDelimiter();,if (format != null ) delimiter = format.getDelimiter();
CsvParser.java,newLine = format.getNormalizedNewline();,if (format != null ) newLine = format.getNormalizedNewline();
BeanConversionProcessor.java,AnnotatedParameter[] params = constructorMapping.getAnnotatedParameters();,if (constructorMapping != null ) AnnotatedParameter[] params = constructorMapping.getAnnotatedParameters();
BeanConversionProcessor.java,Iterator<FieldMapping> it = parsedFields.iterator();,if (parsedFields != null ) Iterator<FieldMapping> it = parsedFields.iterator();
BeanConversionProcessor.java,FieldMapping mapping = it.next();,if (it != null ) FieldMapping mapping = it.next();
BeanConversionProcessor.java,instance = beanClass.newInstance();,if (beanClass != null ) instance = beanClass.newInstance();
DataProcessingException.java,String details = super.getDetails();,if (super != null ) String details = super.getDetails();
AbstractRoutines.java,out.rows = context.currentRecord();,if (context != null ) out.rows = context.currentRecord();
AnnotationHelper.java,String element = enumOptions.customElement().trim();,if (enumOptions != null ) String element = enumOptions.customElement().trim();
AnnotationHelper.java,String[] falseStrings = boolString.falseStrings();,if (boolString != null ) String[] falseStrings = boolString.falseStrings();
AnnotationHelper.java,String[] trueStrings = boolString.trueStrings();,if (boolString != null ) String[] trueStrings = boolString.trueStrings();
AnnotationHelper.java,String[] formats = format.formats();,if (format != null ) String[] formats = format.formats();
AnnotationHelper.java,String[] options = format.options();,if (format != null ) String[] options = format.options();
AnnotationHelper.java,String[] args = convert.args();,if (convert != null ) String[] args = convert.args();
AnnotationHelper.java,Class conversionClass = convert.conversionClass();,if (convert != null ) Class conversionClass = convert.conversionClass();
