Filename,Buggy/Deleted,Fixed/Added
JavaGenerator.java,ProtoMember protoMember = field.getMember();,if (field != null ) ProtoMember protoMember = field.getMember();
JavaGenerator.java,"CodeBlock valueInitializer = fieldInitializer(field.getType(), entry.getValue());","if (entry != null ) CodeBlock valueInitializer = fieldInitializer(field.getType(), entry.getValue());"
JavaGenerator.java,TypeName returnType = typeName(field.getType());,if (typeName(field != null ) TypeName returnType = typeName(field.getType());
EnumOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
EnumValueOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumValueOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumValueOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumValueOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FieldOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FieldOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FieldOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FieldOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FileOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FileOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FileOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FileOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
MessageOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
MessageOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
MessageOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
MessageOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
MethodOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
MethodOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
MethodOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
MethodOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
ServiceOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
ServiceOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
ServiceOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
ServiceOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
DescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
DescriptorProto.java,field = Internal.newMutableList();,if (Internal != null ) field = Internal.newMutableList();
DescriptorProto.java,extension = Internal.newMutableList();,if (Internal != null ) extension = Internal.newMutableList();
DescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
DescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
DescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
DescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
DescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
DescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
DescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
DescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
DescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
DescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
DescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
EnumDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumDescriptorProto.java,value = Internal.newMutableList();,if (Internal != null ) value = Internal.newMutableList();
EnumDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
EnumDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
EnumOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
EnumValueDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumValueDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumValueDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumValueDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
EnumValueOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
EnumValueOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
EnumValueOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
EnumValueOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
ExtensionRangeOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
ExtensionRangeOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
ExtensionRangeOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
ExtensionRangeOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FieldDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FieldDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FieldDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FieldDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FieldOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FieldOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FieldOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FieldOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FileDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FileDescriptorProto.java,dependency = Internal.newMutableList();,if (Internal != null ) dependency = Internal.newMutableList();
FileDescriptorProto.java,service = Internal.newMutableList();,if (Internal != null ) service = Internal.newMutableList();
FileDescriptorProto.java,extension = Internal.newMutableList();,if (Internal != null ) extension = Internal.newMutableList();
FileDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FileDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FileDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FileDescriptorSet.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FileDescriptorSet.java,file = Internal.newMutableList();,if (Internal != null ) file = Internal.newMutableList();
FileDescriptorSet.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FileDescriptorSet.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FileDescriptorSet.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
FileOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
FileOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
FileOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
FileOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
GeneratedCodeInfo.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
GeneratedCodeInfo.java,annotation = Internal.newMutableList();,if (Internal != null ) annotation = Internal.newMutableList();
GeneratedCodeInfo.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
GeneratedCodeInfo.java,path = Internal.newMutableList();,if (Internal != null ) path = Internal.newMutableList();
GeneratedCodeInfo.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
GeneratedCodeInfo.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
GeneratedCodeInfo.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
GeneratedCodeInfo.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
GeneratedCodeInfo.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
GeneratedCodeInfo.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
MessageOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
MessageOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
MessageOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
MessageOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
MethodDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
MethodDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
MethodDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
MethodDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
MethodOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
MethodOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
MethodOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
MethodOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
OneofDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
OneofDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
OneofDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
OneofDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
OneofOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
OneofOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
OneofOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
OneofOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
ServiceDescriptorProto.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
ServiceDescriptorProto.java,method = Internal.newMutableList();,if (Internal != null ) method = Internal.newMutableList();
ServiceDescriptorProto.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
ServiceDescriptorProto.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
ServiceDescriptorProto.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
ServiceOptions.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
ServiceOptions.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
ServiceOptions.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
ServiceOptions.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
SourceCodeInfo.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
SourceCodeInfo.java,location = Internal.newMutableList();,if (Internal != null ) location = Internal.newMutableList();
SourceCodeInfo.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
SourceCodeInfo.java,path = Internal.newMutableList();,if (Internal != null ) path = Internal.newMutableList();
SourceCodeInfo.java,span = Internal.newMutableList();,if (Internal != null ) span = Internal.newMutableList();
SourceCodeInfo.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
SourceCodeInfo.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
SourceCodeInfo.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
SourceCodeInfo.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
SourceCodeInfo.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
SourceCodeInfo.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
UninterpretedOption.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
UninterpretedOption.java,name = Internal.newMutableList();,if (Internal != null ) name = Internal.newMutableList();
UninterpretedOption.java,result = unknownFields().hashCode();,if (unknownFields() != null ) result = unknownFields().hashCode();
UninterpretedOption.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
UninterpretedOption.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
UninterpretedOption.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
UninterpretedOption.java,result += value.unknownFields().size();,if (value != null ) result += value.unknownFields().size();
UninterpretedOption.java,long token = reader.beginMessage();,if (reader != null ) long token = reader.beginMessage();
UninterpretedOption.java,Builder builder = value.newBuilder();,if (value != null ) Builder builder = value.newBuilder();
JavaGenerator.java,MethodSpec.Builder constructorBuilder = MethodSpec.constructorBuilder();,if (MethodSpec != null ) MethodSpec.Builder constructorBuilder = MethodSpec.constructorBuilder();
JavaGenerator.java,TypeName optionJavaType = typeName(optionField.getType()).box();,if (typeName(optionField != null ) TypeName optionJavaType = typeName(optionField.getType()).box();
